UNB,UNB,UNB,UNB,UNB,UNB,UNB,UNB,UNB,CTU,CTU,CTU,CTU,CTU,CTU,CTU,CTU,CTU,MAWI,MAWI,MAWI,MAWI,MAWI,MAWI,MAWI,MAWI,MAWI,MACCDC,MACCDC,MACCDC,MACCDC,MACCDC,MACCDC,MACCDC,MACCDC,MACCDC,SFRIG,SFRIG,SFRIG,SFRIG,SFRIG,SFRIG,SFRIG,SFRIG,SFRIG,AECHO,AECHO,AECHO,AECHO,AECHO,AECHO,AECHO,AECHO,AECHO,DSHWR,DSHWR,DSHWR,DSHWR,DSHWR,DSHWR,DSHWR,DSHWR,DSHWR
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,train_size_1000,,,,,,,,,,,,,,,,,
UNB3_345,UNB3_345,UNB3_345,UNB3_345,UNB3_345,UNB3_345,UNB3_345,UNB3_345,UNB3_345,CTU1,CTU1,CTU1,CTU1,CTU1,CTU1,CTU1,CTU1,CTU1,MAWI1_2020,MAWI1_2020,MAWI1_2020,MAWI1_2020,MAWI1_2020,MAWI1_2020,MAWI1_2020,MAWI1_2020,MAWI1_2020,MACCDC1,MACCDC1,MACCDC1,MACCDC1,MACCDC1,MACCDC1,MACCDC1,MACCDC1,MACCDC1,SFRIG1_2021,SFRIG1_2021,SFRIG1_2021,SFRIG1_2021,SFRIG1_2021,SFRIG1_2021,SFRIG1_2021,SFRIG1_2021,SFRIG1_2021,AECHO1_2020,AECHO1_2020,AECHO1_2020,AECHO1_2020,AECHO1_2020,AECHO1_2020,AECHO1_2020,AECHO1_2020,AECHO1_2020,DWSHR_AECHO_2020,DWSHR_AECHO_2020,DWSHR_AECHO_2020,DWSHR_AECHO_2020,DWSHR_AECHO_2020,DWSHR_AECHO_2020,DWSHR_AECHO_2020,DWSHR_AECHO_2020,DWSHR_AECHO_2020
OCSVM,OC-KJL-SVM(linear),OC-Nystrom-SVM(linear),KDE,GMM(full),OC-KJL,OC-Nystrom,OC-KJL-QS,OC-Nystrom-QS,OCSVM,OC-KJL-SVM(linear),OC-Nystrom-SVM(linear),KDE,GMM(full),OC-KJL,OC-Nystrom,OC-KJL-QS,OC-Nystrom-QS,OCSVM,OC-KJL-SVM(linear),OC-Nystrom-SVM(linear),KDE,GMM(full),OC-KJL,OC-Nystrom,OC-KJL-QS,OC-Nystrom-QS,OCSVM,OC-KJL-SVM(linear),OC-Nystrom-SVM(linear),KDE,GMM(full),OC-KJL,OC-Nystrom,OC-KJL-QS,OC-Nystrom-QS,OCSVM,OC-KJL-SVM(linear),OC-Nystrom-SVM(linear),KDE,GMM(full),OC-KJL,OC-Nystrom,OC-KJL-QS,OC-Nystrom-QS,OCSVM,OC-KJL-SVM(linear),OC-Nystrom-SVM(linear),KDE,GMM(full),OC-KJL,OC-Nystrom,OC-KJL-QS,OC-Nystrom-QS,OCSVM,OC-KJL-SVM(linear),OC-Nystrom-SVM(linear),KDE,GMM(full),OC-KJL,OC-Nystrom,OC-KJL-QS,OC-Nystrom-QS
0,0,0,0,0,0,0,0,0,0.56 +/- 0.06,0,0,72.32 +/- 7.39,3.23 +/- 0.33,0,0,0,0,2.26 +/- 0.07,0,0,35.90 +/- 1.07,1.22 +/- 0.04,0,0,0,0,0.58 +/- 0.13,0,0,58.23 +/- 12.95,2.29 +/- 0.51,0,0,0,0,0.63 +/- 0.04,0,0,52.84 +/- 3.16,1.32 +/- 0.08,0,0,0,0,0.58 +/- 0.04,0.68 +/- 0.04,0.66 +/- 0.04,61.53 +/- 3.73,1.65 +/- 0.10,0.78 +/- 0.05,0.56 +/- 0.03,0.39 +/- 0.02,0.40 +/- 0.02,0.54 +/- 0.03,0,0,39.39 +/- 2.32,1.87 +/- 0.11,0,0,0,0
0,0,0,0,0,0,0,0,0,1.60 +/- 0.26,0,0,0.15 +/- 0.02,5.94 +/- 0.96,0,0,0,0,1.20 +/- 0.08,0,0,0.03 +/- 0.00,0.50 +/- 0.03,0,0,0,0,1.68 +/- 0.29,0,0,0.13 +/- 0.02,2.77 +/- 0.47,0,0,0,0,1.07 +/- 0.07,0,0,0.21 +/- 0.01,2.37 +/- 0.15,0,0,0,0,1.25 +/- 0.21,0.91 +/- 0.15,2.34 +/- 0.39,0.09 +/- 0.01,2.46 +/- 0.41,2.04 +/- 0.34,3.50 +/- 0.58,2.19 +/- 0.36,3.17 +/- 0.53,1.64 +/- 0.19,0,0,0.11 +/- 0.01,1.15 +/- 0.13,0,0,0,0
0,0,0,0,0,0,0,0,0,0.68 +/- 0.02,0,0,0.71 +/- 0.02,1.13 +/- 0.03,0,0,0,0,0.99 +/- 0.00,0,0,1.00 +/- 0.00,0.97 +/- 0.04,0,0,0,0,0.84 +/- 0.01,0,0,0.97 +/- 0.02,1.16 +/- 0.01,0,0,0,0,0.92 +/- 0.01,0,0,0.99 +/- 0.01,0.98 +/- 0.02,0,0,0,0,0.90 +/- 0.02,0.86 +/- 0.05,0.87 +/- 0.01,0.89 +/- 0.04,1.07 +/- 0.01,1.08 +/- 0.00,1.07 +/- 0.00,1.06 +/- 0.02,1.07 +/- 0.01,0.92 +/- 0.00,0,0,0.98 +/- 0.00,0.99 +/- 0.01,0,0,0,0
0,0,0,0,0,0,0,0,0,98.44 +/- 0.74,0,0,0.48 +/- 0.00,3.05 +/- 0.02,0,0,0,0,489.49 +/- 0.39,0,0,0.47 +/- 0.00,0.33 +/- 0.00,0,0,0,0,106.17 +/- 0.23,0,0,0.48 +/- 0.00,2.46 +/- 0.01,0,0,0,0,65.58 +/- 0.26,0,0,0.48 +/- 0.00,2.69 +/- 0.01,0,0,0,0,146.04 +/- 0.35,2.56 +/- 0.01,2.56 +/- 0.01,0.48 +/- 0.00,1.29 +/- 0.00,3.97 +/- 0.01,4.01 +/- 0.01,4.20 +/- 0.01,4.13 +/- 0.01,122.06 +/- 0.24,0,0,0.48 +/- 0.00,2.07 +/- 0.00,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,train_size_2000,,,,,,,,,,,,,,,,,
UNB3_345,UNB3_345,UNB3_345,UNB3_345,UNB3_345,UNB3_345,UNB3_345,UNB3_345,UNB3_345,CTU1,CTU1,CTU1,CTU1,CTU1,CTU1,CTU1,CTU1,CTU1,MAWI1_2020,MAWI1_2020,MAWI1_2020,MAWI1_2020,MAWI1_2020,MAWI1_2020,MAWI1_2020,MAWI1_2020,MAWI1_2020,MACCDC1,MACCDC1,MACCDC1,MACCDC1,MACCDC1,MACCDC1,MACCDC1,MACCDC1,MACCDC1,SFRIG1_2021,SFRIG1_2021,SFRIG1_2021,SFRIG1_2021,SFRIG1_2021,SFRIG1_2021,SFRIG1_2021,SFRIG1_2021,SFRIG1_2021,AECHO1_2020,AECHO1_2020,AECHO1_2020,AECHO1_2020,AECHO1_2020,AECHO1_2020,AECHO1_2020,AECHO1_2020,AECHO1_2020,DWSHR_AECHO_2020,DWSHR_AECHO_2020,DWSHR_AECHO_2020,DWSHR_AECHO_2020,DWSHR_AECHO_2020,DWSHR_AECHO_2020,DWSHR_AECHO_2020,DWSHR_AECHO_2020,DWSHR_AECHO_2020
OCSVM,OC-KJL-SVM(linear),OC-Nystrom-SVM(linear),KDE,GMM(full),OC-KJL,OC-Nystrom,OC-KJL-QS,OC-Nystrom-QS,OCSVM,OC-KJL-SVM(linear),OC-Nystrom-SVM(linear),KDE,GMM(full),OC-KJL,OC-Nystrom,OC-KJL-QS,OC-Nystrom-QS,OCSVM,OC-KJL-SVM(linear),OC-Nystrom-SVM(linear),KDE,GMM(full),OC-KJL,OC-Nystrom,OC-KJL-QS,OC-Nystrom-QS,OCSVM,OC-KJL-SVM(linear),OC-Nystrom-SVM(linear),KDE,GMM(full),OC-KJL,OC-Nystrom,OC-KJL-QS,OC-Nystrom-QS,OCSVM,OC-KJL-SVM(linear),OC-Nystrom-SVM(linear),KDE,GMM(full),OC-KJL,OC-Nystrom,OC-KJL-QS,OC-Nystrom-QS,OCSVM,OC-KJL-SVM(linear),OC-Nystrom-SVM(linear),KDE,GMM(full),OC-KJL,OC-Nystrom,OC-KJL-QS,OC-Nystrom-QS,OCSVM,OC-KJL-SVM(linear),OC-Nystrom-SVM(linear),KDE,GMM(full),OC-KJL,OC-Nystrom,OC-KJL-QS,OC-Nystrom-QS
