UNB3_345,IAT+SIZE,header_False,OCSVM(rbf),tuning_False,0|0|1854,43,1.633729304652661-1.4746485692448914-1.3996928387787193-1.3656884615775198-1.5667839860543609,0-0-0-0-0,0-0-0-0-0,0-0-0-0-0,0.0798963606916368-0.07548836056143045-0.08301396525232121-0.07627338088816032-0.07781401547603309,0.6013116047520796-0.6058337377186154-0.6080232367347083-0.582653442395171-0.6054223702446908,705.065-705.065-705.065-705.769-705.065
UNB3_345,IAT+SIZE,header_False,OCSVM(rbf),tuning_True,0|0|1854,43,1.3262254185974598-1.6234924241434783-1.3883092030882835-1.206182149471715-2.1303439987823367,0-0-0-0-0,0-0-0-0-0,0-0-0-0-0,0.0836426783981733-0.08100299950223416-0.07628859078744427-0.08028617156902328-0.07064815185265616,0.6938925603581398-0.6797175470628828-0.681073255993921-0.659663528171399-0.7273011849943384,707.177-707.177-708.937-707.881-714.569
,0_0|0_0|0_0,
,0_0|0_0|0_0,
,0_0|0_0|0_0,
,0_0|0_0|0_0,
UNB3_345,IAT+SIZE,header_False,KDE,tuning_False,0|0|1854,43,0.01437129988335073-0.015480680856853724-0.011238852050155401-0.021721850149333477-0.03283848590217531,0-0-0-0-0,0-0-0-0-0,0-0-0-0-0,1.1488963046111167-1.040643289377913-1.1006915468117222-1.1139935328485444-1.0750986547069623,0.5568798446229558-0.5566482685909587-0.5565970658502157-0.5631417070761023-0.5568204959916399,1500.491-1500.491-1500.491-1500.491-1500.491
UNB3_345,IAT+SIZE,header_False,KDE,tuning_True,0|0|1854,43,0.01888423622585833-0.017673187190666795-0.01732484484091401-0.01741955103352666-0.021262143971398473,0-0-0-0-0,0-0-0-0-0,0-0-0-0-0,0.41765993550419805-0.5227134771179408-0.49659106095321476-0.8318537248298525-0.5106413442548364,0.7303582213564304-0.7148728833776121-0.7262864397687031-0.6813665080545401-0.7465126860608684,1500.491-1500.491-1500.491-1500.491-1500.491
UNB3_345,IAT+SIZE,header_False,GMM(full),tuning_False,0|0|1854,43,0.01728538447059691-0.030619891826063395-0.0189283883664757-0.014726031105965376-0.024907256476581097,0-0-0-0-0,0-0-0-0-0,0-0-0-0-0,0.0008883281424641609-0.0042141518951393665-0.0013195188855752349-0.001313219596631825-0.0012279860721901058,0.6998402241749087-0.6479020258829857-0.6803785278979297-0.6977246200232972-0.7171479142447188,15.606-15.606-15.606-15.606-15.606
UNB3_345,IAT+SIZE,header_False,GMM(full),tuning_True,0|0|1854,43,1.0290549825876951-0.019721592543646693-0.0743990617338568-0.018470992101356387-0.021600720938295126,0-0-0-0-0,0-0-0-0-0,0-0-0-0-0,0.009280426062177867-0.0011777156661264597-0.001449231687001884-0.0014634524378925563-0.001069176800083369,0.7109931120676711-0.6479020258829857-0.6803785278979297-0.6977246200232972-0.7171479142447188,182.19-15.606-15.606-15.606-15.606
,0_0|0_0|0_0,
,0_0|0_0|0_0,
,0_0|0_0|0_0,
,0_0|0_0|0_0,
,0_0|0_0|0_0,
,0_0|0_0|0_0,
,0_0|0_0|0_0,
,0_0|0_0|0_0,
,0_0|0_0|0_0,
,0_0|0_0|0_0,
,0_0|0_0|0_0,
,0_0|0_0|0_0,
,0_0|0_0|0_0,
,0_0|0_0|0_0,
,0_0|0_0|0_0,
,0_0|0_0|0_0,
,0_0|0_0|0_0,
,0_0|0_0|0_0,
CTU1,IAT+SIZE,header_False,OCSVM(rbf),tuning_False,0|0|5000,23,1.0418611920904368-0.9811400517355651-1.111839331453666-1.1010627949144691-1.3438724814914167,0-0-0-0-0,0-0-0-0-0,0-0-0-0-0,0.19043912610271946-0.18451056694844736-0.1819948170776479-0.1812970562791452-0.1881089818943292,0.5840417599999999-0.6000471999999999-0.5973880000000003-0.57025936-0.5546515200000001,385.481-385.865-385.289-385.289-385.481
CTU1,IAT+SIZE,header_False,OCSVM(rbf),tuning_True,0|0|5000,23,0.8801816429477185-1.0410521584562957-0.9272375726141036-0.794671761803329-0.8219916629604995,0-0-0-0-0,0-0-0-0-0,0-0-0-0-0,0.19050269793719055-0.25322226432850586-0.18324378197314217-0.18814108771039173-0.18944674089085312,0.653104-0.6709405600000002-0.65234256-0.65524336-0.6563958400000002,385.865-385.865-385.289-385.289-385.097
,0_0|0_0|0_0,
,0_0|0_0|0_0,
,0_0|0_0|0_0,
,0_0|0_0|0_0,
CTU1,IAT+SIZE,header_False,KDE,tuning_False,0|0|5000,23,0.010169293032959104-0.01006250106729567-0.004342583008110523-0.004485522164031863-0.004552252124994993,0-0-0-0-0,0-0-0-0-0,0-0-0-0-0,2.0024900390207767-1.9999472501967102-2.0509780005761424-1.965931865919847-1.960033248872496,0.45363024-0.45190640000000004-0.4532446400000001-0.45337808-0.4532176000000001,819.892-819.892-819.892-819.892-819.892
CTU1,IAT+SIZE,header_False,KDE,tuning_True,0|0|5000,23,0.010021938942372799-0.01043264102190733-0.004660211969166994-0.00518224504776299-0.0043306369334459305,0-0-0-0-0,0-0-0-0-0,0-0-0-0-0,1.7457568775932304-1.716080947497394-1.7988153499108739-1.800016082287766-1.8430717127281242,0.48371999999999993-0.47331056-0.49172047999999985-0.4881051200000001-0.48064560000000006,819.892-819.892-819.892-819.892-819.892
CTU1,IAT+SIZE,header_False,GMM(full),tuning_False,0|0|5000,23,0.018654268933460116-0.009146720869466662-0.14185722824186087-0.015390770975500345-0.013289642753079534,0-0-0-0-0,0-0-0-0-0,0-0-0-0-0,0.0022234638943336906-0.001615524203516543-0.0015872883587144315-0.001471760906279087-0.0017486867075785994,0.7371447999999999-0.6991598399999996-0.7391187199999999-0.7163979200000005-0.7594958399999999,4.883-4.883-4.883-4.883-4.883
CTU1,IAT+SIZE,header_False,GMM(full),tuning_True,0|0|5000,23,0.16392212780192494-0.08070497959852219-0.07629706291481853-0.04293476021848619-0.11576831643469632,0-0-0-0-0,0-0-0-0-0,0-0-0-0-0,0.0137425286648795-0.009963364470750094-0.006652442375198007-0.008053661310113966-0.00845352815464139,0.8054540800000005-0.7858382400000002-0.79228288-0.7725580799999997-0.79312016,53.55-35.854-18.158-27.006-27.006
,0_0|0_0|0_0,
,0_0|0_0|0_0,
,0_0|0_0|0_0,
,0_0|0_0|0_0,
,0_0|0_0|0_0,
,0_0|0_0|0_0,
,0_0|0_0|0_0,
,0_0|0_0|0_0,
,0_0|0_0|0_0,
,0_0|0_0|0_0,
,0_0|0_0|0_0,
,0_0|0_0|0_0,
,0_0|0_0|0_0,
,0_0|0_0|0_0,
,0_0|0_0|0_0,
,0_0|0_0|0_0,
,0_0|0_0|0_0,
,0_0|0_0|0_0,
MAWI1_2020,IAT+SIZE,header_False,OCSVM(rbf),tuning_False,0|0|4160,121,2.862340128282085-3.1497188061475754-2.704458360793069-2.545893067261204-3.0008546446915716,0-0-0-0-0,0-0-0-0-0,0-0-0-0-0,0.15396876304177567-0.1518464684858918-0.15337321620900185-0.15446093523176388-0.16267794656800105,0.9764423076923078-0.9759730954142011-0.9783653846153849-0.9759828032544378-0.9778846153846154,1958.569-1960.521-1962.473-1956.617-1959.545
MAWI1_2020,IAT+SIZE,header_False,OCSVM(rbf),tuning_True,0|0|4160,121,3.975691996514797-2.7752876630984247-2.234879464143887-3.0959738730452955-2.630382355535403,0-0-0-0-0,0-0-0-0-0,0-0-0-0-0,0.17754353905562312-0.1838657262781635-0.17393151259049774-0.18255506305489688-0.17479309651767835,0.9928088017751482-0.9928552607248521-0.9931841715976332-0.9932720044378698-0.9929962555473376,1952.713-1953.689-1952.713-1953.689-1953.689
,0_0|0_0|0_0,
,0_0|0_0|0_0,
,0_0|0_0|0_0,
,0_0|0_0|0_0,
MAWI1_2020,IAT+SIZE,header_False,KDE,tuning_False,0|0|4160,121,0.49726697988808155-0.07409007707610726-0.028966813813894987-0.06790405185893178-0.03663079417310655,0-0-0-0-0,0-0-0-0-0,0-0-0-0-0,2.623800308688078-2.810945441413205-2.682853421187028-2.7350626671453937-2.7107257417729125,0.9969119822485203-0.9948194803994086-0.9975173354289939-0.9937506934171597-0.997403846153846,4155.028-4155.028-4155.028-4155.028-4155.028
MAWI1_2020,IAT+SIZE,header_False,KDE,tuning_True,0|0|4160,121,0.025961757637560368-0.03464464796707034-0.0629621078260243-0.035709616728127-0.04292841115966439,0-0-0-0-0,0-0-0-0-0,0-0-0-0-0,2.6119844995089805-2.712645054052118-2.669425094074104-8.328525276065339-4.380770951064769,0.996916836168639-0.9948620099852071-0.9975231139053257-0.9956099759615387-0.9969628328402365,4155.028-4155.028-4155.028-4155.028-4155.028
MAWI1_2020,IAT+SIZE,header_False,GMM(full),tuning_False,0|0|4160,121,0.27543922374024987-0.7745110595133156-0.8066412205807865-0.2839019743259996-0.16051776590757072,0-0-0-0-0,0-0-0-0-0,0-0-0-0-0,0.00845964711625129-0.01302019600989297-0.009862403231672943-0.008971489481627942-0.007411546364892274,0.9583039016272187-0.9639936205621303-0.9707301682692308-0.9600041605029587-0.9567229105029582,118.566-118.566-118.566-118.566-118.566
MAWI1_2020,IAT+SIZE,header_False,GMM(full),tuning_True,0|0|4160,121,0.8063435293734074-0.06030318955890834-0.07583713484928012-0.0719107671175152-0.06993391993455589,0-0-0-0-0,0-0-0-0-0,0-0-0-0-0,0.17127651738701388-0.006848700291011482-0.0071174288028851155-0.015700942648109048-0.023771500268485398,0.9879460983727806-0.9639936205621303-0.9707301682692308-0.9600041605029587-0.9567229105029582,2362.542-118.566-118.566-118.566-118.566
,0_0|0_0|0_0,
,0_0|0_0|0_0,
,0_0|0_0|0_0,
,0_0|0_0|0_0,
,0_0|0_0|0_0,
,0_0|0_0|0_0,
,0_0|0_0|0_0,
,0_0|0_0|0_0,
,0_0|0_0|0_0,
,0_0|0_0|0_0,
,0_0|0_0|0_0,
,0_0|0_0|0_0,
,0_0|0_0|0_0,
,0_0|0_0|0_0,
,0_0|0_0|0_0,
,0_0|0_0|0_0,
,0_0|0_0|0_0,
,0_0|0_0|0_0,
MACCDC1,IAT+SIZE,header_False,OCSVM(rbf),tuning_False,0|0|5000,25,1.3203111614566296-1.367968813283369-1.6013726119417697-1.1906215562485158-0.9621103832032531,0-0-0-0-0,0-0-0-0-0,0-0-0-0-0,0.3009983405494131-0.27631276745582-0.28088578598340974-0.2844805235974491-0.2781643727282062,0.7919260000000001-0.7824391200000004-0.78430664-0.7760349600000004-0.7739763200000002,417.129-417.337-416.921-417.337-417.337
MACCDC1,IAT+SIZE,header_False,OCSVM(rbf),tuning_True,0|0|5000,25,1.9400820618029684-1.1249074374791235-1.2587250033393502-1.1196492929011583-1.0993835711851716,0-0-0-0-0,0-0-0-0-0,0-0-0-0-0,0.32663022407796233-0.26662336925975977-0.2498009024420753-0.24373534188605844-0.3154261768073775,0.8463636000000001-0.8527612799999997-0.8377808000000002-0.8415760000000002-0.8329899199999999,418.585-418.793-419.001-418.585-419.209
,0_0|0_0|0_0,
,0_0|0_0|0_0,
,0_0|0_0|0_0,
,0_0|0_0|0_0,
MACCDC1,IAT+SIZE,header_False,KDE,tuning_False,0|0|5000,25,0.020808129105716944-0.013607993721961975-0.011182886082679033-0.008933348814025521-0.0138364068698138,0-0-0-0-0,0-0-0-0-0,0-0-0-0-0,3.0013711678469552-3.0280217557074502-2.946503666965291-3.222253550600726-3.014050047148485,0.7266982400000002-0.7215776000000002-0.70134496-0.7215452800000002-0.7215676800000002,887.956-887.956-887.956-887.956-887.956
,0_0|0_0|0_0,
,0_0|0_0|0_0,
,0_0|0_0|0_0,
,0_0|0_0|0_0,
,0_0|0_0|0_0,
,0_0|0_0|0_0,
,0_0|0_0|0_0,
,0_0|0_0|0_0,
,0_0|0_0|0_0,
,0_0|0_0|0_0,
,0_0|0_0|0_0,
,0_0|0_0|0_0,
,0_0|0_0|0_0,
,0_0|0_0|0_0,
,0_0|0_0|0_0,
,0_0|0_0|0_0,
,0_0|0_0|0_0,
,0_0|0_0|0_0,
,0_0|0_0|0_0,
,0_0|0_0|0_0,
,0_0|0_0|0_0,
SFRIG1_2021,IAT+SIZE,header_False,OCSVM(rbf),tuning_False,0|0|5000,15,0.9590865166392177-0.9067357948515564-0.8829584117047489-0.9044052090030164-0.898440056014806,0-0-0-0-0,0-0-0-0-0,0-0-0-0-0,0.25449966656276957-0.2735499087604694-0.27363251416478307-0.28562805029097943-0.2628077577915974,0.8467879199999999-0.8537664800000002-0.8486586399999999-0.8502071199999999-0.8512178400000003,257.225-257.225-257.353-256.969-256.969
SFRIG1_2021,IAT+SIZE,header_False,OCSVM(rbf),tuning_True,0|0|5000,15,1.2112501384690404-0.7838768057990819-0.8091477330308408-0.76339958794415-0.7472754349000752,0-0-0-0-0,0-0-0-0-0,0-0-0-0-0,0.21407453193562107-0.19637630133889616-0.19168067201273517-0.18682911179028452-0.21266473072813824,0.9302607999999998-0.9318460799999998-0.92490072-0.9173663199999998-0.9339615200000001,257.865-257.353-257.481-257.865-257.481
,0_0|0_0|0_0,
,0_0|0_0|0_0,
,0_0|0_0|0_0,
,0_0|0_0|0_0,
,0_0|0_0|0_0,
,0_0|0_0|0_0,
,0_0|0_0|0_0,
,0_0|0_0|0_0,
,0_0|0_0|0_0,
,0_0|0_0|0_0,
,0_0|0_0|0_0,
,0_0|0_0|0_0,
,0_0|0_0|0_0,
,0_0|0_0|0_0,
,0_0|0_0|0_0,
,0_0|0_0|0_0,
,0_0|0_0|0_0,
,0_0|0_0|0_0,
,0_0|0_0|0_0,
,0_0|0_0|0_0,
,0_0|0_0|0_0,
,0_0|0_0|0_0,
,0_0|0_0|0_0,
,0_0|0_0|0_0,
,0_0|0_0|0_0,
,0_0|0_0|0_0,
,0_0|0_0|0_0,
,0_0|0_0|0_0,
,0_0|0_0|0_0,
,0_0|0_0|0_0,
,0_0|0_0|0_0,
,0_0|0_0|0_0,
,0_0|0_0|0_0,
,0_0|0_0|0_0,
,0_0|0_0|0_0,
,0_0|0_0|0_0,
,0_0|0_0|0_0,
,0_0|0_0|0_0,
,0_0|0_0|0_0,
,0_0|0_0|0_0,
,0_0|0_0|0_0,
,0_0|0_0|0_0,
,0_0|0_0|0_0,
,0_0|0_0|0_0,
,0_0|0_0|0_0,
,0_0|0_0|0_0,
,0_0|0_0|0_0,
,0_0|0_0|0_0,
,0_0|0_0|0_0,
,0_0|0_0|0_0,
,0_0|0_0|0_0,
