Namespace(dataset='AECHO1_2020', feat='iat_size', gs='True', header='False', model='KJL-GMM(diag)', time='2021-04-01 08:47:49')
***AECHO1_2020, KJL-GMM(diag), iat_size, speedup/data/models/src_dst/iat_size-header_False/AECHO1_2020/before_proj_False-gs_True/KJL-GMM(diag)-std_False_center_False-d_5-diag
***0_th repeat
Total test time: 0.017834833823144436 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014080412918701768, model_test_time: 0.003754420904442668
Total test time: 0.014796915231272578 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011113028274849057, model_test_time: 0.003683886956423521
Total test time: 0.014838799834251404 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011168432887643576, model_test_time: 0.003670366946607828
Total test time: 0.01488783722743392 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011214950354769826, model_test_time: 0.003672886872664094
Total test time: 0.014836819376796484 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011151008307933807, model_test_time: 0.0036858110688626766
Total test time: 0.01484098588116467 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011204968905076385, model_test_time: 0.0036360169760882854
Total test time: 0.020521598402410746 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01534364023245871, model_test_time: 0.005177958169952035
Total test time: 0.020446174778044224 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015322122955694795, model_test_time: 0.005124051822349429
Total test time: 0.02044121315702796 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015322901075705886, model_test_time: 0.005118312081322074
Total test time: 0.0187765141017735 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015186866046860814, model_test_time: 0.0035896480549126863
Total test time: 0.014707823749631643 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011125823948532343, model_test_time: 0.0035819998010993004
Total test time: 0.014770024921745062 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011160655878484249, model_test_time: 0.0036093690432608128
Total test time: 0.014829560881480575 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011244727997109294, model_test_time: 0.0035848328843712807
Total test time: 0.014839096926152706 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011239746119827032, model_test_time: 0.003599350806325674
Total test time: 0.01683891681022942 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011695327004417777, model_test_time: 0.005143589805811644
Total test time: 0.020564061123877764 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015420785872265697, model_test_time: 0.005143275251612067
Total test time: 0.020448450930416584 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015322639141231775, model_test_time: 0.005125811789184809
Total test time: 0.02049913606606424 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015301530016586185, model_test_time: 0.005197606049478054
Total test time: 0.02049998939037323 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015276142163202167, model_test_time: 0.005223847227171063
Total test time: 0.020498173078522086 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015283826040104032, model_test_time: 0.005214347038418055
***1_th repeat
Total test time: 0.020440879045054317 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016115880105644464, model_test_time: 0.004324998939409852
Total test time: 0.020068257814273238 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015695204958319664, model_test_time: 0.004373052855953574
Total test time: 0.019953669048845768 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015665927901864052, model_test_time: 0.004287741146981716
Total test time: 0.019947057822719216 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015744555974379182, model_test_time: 0.0042025018483400345
Total test time: 0.019947594963014126 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015694483183324337, model_test_time: 0.004253111779689789
Total test time: 0.020007465966045856 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015696409856900573, model_test_time: 0.004311056109145284
Total test time: 0.019953853683546185 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015592262847349048, model_test_time: 0.004361590836197138
Total test time: 0.019860558910295367 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015590243972837925, model_test_time: 0.004270314937457442
Total test time: 0.019943261751905084 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015672298846766353, model_test_time: 0.004270962905138731
Total test time: 0.014395237667486072 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0113949088845402, model_test_time: 0.0030003287829458714
Total test time: 0.014381128130480647 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01139409514144063, model_test_time: 0.002987032989040017
Total test time: 0.01441581267863512 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01145803788676858, model_test_time: 0.002957774791866541
Total test time: 0.014425755711272359 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011433185776695609, model_test_time: 0.00299256993457675
Total test time: 0.014340942958369851 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011348705738782883, model_test_time: 0.0029922372195869684
Total test time: 0.019955317256972194 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015727075282484293, model_test_time: 0.004228241974487901
Total test time: 0.019894393160939217 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01562472595833242, model_test_time: 0.004269667202606797
Total test time: 0.019995094276964664 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015624059131368995, model_test_time: 0.00437103514559567
Total test time: 0.017856037942692637 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014855633955448866, model_test_time: 0.0030004039872437716
Total test time: 0.01441796007566154 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011432149214670062, model_test_time: 0.002985810860991478
Total test time: 0.014428792987018824 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011438703862950206, model_test_time: 0.002990089124068618
***2_th repeat
Total test time: 0.014224983751773834 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011460056062787771, model_test_time: 0.002764927688986063
Total test time: 0.014764491003006697 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011981339892372489, model_test_time: 0.0027831511106342077
Total test time: 0.017365512903779745 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013456114800646901, model_test_time: 0.003909398103132844
Total test time: 0.020316085079684854 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016360633075237274, model_test_time: 0.003955452004447579
Total test time: 0.020337103866040707 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0163729100022465, model_test_time: 0.003964193863794208
Total test time: 0.020232385955750942 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016340634087100625, model_test_time: 0.003891751868650317
Total test time: 0.014781228732317686 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011960893869400024, model_test_time: 0.0028203348629176617
Total test time: 0.014775506919249892 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011969116050750017, model_test_time: 0.002806390868499875
Total test time: 0.014738099882379174 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011941301869228482, model_test_time: 0.002796798013150692
Total test time: 0.01476524886675179 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011974080000072718, model_test_time: 0.0027911688666790724
Total test time: 0.014651916921138763 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011915914015844464, model_test_time: 0.002736002905294299
Total test time: 0.02042056480422616 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016520554898306727, model_test_time: 0.0039000099059194326
Total test time: 0.020243437262251973 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016392889199778438, model_test_time: 0.0038505480624735355
