Namespace(dataset='AECHO1_2020', feat='iat_size', gs='False', header='False', model='KJL-GMM(full)', time='2021-04-01 01:56:57')
***AECHO1_2020, KJL-GMM(full), iat_size, speedup/data/models/src_dst/iat_size-header_False/AECHO1_2020/before_proj_False-gs_False/KJL-GMM(full)-std_False_center_False-d_5-full
***0_th repeat
Total test time: 0.004436275456100702 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.003975629340857267, model_test_time: 0.0004606461152434349
Total test time: 0.0013991771265864372 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0009306820575147867, model_test_time: 0.0004684950690716505
Total test time: 0.0014077937230467796 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0009029097855091095, model_test_time: 0.0005048839375376701
Total test time: 0.0017077079974114895 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0012425570748746395, model_test_time: 0.00046515092253685
Total test time: 0.0015057912096381187 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0010821220930665731, model_test_time: 0.0004236691165715456
Total test time: 0.0012429270427674055 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0009105908684432507, model_test_time: 0.00033233617432415485
Total test time: 0.0015407190658152103 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0008915981743484735, model_test_time: 0.0006491208914667368
Total test time: 0.001261355821043253 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0009024569299072027, model_test_time: 0.0003588988911360502
Total test time: 0.0021227458491921425 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0015237957704812288, model_test_time: 0.0005989500787109137
Total test time: 0.0013903898652642965 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.001040779985487461, model_test_time: 0.00034960987977683544
Total test time: 0.0013690609484910965 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0010287947952747345, model_test_time: 0.000340266153216362
Total test time: 0.0013907570391893387 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0010054500307887793, model_test_time: 0.0003853070084005594
Total test time: 0.0012968864757567644 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0009290333837270737, model_test_time: 0.00036785309202969074
Total test time: 0.00231915689073503 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0015254609752446413, model_test_time: 0.0007936959154903889
Total test time: 0.0017441886011511087 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.001243863720446825, model_test_time: 0.0005003248807042837
Total test time: 0.0014948572497814894 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.001146306050941348, model_test_time: 0.0003485511988401413
Total test time: 0.0017587114125490189 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0012549615930765867, model_test_time: 0.0005037498194724321
Total test time: 0.0023915418423712254 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0018156117293983698, model_test_time: 0.0005759301129728556
Total test time: 0.0023713046684861183 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0014655357226729393, model_test_time: 0.000905768945813179
Total test time: 0.001738165970891714 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0013567970599979162, model_test_time: 0.0003813689108937979
***1_th repeat
Total test time: 0.0028453681152313948 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.002019275212660432, model_test_time: 0.0008260929025709629
Total test time: 0.001621004892513156 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0011301287449896336, model_test_time: 0.0004908761475235224
Total test time: 0.0012422811705619097 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0009068441577255726, model_test_time: 0.0003354370128363371
Total test time: 0.0013212710618972778 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.000963917002081871, model_test_time: 0.0003573540598154068
Total test time: 0.0028062821365892887 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0021942241583019495, model_test_time: 0.0006120579782873392
Total test time: 0.006177613046020269 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.005749813048169017, model_test_time: 0.00042779999785125256
Total test time: 0.001976300962269306 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0014373918529599905, model_test_time: 0.0005389091093093157
Total test time: 0.0020721580367535353 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0013926061801612377, model_test_time: 0.0006795518565922976
Total test time: 0.003499582875519991 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.002747979946434498, model_test_time: 0.0007516029290854931
Total test time: 0.0012708359863609076 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0009406618773937225, model_test_time: 0.000330174108967185
Total test time: 0.0016226209700107574 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0009014410898089409, model_test_time: 0.0007211798802018166
Total test time: 0.002255474217236042 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.001598899019882083, model_test_time: 0.0006565751973539591
Total test time: 0.0016296850517392159 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0010945731773972511, model_test_time: 0.0005351118743419647
Total test time: 0.001231765141710639 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0009070038795471191, model_test_time: 0.00032476126216351986
Total test time: 0.0012584782671183348 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.00093597243539989, model_test_time: 0.0003225058317184448
Total test time: 0.0012212099973112345 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0008891928009688854, model_test_time: 0.00033201719634234905
Total test time: 0.0022159700747579336 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0015431900974363089, model_test_time: 0.0006727799773216248
Total test time: 0.0014990889467298985 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0009577968157827854, model_test_time: 0.000541292130947113
