Namespace(dataset='AECHO1_2020', feat='stats', gs='True', header='True', model='KJL-GMM(full)', time='2021-04-01 01:57:00')
***AECHO1_2020, KJL-GMM(full), stats, speedup/data/models/src_dst/stats-header_True/AECHO1_2020/before_proj_False-gs_True/KJL-GMM(full)-std_False_center_False-d_5-full
***0_th repeat
Total test time: 0.0052424268797039986 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0037213540636003017, model_test_time: 0.0015210728161036968
Total test time: 0.004716478055343032 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0014552520588040352, model_test_time: 0.0032612259965389967
Total test time: 0.0022454799618571997 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0009718469809740782, model_test_time: 0.0012736329808831215
Total test time: 0.002386156003922224 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0008923078421503305, model_test_time: 0.0014938481617718935
Total test time: 0.0025046749506145716 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0008829999715089798, model_test_time: 0.0016216749791055918
Total test time: 0.003042015712708235 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0018449719063937664, model_test_time: 0.0011970438063144684
Total test time: 0.0020279448945075274 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0008924240246415138, model_test_time: 0.0011355208698660135
Total test time: 0.002154087880626321 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.001022727694362402, model_test_time: 0.0011313601862639189
Total test time: 0.0025333312805742025 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0008853371255099773, model_test_time: 0.0016479941550642252
Total test time: 0.006302774650976062 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.004415953764691949, model_test_time: 0.001886820886284113
Total test time: 0.002361935330554843 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.001127593219280243, model_test_time: 0.0012343421112746
Total test time: 0.017350099282339215 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015117086237296462, model_test_time: 0.0022330130450427532
