Namespace(dataset='AECHO1_2020', feat='stats', gs='False', header='True', model='KJL-OCSVM(linear)', time='2021-04-01 08:57:46')
***AECHO1_2020, KJL-OCSVM(linear), stats, speedup/data/models/src_dst/stats-header_True/AECHO1_2020/before_proj_False-gs_False/KJL-OCSVM(linear)-std_False_center_False-d_5-None
***0_th repeat
Total test time: 0.05726448982022703 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.02040906297042966, model_test_time: 0.03685542684979737
Total test time: 0.04380657523870468 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012419052887707949, model_test_time: 0.03138752235099673
Total test time: 0.04379122285172343 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012423811946064234, model_test_time: 0.0313674109056592
Total test time: 0.05379924108274281 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017202640883624554, model_test_time: 0.03659660019911826
Total test time: 0.05375583469867706 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017093439819291234, model_test_time: 0.03666239487938583
Total test time: 0.05366798443719745 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01726043620146811, model_test_time: 0.03640754823572934
Total test time: 0.053750001126900315 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01724623190239072, model_test_time: 0.0365037692245096
Total test time: 0.0536352270282805 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01723340107128024, model_test_time: 0.036401825957000256
Total test time: 0.04358300589956343 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012406718917191029, model_test_time: 0.031176286982372403
Total test time: 0.043456860119476914 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012392126955091953, model_test_time: 0.03106473316438496
Total test time: 0.053472637198865414 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017007608199492097, model_test_time: 0.03646502899937332
Total test time: 0.054121953435242176 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01725204661488533, model_test_time: 0.036869906820356846
Total test time: 0.05413299100473523 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017247936222702265, model_test_time: 0.03688505478203297
Total test time: 0.05414967657998204 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017168715596199036, model_test_time: 0.03698096098378301
Total test time: 0.053707667626440525 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01720580691471696, model_test_time: 0.036501860711723566
Total test time: 0.05389392445795238 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017204290255904198, model_test_time: 0.03668963420204818
Total test time: 0.052198593970388174 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017282972112298012, model_test_time: 0.03491562185809016
Total test time: 0.0436131723690778 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012370462296530604, model_test_time: 0.031242710072547197
Total test time: 0.044065698282793164 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012400442268699408, model_test_time: 0.03166525601409376
Total test time: 0.05349615728482604 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017162217292934656, model_test_time: 0.036333939991891384
***1_th repeat
Total test time: 0.04871001304127276 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017306288005784154, model_test_time: 0.031403725035488605
Total test time: 0.043714150320738554 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012487125117331743, model_test_time: 0.03122702520340681
Total test time: 0.049026726046577096 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012409626971930265, model_test_time: 0.03661709907464683
Total test time: 0.053776241140440106 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017243196023628116, model_test_time: 0.03653304511681199
Total test time: 0.05328251188620925 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017244676826521754, model_test_time: 0.036037835059687495
Total test time: 0.05232401727698743 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017186697106808424, model_test_time: 0.03513732017017901
Total test time: 0.04345822986215353 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012439013924449682, model_test_time: 0.031019215937703848
Total test time: 0.04438726487569511 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01243588700890541, model_test_time: 0.0319513778667897
Total test time: 0.05413832585327327 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017273196019232273, model_test_time: 0.036865129834041
Total test time: 0.05426748842000961 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017268435331061482, model_test_time: 0.03699905308894813
Total test time: 0.05416134279221296 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01716558588668704, model_test_time: 0.03699575690552592
Total test time: 0.04366181674413383 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012401959858834743, model_test_time: 0.03125985688529909
Total test time: 0.04387531289830804 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012401255778968334, model_test_time: 0.031474057119339705
Total test time: 0.05425811791792512 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017288841772824526, model_test_time: 0.036969276145100594
Total test time: 0.05440470785833895 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017210548743605614, model_test_time: 0.03719415911473334
Total test time: 0.05399225279688835 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01726961974054575, model_test_time: 0.0367226330563426
Total test time: 0.0543043022044003 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017258695093914866, model_test_time: 0.037045607110485435
Total test time: 0.0542210997082293 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017220991663634777, model_test_time: 0.037000108044594526
Total test time: 0.05437463289126754 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017294174758717418, model_test_time: 0.03708045813255012
Total test time: 0.05396201484836638 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017277657985687256, model_test_time: 0.036684356862679124
***2_th repeat
Total test time: 0.054768495028838515 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01767607405781746, model_test_time: 0.037092420971021056
Total test time: 0.054247100837528706 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017282621003687382, model_test_time: 0.036964479833841324
Total test time: 0.05314798001199961 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017241752007976174, model_test_time: 0.03590622800402343
Total test time: 0.04359430191107094 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012469569919630885, model_test_time: 0.031124731991440058
Total test time: 0.043895072070881724 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012422441272065043, model_test_time: 0.03147263079881668
