Namespace(dataset='AECHO1_2020', feat='stats', gs='True', header='True', model='KJL-OCSVM(linear)', time='2021-04-01 08:54:09')
***AECHO1_2020, KJL-OCSVM(linear), stats, speedup/data/models/src_dst/stats-header_True/AECHO1_2020/before_proj_False-gs_True/KJL-OCSVM(linear)-std_False_center_False-d_5-None
***0_th repeat
Total test time: 0.044560462003573775 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013588943053036928, model_test_time: 0.030971518950536847
Total test time: 0.0420282119885087 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011250503128394485, model_test_time: 0.030777708860114217
Total test time: 0.05016130581498146 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014134929748252034, model_test_time: 0.036026376066729426
Total test time: 0.05098747182637453 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015432399697601795, model_test_time: 0.035555072128772736
Total test time: 0.04215048486366868 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011251464951783419, model_test_time: 0.03089901991188526
Total test time: 0.04223011224530637 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011239872081205249, model_test_time: 0.030990240164101124
Total test time: 0.05169984372332692 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0154517509508878, model_test_time: 0.03624809277243912
Total test time: 0.05149784800596535 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015442101983353496, model_test_time: 0.036055746022611856
Total test time: 0.05161545518785715 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01547919400036335, model_test_time: 0.0361362611874938
Total test time: 0.04714753129519522 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015482362126931548, model_test_time: 0.031665169168263674
Total test time: 0.04228099971078336 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011291666887700558, model_test_time: 0.030989332823082805
Total test time: 0.045460998080670834 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011231743730604649, model_test_time: 0.034229254350066185
