Namespace(dataset='AECHO1_2020', feat='stats', gs='False', header='True', model='KJL-QS-init_GMM(diag)', time='2021-04-01 08:58:14')
***AECHO1_2020, KJL-QS-init_GMM(diag), stats, speedup/data/models/src_dst/stats-header_True/AECHO1_2020/before_proj_False-gs_False/KJL-QS-init_GMM(diag)-std_False_center_False-d_5-diag
***0_th repeat
Total test time: 0.017202826915308833 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014614315005019307, model_test_time: 0.002588511910289526
Total test time: 0.014616796048358083 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012169559020549059, model_test_time: 0.002447237027809024
Total test time: 0.0146406851708889 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012195262126624584, model_test_time: 0.0024454230442643166
Total test time: 0.014615944819524884 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012153892777860165, model_test_time: 0.0024620520416647196
Total test time: 0.014611741295084357 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01216646726243198, model_test_time: 0.002445274032652378
Total test time: 0.014666479779407382 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012228131759911776, model_test_time: 0.0024383480194956064
Total test time: 0.01460540690459311 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012148614972829819, model_test_time: 0.0024567919317632914
Total test time: 0.014653926249593496 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0122175223659724, model_test_time: 0.0024364038836210966
Total test time: 0.014691904885694385 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01218683598563075, model_test_time: 0.002505068900063634
Total test time: 0.014682314125820994 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012186448089778423, model_test_time: 0.002495866036042571
Total test time: 0.01468001795001328 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012161892838776112, model_test_time: 0.0025181251112371683
Total test time: 0.014651017263531685 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012139097088947892, model_test_time: 0.0025119201745837927
Total test time: 0.015551979187875986 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01216750405728817, model_test_time: 0.0033844751305878162
Total test time: 0.02045941515825689 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016912130173295736, model_test_time: 0.003547284984961152
Total test time: 0.020401342073455453 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016904612071812153, model_test_time: 0.0034967300016433
Total test time: 0.020420528948307037 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016949092969298363, model_test_time: 0.0034714359790086746
Total test time: 0.016699838684871793 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014211990870535374, model_test_time: 0.002487847814336419
Total test time: 0.014716184232383966 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012237743241712451, model_test_time: 0.0024784409906715155
Total test time: 0.01469846093095839 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012200669152662158, model_test_time: 0.0024977917782962322
Total test time: 0.01465625804848969 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012205909937620163, model_test_time: 0.002450348110869527
***1_th repeat
Total test time: 0.015248947776854038 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012825709767639637, model_test_time: 0.0024232380092144012
Total test time: 0.01949551422148943 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016015245113521814, model_test_time: 0.003480269107967615
Total test time: 0.020493469899520278 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017111532855778933, model_test_time: 0.0033819370437413454
Total test time: 0.020637502893805504 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017233195947483182, model_test_time: 0.003404306946322322
Total test time: 0.02064409712329507 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01723671588115394, model_test_time: 0.0034073812421411276
