Namespace(dataset='AECHO1_2020', feat='stats', gs='False', header='True', model='KJL-QS-init_GMM(full)', time='2021-04-01 08:56:42')
***AECHO1_2020, KJL-QS-init_GMM(full), stats, speedup/data/models/src_dst/stats-header_True/AECHO1_2020/before_proj_False-gs_False/KJL-QS-init_GMM(full)-std_False_center_False-d_5-full
***0_th repeat
Total test time: 0.01926692295819521 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014673145022243261, model_test_time: 0.004593777935951948
Total test time: 0.01658783876337111 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012201796984300017, model_test_time: 0.004386041779071093
Total test time: 0.01650776620954275 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012216056231409311, model_test_time: 0.00429170997813344
Total test time: 0.016575930872932076 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0122365178540349, model_test_time: 0.004339413018897176
Total test time: 0.02100610313937068 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014722347958013415, model_test_time: 0.0062837551813572645
Total test time: 0.023133829003199935 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016869388055056334, model_test_time: 0.006264440948143601
Total test time: 0.023062588879838586 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016846091952174902, model_test_time: 0.006216496927663684
Total test time: 0.023186753038316965 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016938535030931234, model_test_time: 0.006248218007385731
Total test time: 0.023176493821665645 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01693355292081833, model_test_time: 0.006242940900847316
Total test time: 0.02329439972527325 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016974477795884013, model_test_time: 0.006319921929389238
Total test time: 0.023328380892053246 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016930941957980394, model_test_time: 0.006397438934072852
Total test time: 0.023240438429638743 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0169011102989316, model_test_time: 0.006339328130707145
Total test time: 0.023188365157693624 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016906165052205324, model_test_time: 0.0062822001054883
Total test time: 0.023218882037326694 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016902590170502663, model_test_time: 0.006316291866824031
Total test time: 0.01720389910042286 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012797338189557195, model_test_time: 0.0044065609108656645
Total test time: 0.016617190092802048 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012235739966854453, model_test_time: 0.004381450125947595
Total test time: 0.016580395866185427 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012246110942214727, model_test_time: 0.004334284923970699
Total test time: 0.016541450982913375 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012209519045427442, model_test_time: 0.004331931937485933
Total test time: 0.018497811863198876 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012286461889743805, model_test_time: 0.0062113499734550714
Total test time: 0.023362712236121297 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017032569041475654, model_test_time: 0.006330143194645643
***1_th repeat
Total test time: 0.024403445655480027 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0176987387239933, model_test_time: 0.006704706931486726
Total test time: 0.02397879119962454 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017245361115783453, model_test_time: 0.0067334300838410854
Total test time: 0.024224006105214357 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01734358025714755, model_test_time: 0.006880425848066807
Total test time: 0.023928198963403702 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01717641786672175, model_test_time: 0.0067517810966819525
Total test time: 0.02395280823111534 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01724628615193069, model_test_time: 0.006706522079184651
Total test time: 0.01713162218220532 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012455273186787963, model_test_time: 0.0046763489954173565
Total test time: 0.017202899092808366 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012525049969553947, model_test_time: 0.004677849123254418
Total test time: 0.01711932523176074 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012521752389147878, model_test_time: 0.004597572842612863
Total test time: 0.017118771094828844 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012507901061326265, model_test_time: 0.004610870033502579
Total test time: 0.02119244961068034 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0144845568574965, model_test_time: 0.006707892753183842
Total test time: 0.02382727339863777 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017199303722009063, model_test_time: 0.006627969676628709
Total test time: 0.024025214836001396 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017259081825613976, model_test_time: 0.006766133010387421
