Namespace(dataset='AECHO1_2020', feat='iat_size', gs='True', header='False', model='KJL-QS-init_GMM(full)', time='2021-04-01 08:46:28')
***AECHO1_2020, KJL-QS-init_GMM(full), iat_size, speedup/data/models/src_dst/iat_size-header_False/AECHO1_2020/before_proj_False-gs_True/KJL-QS-init_GMM(full)-std_False_center_False-d_5-full
***0_th repeat
Total test time: 0.019360694801434875 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014154831878840923, model_test_time: 0.005205862922593951
Total test time: 0.016650579869747162 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011623915983363986, model_test_time: 0.005026663886383176
Total test time: 0.016600155737251043 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011526048881933093, model_test_time: 0.00507410685531795
Total test time: 0.016638710163533688 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011581731028854847, model_test_time: 0.005056979134678841
Total test time: 0.01654815790243447 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011449494864791632, model_test_time: 0.005098663037642837
Total test time: 0.016606842167675495 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011583843966946006, model_test_time: 0.005022998200729489
Total test time: 0.01659265602938831 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011549104237928987, model_test_time: 0.005043551791459322
Total test time: 0.023392088944092393 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016001486917957664, model_test_time: 0.007390602026134729
Total test time: 0.023294240469112992 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01586660253815353, model_test_time: 0.007427637930959463
Total test time: 0.023405180079862475 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015959949931129813, model_test_time: 0.007445230148732662
Total test time: 0.02336792298592627 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015902803977951407, model_test_time: 0.007465119007974863
Total test time: 0.02332636760547757 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015908803790807724, model_test_time: 0.0074175638146698475
Total test time: 0.023181592812761664 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015833693789318204, model_test_time: 0.0073478990234434605
Total test time: 0.023184352088719606 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015867452137172222, model_test_time: 0.007316899951547384
Total test time: 0.023392606992274523 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015937228919938207, model_test_time: 0.007455378072336316
Total test time: 0.023366143694147468 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015934191877022386, model_test_time: 0.007431951817125082
Total test time: 0.023388550616800785 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01592195057310164, model_test_time: 0.007466600043699145
Total test time: 0.02334790420718491 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015949470223858953, model_test_time: 0.007398433983325958
Total test time: 0.02330499771051109 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015889784786850214, model_test_time: 0.007415212923660874
Total test time: 0.02320031588897109 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01584006496705115, model_test_time: 0.007360250921919942
***1_th repeat
