Namespace(dataset='AECHO1_2020', feat='stats', gs='True', header='True', model='KJL-QS-init_GMM(full)', time='2021-04-01 08:53:07')
***AECHO1_2020, KJL-QS-init_GMM(full), stats, speedup/data/models/src_dst/stats-header_True/AECHO1_2020/before_proj_False-gs_True/KJL-QS-init_GMM(full)-std_False_center_False-d_5-full
***0_th repeat
Total test time: 0.0182824176736176 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013483610935509205, model_test_time: 0.0047988067381083965
Total test time: 0.015783759066835046 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01116620609536767, model_test_time: 0.004617552971467376
Total test time: 0.01576018496416509 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011161761824041605, model_test_time: 0.0045984231401234865
Total test time: 0.015737241134047508 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01114366902038455, model_test_time: 0.004593572113662958
Total test time: 0.01567885372787714 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011154519859701395, model_test_time: 0.004524333868175745
Total test time: 0.01569950021803379 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011170039186254144, model_test_time: 0.004529461031779647
Total test time: 0.015653947135433555 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011118893045932055, model_test_time: 0.0045350540895015
Total test time: 0.015682910103350878 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011134596075862646, model_test_time: 0.004548314027488232
Total test time: 0.01574709382839501 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011140021961182356, model_test_time: 0.004607071867212653
Total test time: 0.015746684977784753 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011129891965538263, model_test_time: 0.0046167930122464895
Total test time: 0.015716556925326586 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011141150956973433, model_test_time: 0.004575405968353152
Total test time: 0.021209051134064794 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014571104198694229, model_test_time: 0.0066379469353705645
Total test time: 0.021880329586565495 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015240696724504232, model_test_time: 0.006639632862061262
Total test time: 0.021929219597950578 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015265475492924452, model_test_time: 0.006663744105026126
Total test time: 0.021945163840427995 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015255347127094865, model_test_time: 0.00668981671333313
Total test time: 0.021938123973086476 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015280714957043529, model_test_time: 0.006657409016042948
Total test time: 0.021852295147255063 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015209496021270752, model_test_time: 0.006642799125984311
Total test time: 0.021908274153247476 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015272123273462057, model_test_time: 0.0066361508797854185
