Namespace(dataset='AECHO1_2020', feat='iat_size', gs='False', header='False', model='Nystrom-GMM(diag)', time='2021-04-01 08:51:31')
***AECHO1_2020, Nystrom-GMM(diag), iat_size, speedup/data/models/src_dst/iat_size-header_False/AECHO1_2020/before_proj_False-gs_False/Nystrom-GMM(diag)-std_False_center_False-d_5-diag
***0_th repeat
Total test time: 0.016322721960023046 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014761334983631968, model_test_time: 0.001561386976391077
Total test time: 0.01399644697085023 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012573650106787682, model_test_time: 0.0014227968640625477
Total test time: 0.014141223160549998 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01257731718942523, model_test_time: 0.0015639059711247683
Total test time: 0.014053907711058855 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012568519916385412, model_test_time: 0.0014853877946734428
Total test time: 0.018677459098398685 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016666065901517868, model_test_time: 0.0020113931968808174
Total test time: 0.01943777408450842 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017444028053432703, model_test_time: 0.001993746031075716
Total test time: 0.019626066321507096 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017557822167873383, model_test_time: 0.0020682441536337137
Total test time: 0.019466346828266978 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017456805100664496, model_test_time: 0.002009541727602482
Total test time: 0.01942214579321444 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01743187988176942, model_test_time: 0.0019902659114450216
Total test time: 0.019369664834812284 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01737512182444334, model_test_time: 0.001994543010368943
Total test time: 0.019500437891110778 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017434490146115422, model_test_time: 0.0020659477449953556
Total test time: 0.018091030651703477 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016673751641064882, model_test_time: 0.0014172790106385946
Total test time: 0.01391617115586996 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012504373211413622, model_test_time: 0.0014117979444563389
Total test time: 0.013933838345110416 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012513521127402782, model_test_time: 0.001420317217707634
Total test time: 0.01396942907012999 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012547094142064452, model_test_time: 0.0014223349280655384
Total test time: 0.014010799117386341 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012591759907081723, model_test_time: 0.0014190392103046179
