Namespace(dataset='AECHO1_2020', feat='stats', gs='False', header='True', model='Nystrom-GMM(diag)', time='2021-04-01 08:58:09')
***AECHO1_2020, Nystrom-GMM(diag), stats, speedup/data/models/src_dst/stats-header_True/AECHO1_2020/before_proj_False-gs_False/Nystrom-GMM(diag)-std_False_center_False-d_5-diag
***0_th repeat
Total test time: 0.0161417240742594 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01464083418250084, model_test_time: 0.0015008898917585611
Total test time: 0.013867092784494162 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01244618184864521, model_test_time: 0.0014209109358489513
Total test time: 0.013918554177507758 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012505403021350503, model_test_time: 0.0014131511561572552
Total test time: 0.0138621861115098 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012438627192750573, model_test_time: 0.0014235589187592268
Total test time: 0.013800482964143157 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012382441898807883, model_test_time: 0.0014180410653352737
Total test time: 0.013851390918716788 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01243442390114069, model_test_time: 0.0014169670175760984
Total test time: 0.013759152963757515 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01234798296354711, model_test_time: 0.0014111700002104044
Total test time: 0.013888665242120624 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012471662135794759, model_test_time: 0.0014170031063258648
Total test time: 0.013893796596676111 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012474516406655312, model_test_time: 0.0014192801900207996
Total test time: 0.013868184993043542 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012452718801796436, model_test_time: 0.0014154661912471056
Total test time: 0.013927626656368375 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012521456694230437, model_test_time: 0.0014061699621379375
Total test time: 0.013914294075220823 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012505254941061139, model_test_time: 0.0014090391341596842
Total test time: 0.01390472101047635 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012495680944994092, model_test_time: 0.0014090400654822588
Total test time: 0.013845945242792368 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01243323809467256, model_test_time: 0.0014127071481198072
