Namespace(dataset='AECHO1_2020', feat='stats', gs='False', header='True', model='Nystrom-GMM(full)', time='2021-04-01 08:56:37')
***AECHO1_2020, Nystrom-GMM(full), stats, speedup/data/models/src_dst/stats-header_True/AECHO1_2020/before_proj_False-gs_False/Nystrom-GMM(full)-std_False_center_False-d_5-full
***0_th repeat
Total test time: 0.01622649608179927 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014581018127501011, model_test_time: 0.0016454779542982578
Total test time: 0.013927164487540722 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0124042013194412, model_test_time: 0.0015229631680995226
Total test time: 0.014009124133735895 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012490531196817756, model_test_time: 0.0015185929369181395
Total test time: 0.013928922126069665 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012405941030010581, model_test_time: 0.001522981096059084
Total test time: 0.014022919815033674 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01250908593647182, model_test_time: 0.0015138338785618544
Total test time: 0.013953142799437046 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012434623902663589, model_test_time: 0.0015185188967734575
Total test time: 0.014034139923751354 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012513010995462537, model_test_time: 0.0015211289282888174
Total test time: 0.014096175786107779 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012582286959514022, model_test_time: 0.0015138888265937567
Total test time: 0.013997623696923256 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012483178870752454, model_test_time: 0.0015144448261708021
Total test time: 0.019325643312186003 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01719073229469359, model_test_time: 0.0021349110174924135
Total test time: 0.019388734130188823 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01725428504869342, model_test_time: 0.0021344490814954042
Total test time: 0.01926973625086248 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01714362110942602, model_test_time: 0.0021261151414364576
Total test time: 0.019359104800969362 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017132584936916828, model_test_time: 0.002226519864052534
Total test time: 0.019280015723779798 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017134863883256912, model_test_time: 0.0021451518405228853
Total test time: 0.019333568401634693 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017203305149450898, model_test_time: 0.002130263252183795
Total test time: 0.01924814423546195 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01712952903471887, model_test_time: 0.002118615200743079
Total test time: 0.017025086795911193 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015501012792810798, model_test_time: 0.0015240740031003952
Total test time: 0.013946460094302893 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012425126042217016, model_test_time: 0.0015213340520858765
Total test time: 0.013949256390333176 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0124371072743088, model_test_time: 0.001512149116024375
Total test time: 0.0139485327526927 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012426087399944663, model_test_time: 0.0015224453527480364
***1_th repeat
Total test time: 0.01435355911962688 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012813281966373324, model_test_time: 0.0015402771532535553
Total test time: 0.01566160307265818 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013499099062755704, model_test_time: 0.0021625040099024773
Total test time: 0.019316662568598986 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017156417714431882, model_test_time: 0.0021602448541671038
