Namespace(dataset='AECHO1_2020', feat='stats', gs='False', header='True', model='Nystrom-OCSVM(linear)', time='2021-04-01 08:57:55')
***AECHO1_2020, Nystrom-OCSVM(linear), stats, speedup/data/models/src_dst/stats-header_True/AECHO1_2020/before_proj_False-gs_False/Nystrom-OCSVM(linear)-std_False_center_False-d_5-None
***0_th repeat
Total test time: 0.04579180362634361 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014711607713252306, model_test_time: 0.031080195913091302
Total test time: 0.049541474087163806 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012453422183170915, model_test_time: 0.03708805190399289
Total test time: 0.05412549269385636 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017211418831720948, model_test_time: 0.03691407386213541
Total test time: 0.05395921925082803 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0173256010748446, model_test_time: 0.03663361817598343
Total test time: 0.05379255581647158 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017190881771966815, model_test_time: 0.03660167404450476
Total test time: 0.05400878982618451 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01718860282562673, model_test_time: 0.03682018700055778
Total test time: 0.04740495141595602 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016413605539128184, model_test_time: 0.030991345876827836
Total test time: 0.04329434619285166 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012428997084498405, model_test_time: 0.030865349108353257
Total test time: 0.04330381006002426 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012388943927362561, model_test_time: 0.0309148661326617
Total test time: 0.043854295276105404 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012394015211611986, model_test_time: 0.03146028006449342
Total test time: 0.04834274388849735 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012402182910591364, model_test_time: 0.03594056097790599
Total test time: 0.05403575417585671 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01721634529531002, model_test_time: 0.03681940888054669
Total test time: 0.054214008850976825 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017197826877236366, model_test_time: 0.03701618197374046
Total test time: 0.05330923502333462 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0171774011105299, model_test_time: 0.03613183391280472
Total test time: 0.043958535650745034 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0124128139577806, model_test_time: 0.031545721692964435
Total test time: 0.044716810807585716 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01232073875144124, model_test_time: 0.032396072056144476
Total test time: 0.05422497051768005 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01724571385420859, model_test_time: 0.03697925666347146
Total test time: 0.053570652613416314 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01725845388136804, model_test_time: 0.03631219873204827
Total test time: 0.054498296696692705 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017639500787481666, model_test_time: 0.03685879590921104
Total test time: 0.04382953583262861 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012470105895772576, model_test_time: 0.03135942993685603
***1_th repeat
Total test time: 0.044228581711649895 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012677822960540652, model_test_time: 0.03155075875110924
Total test time: 0.05374239222146571 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01713055116124451, model_test_time: 0.036611841060221195
Total test time: 0.053553172852844 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01718065980821848, model_test_time: 0.03637251304462552
Total test time: 0.05348419118672609 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017191510181874037, model_test_time: 0.036292681004852057
Total test time: 0.04739776696078479 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01625720295123756, model_test_time: 0.031140564009547234
Total test time: 0.043789872201159596 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012395553290843964, model_test_time: 0.03139431891031563
Total test time: 0.04875147365964949 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01234644278883934, model_test_time: 0.03640503087081015
Total test time: 0.05357646965421736 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017152975779026747, model_test_time: 0.036423493875190616
Total test time: 0.053665559738874435 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017157790949568152, model_test_time: 0.03650776878930628
Total test time: 0.052466107765212655 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017156753689050674, model_test_time: 0.03530935407616198
Total test time: 0.04389414703473449 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012391145806759596, model_test_time: 0.03150300122797489
Total test time: 0.04494539904408157 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012382424203678966, model_test_time: 0.0325629748404026
Total test time: 0.05414495710283518 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017267604125663638, model_test_time: 0.03687735297717154
Total test time: 0.05389351514168084 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017330859089270234, model_test_time: 0.0365626560524106
Total test time: 0.05422139912843704 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017181124072521925, model_test_time: 0.03704027505591512
Total test time: 0.05404068110510707 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01722432696260512, model_test_time: 0.03681635414250195
Total test time: 0.054152677999809384 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017163828015327454, model_test_time: 0.03698884998448193
Total test time: 0.05356450681574643 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017285214038565755, model_test_time: 0.03627929277718067
Total test time: 0.05415175203233957 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01722562313079834, model_test_time: 0.03692612890154123
Total test time: 0.05412017717026174 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017281692940741777, model_test_time: 0.03683848422951996
***2_th repeat
Total test time: 0.054070512065663934 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016843241173774004, model_test_time: 0.03722727089188993
Total test time: 0.05337162083014846 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017261731904000044, model_test_time: 0.036109888926148415
Total test time: 0.05400123610161245 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017161567928269506, model_test_time: 0.03683966817334294
Total test time: 0.053957219468429685 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0172547516413033, model_test_time: 0.036702467827126384
Total test time: 0.054415875347331166 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01710919919423759, model_test_time: 0.037306676153093576
Total test time: 0.05407786485739052 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017276916885748506, model_test_time: 0.03680094797164202
Total test time: 0.053922459948807955 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01726424996741116, model_test_time: 0.036658209981396794
Total test time: 0.053791648242622614 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01721586217172444, model_test_time: 0.036575786070898175
Total test time: 0.054085957584902644 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017208197619765997, model_test_time: 0.03687775996513665
Total test time: 0.054964845068752766 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01715388405136764, model_test_time: 0.037810961017385125
Total test time: 0.05400343891233206 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017290601041167974, model_test_time: 0.036712837871164083
Total test time: 0.05391821917146444 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017251880140975118, model_test_time: 0.036666339030489326
Total test time: 0.05388436955399811 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017208345234394073, model_test_time: 0.03667602431960404
Total test time: 0.043507379014045 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012467831140384078, model_test_time: 0.031039547873660922
Total test time: 0.04349193419329822 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012533291010186076, model_test_time: 0.030958643183112144
Total test time: 0.05379613162949681 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017061959952116013, model_test_time: 0.0367341716773808
Total test time: 0.05401832889765501 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017260361928492785, model_test_time: 0.036757966969162226
Total test time: 0.05423167464323342 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017225991934537888, model_test_time: 0.03700568270869553
Total test time: 0.05424998886883259 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017276471946388483, model_test_time: 0.036973516922444105
Total test time: 0.053777222987264395 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017203640891239047, model_test_time: 0.03657358209602535
***3_th repeat
Total test time: 0.05460792710073292 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01762935402803123, model_test_time: 0.03697857307270169
Total test time: 0.05380192585289478 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01720915990881622, model_test_time: 0.036592765944078565
Total test time: 0.05385781615041196 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017237585969269276, model_test_time: 0.03662023018114269
