Namespace(dataset='AECHO1_2020', feat='iat_size', gs='True', header='False', model='Nystrom-OCSVM(linear)', time='2021-04-01 08:47:40')
***AECHO1_2020, Nystrom-OCSVM(linear), iat_size, speedup/data/models/src_dst/iat_size-header_False/AECHO1_2020/before_proj_False-gs_True/Nystrom-OCSVM(linear)-std_False_center_False-d_5-None
***0_th repeat
Total test time: 0.054768377682194114 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.018942083697766066, model_test_time: 0.03582629398442805
Total test time: 0.04534765798598528 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014415089040994644, model_test_time: 0.030932568944990635
Total test time: 0.04242936288937926 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011595051037147641, model_test_time: 0.030834311852231622
Total test time: 0.04794383072294295 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011596365831792355, model_test_time: 0.036347464891150594
Total test time: 0.05215533426962793 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015899848425760865, model_test_time: 0.036255485843867064
Total test time: 0.04245738103054464 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011496294056996703, model_test_time: 0.030961086973547935
Total test time: 0.04279805882833898 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011705549899488688, model_test_time: 0.031092508928850293
Total test time: 0.04255886119790375 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011577423196285963, model_test_time: 0.03098143800161779
Total test time: 0.042512953747063875 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01154394168406725, model_test_time: 0.030969012062996626
Total test time: 0.04911559750325978 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01291590672917664, model_test_time: 0.03619969077408314
Total test time: 0.051923689898103476 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01578942290507257, model_test_time: 0.036134266993030906
Total test time: 0.05190393282100558 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01584240491501987, model_test_time: 0.03606152790598571
Total test time: 0.051769234240055084 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01577350008301437, model_test_time: 0.035995734157040715
Total test time: 0.05206187232397497 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01588975405320525, model_test_time: 0.036172118270769715
Total test time: 0.052079001208767295 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01575183216482401, model_test_time: 0.036327169043943286
Total test time: 0.05192980100400746 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015822015004232526, model_test_time: 0.03610778599977493
Total test time: 0.05203689099289477 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015805145958438516, model_test_time: 0.03623174503445625
Total test time: 0.051805138820782304 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015858921920880675, model_test_time: 0.03594621689990163
Total test time: 0.0519267285708338 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015812960686162114, model_test_time: 0.03611376788467169
Total test time: 0.04746488225646317 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015799980144947767, model_test_time: 0.0316649021115154
***1_th repeat
Total test time: 0.042840353678911924 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01187898893840611, model_test_time: 0.030961364740505815
