Namespace(dataset='AECHO1_2020', feat='stats', gs='True', header='True', model='Nystrom-OCSVM(linear)', time='2021-04-01 08:54:18')
***AECHO1_2020, Nystrom-OCSVM(linear), stats, speedup/data/models/src_dst/stats-header_True/AECHO1_2020/before_proj_False-gs_True/Nystrom-OCSVM(linear)-std_False_center_False-d_5-None
***0_th repeat
Total test time: 0.04528042720630765 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014381888089701533, model_test_time: 0.030898539116606116
Total test time: 0.04319001385010779 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01213388703763485, model_test_time: 0.03105612681247294
Total test time: 0.049099833238869905 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01246467512100935, model_test_time: 0.036635158117860556
Total test time: 0.053655500058084726 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016813440015539527, model_test_time: 0.0368420600425452
Total test time: 0.04308910993859172 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012184867169708014, model_test_time: 0.030904242768883705
Total test time: 0.043668931582942605 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012247700709849596, model_test_time: 0.03142123087309301
Total test time: 0.053349839989095926 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01671979296952486, model_test_time: 0.036630047019571066
Total test time: 0.052353886188939214 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016697037033736706, model_test_time: 0.03565684915520251
Total test time: 0.04348686197772622 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012220331002026796, model_test_time: 0.031266530975699425
Total test time: 0.04405953292734921 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01211337000131607, model_test_time: 0.03194616292603314
Total test time: 0.05375588801689446 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016868513077497482, model_test_time: 0.03688737493939698
Total test time: 0.05369568197056651 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01673975493758917, model_test_time: 0.03695592703297734
Total test time: 0.05367268458940089 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01678912458010018, model_test_time: 0.03688356000930071
Total test time: 0.04301009397022426 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012099129147827625, model_test_time: 0.030910964822396636
Total test time: 0.04314473923295736 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012124703265726566, model_test_time: 0.031020035967230797
Total test time: 0.052086999639868736 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015504396753385663, model_test_time: 0.03658260288648307
Total test time: 0.05288205808028579 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01669838884845376, model_test_time: 0.03618366923183203
Total test time: 0.05328747187741101 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016828940249979496, model_test_time: 0.03645853162743151
Total test time: 0.0656380767468363 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.03434956562705338, model_test_time: 0.031288511119782925
Total test time: 0.04336477187462151 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012097518891096115, model_test_time: 0.031267252983525395
***1_th repeat
Total test time: 0.05295438808389008 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01618162216618657, model_test_time: 0.03677276591770351
Total test time: 0.05395771563053131 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0172055596485734, model_test_time: 0.03675215598195791
Total test time: 0.053840477019548416 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01699941698461771, model_test_time: 0.036841060034930706
Total test time: 0.04916623909957707 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017132523003965616, model_test_time: 0.03203371609561145
Total test time: 0.043484193505719304 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012452546739950776, model_test_time: 0.031031646765768528
Total test time: 0.047768312972038984 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012268257094547153, model_test_time: 0.03550005587749183
Total test time: 0.053726276848465204 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01715437602251768, model_test_time: 0.03657190082594752
Total test time: 0.04382339003495872 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012761207297444344, model_test_time: 0.031062182737514377
Total test time: 0.04360043187625706 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012591043021529913, model_test_time: 0.03100938885472715
Total test time: 0.05189870996400714 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015847241040319204, model_test_time: 0.036051468923687935
Total test time: 0.053317398531362414 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017062841216102242, model_test_time: 0.03625455731526017
