Namespace(dataset='AECHO1_2020', feat='iat_size', gs='True', header='False', model='Nystrom-QS-init_GMM(diag)', time='2021-04-01 08:48:05')
***AECHO1_2020, Nystrom-QS-init_GMM(diag), iat_size, speedup/data/models/src_dst/iat_size-header_False/AECHO1_2020/before_proj_False-gs_True/Nystrom-QS-init_GMM(diag)-std_False_center_False-d_5-diag
***0_th repeat
Total test time: 0.018045404693111777 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014762007631361485, model_test_time: 0.0032833970617502928
Total test time: 0.015230644028633833 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012050744146108627, model_test_time: 0.0031798998825252056
Total test time: 0.015278235077857971 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012020301073789597, model_test_time: 0.0032579340040683746
Total test time: 0.01528167980723083 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012036966858431697, model_test_time: 0.0032447129487991333
Total test time: 0.020293754059821367 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015755704138427973, model_test_time: 0.0045380499213933945
Total test time: 0.021273412508890033 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016714363591745496, model_test_time: 0.004559048917144537
Total test time: 0.021274526370689273 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016741716535761952, model_test_time: 0.0045328098349273205
Total test time: 0.02115653012879193 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016617943067103624, model_test_time: 0.004538587061688304
Total test time: 0.02129685808904469 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016751623013988137, model_test_time: 0.004545235075056553
Total test time: 0.021140545839443803 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016617477871477604, model_test_time: 0.004523067967966199
Total test time: 0.021216359920799732 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016670977929607034, model_test_time: 0.0045453819911926985
Total test time: 0.021224525291472673 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016697142273187637, model_test_time: 0.004527383018285036
Total test time: 0.021180639509111643 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01664821826852858, model_test_time: 0.004532421240583062
Total test time: 0.021164323668926954 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01663562562316656, model_test_time: 0.004528698045760393
Total test time: 0.018895438173785806 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015624799998477101, model_test_time: 0.0032706381753087044
Total test time: 0.015330029418691993 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0120572445448488, model_test_time: 0.003272784873843193
Total test time: 0.01521455287002027 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012019652873277664, model_test_time: 0.003194899996742606
Total test time: 0.015345769701525569 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012146648950874805, model_test_time: 0.0031991207506507635
Total test time: 0.01530899410136044 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012103057000786066, model_test_time: 0.003205937100574374
Total test time: 0.019111859379336238 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014543181285262108, model_test_time: 0.00456867809407413
***1_th repeat
Total test time: 0.02154175960458815 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01786935469135642, model_test_time: 0.0036724049132317305
Total test time: 0.021064974134787917 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01737430994398892, model_test_time: 0.003690664190798998
Total test time: 0.020190610783174634 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017375590046867728, model_test_time: 0.0028150207363069057
Total test time: 0.015225940616801381 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012612562626600266, model_test_time: 0.0026133779902011156
Total test time: 0.01526232878677547 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012676747050136328, model_test_time: 0.002585581736639142
Total test time: 0.015203515067696571 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012661469168961048, model_test_time: 0.0025420458987355232
Total test time: 0.015165033750236034 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01260659983381629, model_test_time: 0.0025584339164197445
Total test time: 0.015268104150891304 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01271830010227859, model_test_time: 0.002549804048612714
Total test time: 0.015226328978314996 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012674338882789016, model_test_time: 0.00255199009552598
Total test time: 0.01513261254876852 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012575770495459437, model_test_time: 0.002556842053309083
Total test time: 0.015144310658797622 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012599655892699957, model_test_time: 0.002544654766097665
Total test time: 0.015093611786141992 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012538825627416372, model_test_time: 0.0025547861587256193
Total test time: 0.017756747314706445 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01406658231280744, model_test_time: 0.003690165001899004
Total test time: 0.02115841768682003 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017469697864726186, model_test_time: 0.0036887198220938444
Total test time: 0.021095638861879706 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017459455877542496, model_test_time: 0.0036361829843372107
Total test time: 0.021129805827513337 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017494806786999106, model_test_time: 0.0036349990405142307
Total test time: 0.02107878914102912 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01745680905878544, model_test_time: 0.003621980082243681
Total test time: 0.021093585062772036 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017460142029449344, model_test_time: 0.003633443033322692
