Namespace(dataset='AECHO1_2020', feat='iat_size', gs='False', header='False', model='Nystrom-QS-init_GMM(full)', time='2021-04-01 08:50:10')
***AECHO1_2020, Nystrom-QS-init_GMM(full), iat_size, speedup/data/models/src_dst/iat_size-header_False/AECHO1_2020/before_proj_False-gs_False/Nystrom-QS-init_GMM(full)-std_False_center_False-d_5-full
***0_th repeat
Total test time: 0.0208959539886564 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014882717048749328, model_test_time: 0.006013236939907074
Total test time: 0.01814491138793528 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012157081393525004, model_test_time: 0.005987829994410276
Total test time: 0.01808298798277974 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012182654812932014, model_test_time: 0.005900333169847727
Total test time: 0.018125394359230995 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012107120361179113, model_test_time: 0.006018273998051882
Total test time: 0.024336996721103787 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015663345577195287, model_test_time: 0.0086736511439085
Total test time: 0.025318026775494218 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016656690975651145, model_test_time: 0.008661335799843073
Total test time: 0.025409119669348 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01667852490209043, model_test_time: 0.008730594767257571
Total test time: 0.02547639305703342 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016728614224120975, model_test_time: 0.008747778832912445
Total test time: 0.025506984908133745 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016776242991909385, model_test_time: 0.00873074191622436
Total test time: 0.025372174801304936 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016674635699018836, model_test_time: 0.0086975391022861
Total test time: 0.018622327130287886 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01261797803454101, model_test_time: 0.006004349095746875
Total test time: 0.018110728124156594 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012110361130908132, model_test_time: 0.006000366993248463
Total test time: 0.018124188063666224 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012177728116512299, model_test_time: 0.005946459947153926
Total test time: 0.018117635045200586 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012119472026824951, model_test_time: 0.005998163018375635
Total test time: 0.02277525793761015 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014059810899198055, model_test_time: 0.008715447038412094
Total test time: 0.025481262477114797 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016755131306126714, model_test_time: 0.008726131170988083
Total test time: 0.025314658880233765 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016686581075191498, model_test_time: 0.008628077805042267
Total test time: 0.02548994985409081 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0168092988897115, model_test_time: 0.00868065096437931
Total test time: 0.025355417048558593 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016674821032211185, model_test_time: 0.008680596016347408
Total test time: 0.025336618768051267 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016770354937762022, model_test_time: 0.008566263830289245
***1_th repeat
Total test time: 0.02070064190775156 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01545823784545064, model_test_time: 0.0052424040623009205
Total test time: 0.01781227276660502 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012583552626892924, model_test_time: 0.005228720139712095
Total test time: 0.017783291870728135 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01261966279707849, model_test_time: 0.005163629073649645
Total test time: 0.017818717285990715 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01252496219240129, model_test_time: 0.005293755093589425
Total test time: 0.01782238413579762 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01256999815814197, model_test_time: 0.005252385977655649
Total test time: 0.01785873412154615 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012634550221264362, model_test_time: 0.005224183900281787
Total test time: 0.017870306503027678 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01255066366866231, model_test_time: 0.005319642834365368
Total test time: 0.01778973499312997 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01259082998149097, model_test_time: 0.005198905011638999
Total test time: 0.017765201162546873 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012545036152005196, model_test_time: 0.0052201650105416775
Total test time: 0.02492227707989514 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017278044018894434, model_test_time: 0.007644233061000705
Total test time: 0.024993997998535633 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0173490799497813, model_test_time: 0.0076449180487543344
Total test time: 0.02484078030101955 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017290230141952634, model_test_time: 0.0075505501590669155
Total test time: 0.025001607835292816 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017357116797938943, model_test_time: 0.007644491037353873
