Namespace(dataset='AECHO1_2020', feat='iat_size', gs='True', header='False', model='Nystrom-QS-init_GMM(full)', time='2021-04-01 08:46:34')
***AECHO1_2020, Nystrom-QS-init_GMM(full), iat_size, speedup/data/models/src_dst/iat_size-header_False/AECHO1_2020/before_proj_False-gs_True/Nystrom-QS-init_GMM(full)-std_False_center_False-d_5-full
***0_th repeat
Total test time: 0.020049900049343705 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014547432772815228, model_test_time: 0.005502467276528478
Total test time: 0.017436337424442172 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01204346027225256, model_test_time: 0.005392877152189612
Total test time: 0.017364840721711516 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012064146809279919, model_test_time: 0.005300693912431598
Total test time: 0.01733554294332862 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011918463977053761, model_test_time: 0.0054170789662748575
Total test time: 0.017332653980702162 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011957739945501089, model_test_time: 0.005374914035201073
Total test time: 0.017312045209109783 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012004832969978452, model_test_time: 0.0053072122391313314
Total test time: 0.017225789139047265 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011894836090505123, model_test_time: 0.005330953048542142
Total test time: 0.017351618967950344 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011951575055718422, model_test_time: 0.005400043912231922
Total test time: 0.01726554473862052 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011971222003921866, model_test_time: 0.005294322734698653
Total test time: 0.017197140958160162 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011891483794897795, model_test_time: 0.005305657163262367
Total test time: 0.02060920000076294 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012796367984265089, model_test_time: 0.00781283201649785
Total test time: 0.024187271017581224 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01646047504618764, model_test_time: 0.007726795971393585
Total test time: 0.02426065760664642 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016494583804160357, model_test_time: 0.007766073802486062
Total test time: 0.02431867690756917 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016477474942803383, model_test_time: 0.007841201964765787
Total test time: 0.024447303032502532 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01660110126249492, model_test_time: 0.00784620177000761
Total test time: 0.024237788980826735 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01649125199764967, model_test_time: 0.007746536983177066
Total test time: 0.023239315953105688 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016554842935875058, model_test_time: 0.00668447301723063
Total test time: 0.017406524159014225 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011989963240921497, model_test_time: 0.005416560918092728
Total test time: 0.01729180756956339 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011985242832452059, model_test_time: 0.00530656473711133
Total test time: 0.017304637702181935 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01196816680021584, model_test_time: 0.005336470901966095
***1_th repeat
Total test time: 0.018015636829659343 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01271477690897882, model_test_time: 0.005300859920680523
Total test time: 0.024695146828889847 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017018275801092386, model_test_time: 0.0076768710277974606
Total test time: 0.024616166949272156 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017021515173837543, model_test_time: 0.007594651775434613
Total test time: 0.02464331523515284 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017004683148115873, model_test_time: 0.007638632087036967
Total test time: 0.01845007319934666 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013202895410358906, model_test_time: 0.005247177788987756
Total test time: 0.01759068388491869 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012318138033151627, model_test_time: 0.005272545851767063
Total test time: 0.017665314255282283 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012388545088469982, model_test_time: 0.005276769166812301
Total test time: 0.017614092910662293 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012380285887047648, model_test_time: 0.005233807023614645
Total test time: 0.020648422185331583 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01298053003847599, model_test_time: 0.007667892146855593
Total test time: 0.024559852899983525 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016955554019659758, model_test_time: 0.007604298880323768
Total test time: 0.024672703118994832 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017019885126501322, model_test_time: 0.00765281799249351
