Namespace(dataset='AECHO1_2020', feat='iat_size', gs='False', header='False', model='OCSVM(rbf)', time='2021-04-01 08:50:16')
***AECHO1_2020, OCSVM(rbf), iat_size, speedup/data/models/src_dst/iat_size-header_False/AECHO1_2020/before_proj_False-gs_False/OCSVM(rbf)-std_False_center_False-d_5-None
***0_th repeat
Total test time: 0.4441808678675443 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.757917046546936e-06, model_test_time: 0.44417310995049775
Total test time: 0.47580651426687837 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.666174158453941e-06, model_test_time: 0.4757998480927199
Total test time: 0.4754695617593825 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.814960554242134e-06, model_test_time: 0.47546174679882824
Total test time: 0.41249192995019257 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 8.260132744908333e-06, model_test_time: 0.41248366981744766
Total test time: 0.4481246608775109 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.500872015953064e-06, model_test_time: 0.44811716000549495
Total test time: 0.542533113155514 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.020403578877449e-05, model_test_time: 0.5425229091197252
Total test time: 0.5096258341800421 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 9.297160431742668e-06, model_test_time: 0.5096165370196104
Total test time: 0.4756830418482423 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.425900548696518e-06, model_test_time: 0.4756756159476936
Total test time: 0.47361861425451934 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.72206112742424e-06, model_test_time: 0.4736108921933919
Total test time: 0.47486432222649455 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.4801500886678696e-06, model_test_time: 0.4748568420764059
Total test time: 0.5009930359665304 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.0184943675994873e-05, model_test_time: 0.5009828510228544
Total test time: 0.4754617717117071 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.425667718052864e-06, model_test_time: 0.47545434604398906
Total test time: 0.47687857202254236 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.685041055083275e-06, model_test_time: 0.4768708869814873
Total test time: 0.44457499706186354 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.629161700606346e-06, model_test_time: 0.44456736790016294
Total test time: 0.5332821148913354 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 9.832903742790222e-06, model_test_time: 0.5332722819875926
Total test time: 0.4418167909607291 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.907859981060028e-06, model_test_time: 0.44180888310074806
Total test time: 0.47138376999646425 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 8.740928024053574e-06, model_test_time: 0.4713750290684402
Total test time: 0.47406753501854837 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.425900548696518e-06, model_test_time: 0.4740601091179997
Total test time: 0.5151807419024408 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 8.073868229985237e-06, model_test_time: 0.5151726680342108
Total test time: 0.5026930007152259 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.0240823030471802e-05, model_test_time: 0.5026827598921955
***1_th repeat
Total test time: 0.5429055839776993 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.0353047400712967e-05, model_test_time: 0.5428952309302986
Total test time: 0.4599095641169697 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.0204967111349106e-05, model_test_time: 0.45989935914985836
Total test time: 0.48156262980774045 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 9.98075120151043e-06, model_test_time: 0.48155264905653894
Total test time: 0.5057631863746792 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.648253813385963e-06, model_test_time: 0.5057555381208658
Total test time: 0.47476470936089754 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.888535037636757e-06, model_test_time: 0.4747568208258599
Total test time: 0.47523229103535414 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.555121555924416e-06, model_test_time: 0.4752247359137982
Total test time: 0.4761989170219749 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.612165063619614e-06, model_test_time: 0.4761913048569113
Total test time: 0.5048978787381202 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 8.017988875508308e-06, model_test_time: 0.5048898607492447
Total test time: 0.5035973959602416 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.315073162317276e-06, model_test_time: 0.5035900808870792
Total test time: 0.5043475432321429 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.685041055083275e-06, model_test_time: 0.5043398581910878
Total test time: 0.49881507200188935 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 8.424976840615273e-06, model_test_time: 0.49880664702504873
Total test time: 0.5028117683250457 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.0073184967041016e-05, model_test_time: 0.5028016951400787
Total test time: 0.4738077777437866 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 9.05594788491726e-06, model_test_time: 0.47379872179590166
Total test time: 0.44431611290201545 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.370021194219589e-06, model_test_time: 0.44430874288082123
Total test time: 0.49693945585750043 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.0739779099822044e-05, model_test_time: 0.4969287160784006
Total test time: 0.49831379437819123 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.0631280019879341e-05, model_test_time: 0.49830316309817135
Total test time: 0.4751047289464623 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 8.37002880871296e-06, model_test_time: 0.47509635891765356
Total test time: 0.47193864290602505 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.51810148358345e-06, model_test_time: 0.47193112480454147
Total test time: 0.44542459095828235 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.149064913392067e-06, model_test_time: 0.44541744189336896
Total test time: 0.47508932487107813 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.536960765719414e-06, model_test_time: 0.4750817879103124
***2_th repeat
Total test time: 0.5033477630931884 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.8519806265831e-06, model_test_time: 0.5033399111125618
Total test time: 0.5021935529075563 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 8.017756044864655e-06, model_test_time: 0.5021855351515114
Total test time: 0.47315678535960615 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.7963264882564545e-06, model_test_time: 0.4731499890331179
Total test time: 0.4823498681653291 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.185153663158417e-06, model_test_time: 0.48234268301166594
Total test time: 0.49978050449863076 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 8.777249604463577e-06, model_test_time: 0.4997717272490263
Total test time: 0.45263474783860147 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.0333722457289696e-05, model_test_time: 0.4526244141161442
Total test time: 0.4417772062588483 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.2410330176353455e-06, model_test_time: 0.4417699652258307
Total test time: 0.44312352570705116 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 8.759787306189537e-06, model_test_time: 0.44311476591974497
Total test time: 0.5020110080949962 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 8.037080988287926e-06, model_test_time: 0.5020029710140079
Total test time: 0.5023757966700941 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.5374264270067215e-06, model_test_time: 0.5023682592436671
Total test time: 0.46908661583438516 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.796799764037132e-06, model_test_time: 0.4690788190346211
Total test time: 0.4404333720449358 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.03614205121994e-06, model_test_time: 0.4404263359028846
Total test time: 0.5038232600782067 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.0731621235609055e-06, model_test_time: 0.5038161869160831
Total test time: 0.46957112406380475 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 9.573996067047119e-06, model_test_time: 0.4695615500677377
Total test time: 0.5028076951857656 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.814029231667519e-06, model_test_time: 0.502799881156534
Total test time: 0.4751299489289522 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.757917046546936e-06, model_test_time: 0.47512219101190567
Total test time: 0.50530736008659 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.556045264005661e-06, model_test_time: 0.505300804041326
Total test time: 0.47527679917402565 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.999129593372345e-06, model_test_time: 0.4752688000444323
Total test time: 0.47318807314150035 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.870141416788101e-06, model_test_time: 0.47318020300008357
Total test time: 0.45836167014203966 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.554888725280762e-06, model_test_time: 0.4583541152533144
***3_th repeat
Total test time: 0.5087597938254476 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 9.870855137705803e-06, model_test_time: 0.5087499229703099
Total test time: 0.5012105770874768 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.258960977196693e-06, model_test_time: 0.5012033181264997
