Namespace(dataset='AECHO1_2020', feat='iat_size', gs='True', header='False', model='OCSVM(rbf)', time='2021-04-01 08:46:40')
***AECHO1_2020, OCSVM(rbf), iat_size, speedup/data/models/src_dst/iat_size-header_False/AECHO1_2020/before_proj_False-gs_True/OCSVM(rbf)-std_False_center_False-d_5-None
***0_th repeat
Total test time: 0.4447070674505085 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.574213668704033e-06, model_test_time: 0.44469949323683977
Total test time: 0.44357226393185556 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.961876690387726e-06, model_test_time: 0.44356430205516517
Total test time: 0.47587382490746677 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.146736606955528e-06, model_test_time: 0.4758666781708598
Total test time: 0.47586112190037966 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 8.221017196774483e-06, model_test_time: 0.4758529008831829
Total test time: 0.47665749583393335 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.760012522339821e-06, model_test_time: 0.476649735821411
Total test time: 0.44531866698525846 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.295981049537659e-06, model_test_time: 0.4453113710042089
Total test time: 0.475823225453496 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.186317816376686e-06, model_test_time: 0.4758160391356796
Total test time: 0.5047949978616089 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.683876901865005e-06, model_test_time: 0.504787313984707
Total test time: 0.5056870710104704 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 8.147908374667168e-06, model_test_time: 0.5056789231020957
Total test time: 0.4437065504025668 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.779337465763092e-06, model_test_time: 0.443698771065101
Total test time: 0.4708141917362809 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.0258983820676804e-05, model_test_time: 0.47080393275246024
Total test time: 0.47564749186858535 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.797032594680786e-06, model_test_time: 0.47563969483599067
Total test time: 0.5058294236660004 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.480848580598831e-06, model_test_time: 0.5058219428174198
Total test time: 0.506466168211773 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 8.148374035954475e-06, model_test_time: 0.5064580198377371
Total test time: 0.5282734138891101 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.185153663158417e-06, model_test_time: 0.5282662287354469
Total test time: 0.5045588328503072 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.0018935427069664e-05, model_test_time: 0.5045488139148802
Total test time: 0.504660536069423 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 9.963056072592735e-06, model_test_time: 0.5046505730133504
Total test time: 0.45906648971140385 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 9.888783097267151e-06, model_test_time: 0.4590566009283066
Total test time: 0.5143726540263742 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.085200347006321e-05, model_test_time: 0.5143618020229042
Total test time: 0.47358196415007114 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.333001121878624e-06, model_test_time: 0.47357463114894927
***1_th repeat
Total test time: 0.47290283581241965 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.05476850271225e-06, model_test_time: 0.47289578104391694
Total test time: 0.507492559030652 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.146969437599182e-06, model_test_time: 0.5074854120612144
Total test time: 0.4453486518468708 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.9069210439920425e-06, model_test_time: 0.4453417449258268
Total test time: 0.4716561103705317 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.83218240737915e-06, model_test_time: 0.4716492781881243
Total test time: 0.4735184742603451 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.4999406933784485e-06, model_test_time: 0.4735109743196517
Total test time: 0.4252152743283659 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 8.462229743599892e-06, model_test_time: 0.4252068120986223
Total test time: 0.4547762433066964 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 9.721145033836365e-06, model_test_time: 0.4547665221616626
Total test time: 0.4760028359014541 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.221940904855728e-06, model_test_time: 0.47599561396054924
Total test time: 0.4759124161209911 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.853137165307999e-06, model_test_time: 0.4759055629838258
Total test time: 0.5289869518019259 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.16489739716053e-06, model_test_time: 0.5289797869045287
Total test time: 0.472053888021037 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 9.03615728020668e-06, model_test_time: 0.4720448518637568
Total test time: 0.476726712891832 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.425900548696518e-06, model_test_time: 0.4767192869912833
Total test time: 0.442021660041064 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.926944479346275e-06, model_test_time: 0.4420147330965847
Total test time: 0.5047717792913318 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.075024768710136e-06, model_test_time: 0.5047647042665631
Total test time: 0.4760199391748756 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.611000910401344e-06, model_test_time: 0.4760123281739652
Total test time: 0.5058529740199447 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.017981261014938e-06, model_test_time: 0.5058459560386837
Total test time: 0.47177525726146996 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.149064913392067e-06, model_test_time: 0.47176810819655657
Total test time: 0.4722814860288054 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.888993084430695e-06, model_test_time: 0.47227459703572094
Total test time: 0.5079804032575339 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.9623347371816635e-06, model_test_time: 0.5079734409227967
Total test time: 0.47553792083635926 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.295981049537659e-06, model_test_time: 0.4755306248553097
***2_th repeat
Total test time: 0.4746797608677298 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.3339324444532394e-06, model_test_time: 0.47467242693528533
Total test time: 0.47675872640684247 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.59330578148365e-06, model_test_time: 0.476751133101061
Total test time: 0.4735097752418369 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.982358172535896e-06, model_test_time: 0.47350279288366437
Total test time: 0.5067833322100341 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.741145625710487e-06, model_test_time: 0.5067765910644084
Total test time: 0.5165299321524799 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.668277248740196e-06, model_test_time: 0.5165222638752311
Total test time: 0.48816994996741414 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.0092044249176979e-05, model_test_time: 0.48815985792316496
Total test time: 0.44541899603791535 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.4820127338171005e-06, model_test_time: 0.44541151402518153
Total test time: 0.44318762817420065 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.222173735499382e-06, model_test_time: 0.44318040600046515
Total test time: 0.5076878711115569 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.501104846596718e-06, model_test_time: 0.5076803700067103
Total test time: 0.4747044197283685 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.037771865725517e-06, model_test_time: 0.4746973819565028
Total test time: 0.5340124079957604 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.573980838060379e-06, model_test_time: 0.5340048340149224
Total test time: 0.4738437591586262 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.4999406933784485e-06, model_test_time: 0.4738362592179328
Total test time: 0.46189477597363293 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.611000910401344e-06, model_test_time: 0.46188716497272253
Total test time: 0.4538309331983328 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 9.72324050962925e-06, model_test_time: 0.45382120995782316
Total test time: 0.49111277470365167 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 9.42661426961422e-06, model_test_time: 0.49110334808938205
Total test time: 0.46466137492097914 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.907852366566658e-06, model_test_time: 0.4646544670686126
Total test time: 0.4991183446254581 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 9.813811630010605e-06, model_test_time: 0.4991085308138281
Total test time: 0.5031418181024492 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 9.704148396849632e-06, model_test_time: 0.5031321139540523
Total test time: 0.505414665909484 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 9.388895705342293e-06, model_test_time: 0.5054052770137787
Total test time: 0.47607506322674453 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 9.555136784911156e-06, model_test_time: 0.4760655080899596
***3_th repeat
Total test time: 0.5033697031904012 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.183989509940147e-06, model_test_time: 0.5033625192008913
Total test time: 0.45643748389557004 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.702969014644623e-06, model_test_time: 0.4564297809265554
Total test time: 0.4890977453906089 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 9.741401299834251e-06, model_test_time: 0.4890880039893091
Total test time: 0.506367223104462 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.38934613764286e-06, model_test_time: 0.5063598337583244
Total test time: 0.44426174904219806 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.536029443144798e-06, model_test_time: 0.4442542130127549
Total test time: 0.536010378273204 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.370254024863243e-06, model_test_time: 0.5360030080191791
Total test time: 0.44472244451753795 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.703659892082214e-06, model_test_time: 0.44471574085764587
Total test time: 0.5055386936292052 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.2587281465530396e-06, model_test_time: 0.5055314349010587
Total test time: 0.4431460970081389 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.351161912083626e-06, model_test_time: 0.4431387458462268
Total test time: 0.5064848761539906 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.0731621235609055e-06, model_test_time: 0.5064778029918671
Total test time: 0.4746210752055049 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.406109943985939e-06, model_test_time: 0.4746136690955609
Total test time: 0.4736411802005023 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.593072950839996e-06, model_test_time: 0.47363358712755144
Total test time: 0.4726046493742615 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.925089448690414e-06, model_test_time: 0.4725967242848128
Total test time: 0.47371291858144104 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.1285758167505264e-06, model_test_time: 0.4737057900056243
Total test time: 0.4441296164877713 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.684575393795967e-06, model_test_time: 0.4441219319123775
Total test time: 0.4732499544043094 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.093418389558792e-06, model_test_time: 0.47324286098591983
Total test time: 0.506083448883146 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.480848580598831e-06, model_test_time: 0.5060759680345654
Total test time: 0.5064552947878838 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.221940904855728e-06, model_test_time: 0.5064480728469789
Total test time: 0.4740404535550624 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.146736606955528e-06, model_test_time: 0.47403330681845546
Total test time: 0.5012804139405489 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.0240823030471802e-05, model_test_time: 0.5012701731175184
***4_th repeat
Total test time: 0.5081827519461513 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.536960765719414e-06, model_test_time: 0.5081752149853855
Total test time: 0.47461766679771245 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.258960977196693e-06, model_test_time: 0.47461040783673525
Total test time: 0.5073564988560975 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 8.202856406569481e-06, model_test_time: 0.5073482959996909
Total test time: 0.5098353987559676 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.44288957118988e-06, model_test_time: 0.5098289558663964
Total test time: 0.4676435731817037 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 9.982148185372353e-06, model_test_time: 0.4676335910335183
Total test time: 0.5008147312328219 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.481081411242485e-06, model_test_time: 0.5008072501514107
Total test time: 0.5058654337190092 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 9.796814993023872e-06, model_test_time: 0.5058556369040161
Total test time: 0.4768983181566 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.925081834197044e-06, model_test_time: 0.4768913930747658
Total test time: 0.4453987667802721 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.073860615491867e-06, model_test_time: 0.44539169291965663
Total test time: 0.5088863770943135 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.610069587826729e-06, model_test_time: 0.5088787670247257
Total test time: 0.47500018565915525 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.925787940621376e-06, model_test_time: 0.47499225987121463
Total test time: 0.4626672291196883 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 9.481096640229225e-06, model_test_time: 0.46265774802304804
Total test time: 0.4812163959722966 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.0593095794320107e-05, model_test_time: 0.4812058028765023
Total test time: 0.4791442649438977 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.794704288244247e-06, model_test_time: 0.4791364702396095
Total test time: 0.47493161633610725 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.017049938440323e-06, model_test_time: 0.4749245992861688
Total test time: 0.502360092010349 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.92602077126503e-06, model_test_time: 0.5023521659895778
Total test time: 0.5047563461121172 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 9.12998802959919e-06, model_test_time: 0.5047472161240876
Total test time: 0.475902410922572 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.6659413278102875e-06, model_test_time: 0.4758957449812442
Total test time: 0.4497484820894897 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.2410330176353455e-06, model_test_time: 0.44974124105647206
Total test time: 0.5456197503954172 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 9.721145033836365e-06, model_test_time: 0.5456100292503834
speedup/out/models_res/src_dst/iat_size-header_False/AECHO1_2020/before_proj_False-gs_True/OCSVM(rbf)-std_False_center_False-d_5-None/AECHO1_2020-OCSVM(rbf).dat
