Namespace(dataset='CTU1', feat='stats', gs='False', header='True', model='KJL-GMM(diag)', time='2021-04-01 08:00:17')
***CTU1, KJL-GMM(diag), stats, speedup/data/models/src_dst/stats-header_True/CTU1/before_proj_False-gs_False/KJL-GMM(diag)-std_False_center_False-d_5-diag
***0_th repeat
Total test time: 0.01559768314473331 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01410517911426723, model_test_time: 0.0014925040304660797
Total test time: 0.013402305077761412 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012005778960883617, model_test_time: 0.0013965261168777943
Total test time: 0.013554875738918781 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012164663756266236, model_test_time: 0.001390211982652545
Total test time: 0.018781801220029593 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016749511240050197, model_test_time: 0.002032289979979396
Total test time: 0.018731763120740652 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016746195033192635, model_test_time: 0.0019855680875480175
Total test time: 0.018744318978860974 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016782657941803336, model_test_time: 0.001961661037057638
Total test time: 0.018755337921902537 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016729029826819897, model_test_time: 0.0020263080950826406
Total test time: 0.018674044404178858 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016704753506928682, model_test_time: 0.0019692908972501755
Total test time: 0.018758135847747326 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016799973789602518, model_test_time: 0.001958162058144808
Total test time: 0.01872991374693811 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016697697807103395, model_test_time: 0.002032215939834714
Total test time: 0.018102037021890283 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016714234137907624, model_test_time: 0.0013878028839826584
Total test time: 0.01345450896769762 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01206379709765315, model_test_time: 0.0013907118700444698
Total test time: 0.013516949024051428 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012124499073252082, model_test_time: 0.001392449950799346
Total test time: 0.013459987007081509 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012062221067026258, model_test_time: 0.0013977659400552511
Total test time: 0.013531135395169258 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012103259330615401, model_test_time: 0.0014278760645538568
Total test time: 0.013469209894537926 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012032129801809788, model_test_time: 0.001437080092728138
Total test time: 0.018774542026221752 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016806250903755426, model_test_time: 0.0019682911224663258
Total test time: 0.018742003943771124 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01670099305920303, model_test_time: 0.002041010884568095
Total test time: 0.018794985953718424 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01683117588981986, model_test_time: 0.0019638100638985634
Total test time: 0.01879609632305801 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016828971216455102, model_test_time: 0.001967125106602907
***1_th repeat
Total test time: 0.019214882981032133 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01727634994313121, model_test_time: 0.0019385330379009247
Total test time: 0.018746728310361505 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016702604247257113, model_test_time: 0.002044124063104391
Total test time: 0.018755746074020863 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016785066109150648, model_test_time: 0.0019706799648702145
Total test time: 0.018767747329548 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016795104136690497, model_test_time: 0.001972643192857504
Total test time: 0.018758430145680904 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016726936912164092, model_test_time: 0.0020314932335168123
Total test time: 0.018699432024732232 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016765511129051447, model_test_time: 0.0019339208956807852
Total test time: 0.018771245144307613 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01680554705671966, model_test_time: 0.0019656980875879526
Total test time: 0.0161590613424778 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014773146249353886, model_test_time: 0.0013859150931239128
Total test time: 0.013392082881182432 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012003317009657621, model_test_time: 0.0013887658715248108
Total test time: 0.013424915261566639 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012040945002809167, model_test_time: 0.001383970258757472
Total test time: 0.013511080527678132 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01212720270268619, model_test_time: 0.0013838778249919415
Total test time: 0.013592689763754606 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012195366900414228, model_test_time: 0.0013973228633403778
Total test time: 0.013830259907990694 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012076685903593898, model_test_time: 0.0017535740043967962
Total test time: 0.018698263680562377 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016740010352805257, model_test_time: 0.00195825332775712
Total test time: 0.018774967174977064 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016818861244246364, model_test_time: 0.0019561059307307005
Total test time: 0.018685986986383796 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016739435959607363, model_test_time: 0.001946551026776433
Total test time: 0.01861189608462155 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016654531005769968, model_test_time: 0.0019573650788515806
Total test time: 0.01876011583954096 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01678169588558376, model_test_time: 0.0019784199539572
