Namespace(dataset='CTU1', feat='stats', gs='True', header='True', model='KJL-GMM(diag)', time='2021-04-01 07:56:47')
***CTU1, KJL-GMM(diag), stats, speedup/data/models/src_dst/stats-header_True/CTU1/before_proj_False-gs_True/KJL-GMM(diag)-std_False_center_False-d_5-diag
***0_th repeat
Total test time: 0.01569751393981278 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014114140998572111, model_test_time: 0.0015833729412406683
Total test time: 0.01340013719163835 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011939447140321136, model_test_time: 0.001460690051317215
Total test time: 0.013460598886013031 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012053630081936717, model_test_time: 0.001406968804076314
Total test time: 0.013474432984367013 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012061296962201595, model_test_time: 0.0014131360221654177
Total test time: 0.018206535140052438 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016219299053773284, model_test_time: 0.001987236086279154
Total test time: 0.018772189738228917 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016805066028609872, model_test_time: 0.0019671237096190453
Total test time: 0.01876578200608492 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01677310187369585, model_test_time: 0.0019926801323890686
Total test time: 0.01873052306473255 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016749140108004212, model_test_time: 0.001981382956728339
Total test time: 0.013334231916815042 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011941853910684586, model_test_time: 0.001392378006130457
Total test time: 0.013434137916192412 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011976670008152723, model_test_time: 0.001457467908039689
Total test time: 0.013472357764840126 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01202711183577776, model_test_time: 0.0014452459290623665
Total test time: 0.013408767990767956 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012005446245893836, model_test_time: 0.0014033217448741198
Total test time: 0.013449988793581724 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012046203948557377, model_test_time: 0.0014037848450243473
Total test time: 0.013361008604988456 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011960390955209732, model_test_time: 0.0014006176497787237
Total test time: 0.013427175814285874 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012027760967612267, model_test_time: 0.0013994148466736078
Total test time: 0.013462228933349252 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012071832781657577, model_test_time: 0.0013903961516916752
Total test time: 0.013448062120005488 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012057055020704865, model_test_time: 0.001391007099300623
Total test time: 0.013401267817243934 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012010076083242893, model_test_time: 0.0013911917340010405
Total test time: 0.014063454931601882 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012033147970214486, model_test_time: 0.002030306961387396
Total test time: 0.01870517199859023 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016733381198719144, model_test_time: 0.001971790799871087
***1_th repeat
Total test time: 0.01958505855873227 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016968541545793414, model_test_time: 0.002616517012938857
Total test time: 0.019173994194716215 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01660986407659948, model_test_time: 0.0025641301181167364
Total test time: 0.019178365357220173 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016530718188732862, model_test_time: 0.0026476471684873104
Total test time: 0.019371101167052984 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016835266957059503, model_test_time: 0.0025358342099934816
Total test time: 0.019150476902723312 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016600364819169044, model_test_time: 0.002550112083554268
Total test time: 0.019132236018776894 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016562958946451545, model_test_time: 0.002569277072325349
Total test time: 0.014868661062791944 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013068940956145525, model_test_time: 0.0017997201066464186
Total test time: 0.013830036390572786 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012027316261082888, model_test_time: 0.0018027201294898987
Total test time: 0.013815979938954115 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012031296966597438, model_test_time: 0.001784682972356677
Total test time: 0.013887312263250351 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012104591121897101, model_test_time: 0.0017827211413532495
Total test time: 0.013795423787087202 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011996555840596557, model_test_time: 0.0017988679464906454
Total test time: 0.013764924835413694 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011968593811616302, model_test_time: 0.0017963310237973928
Total test time: 0.013851741096004844 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011997872963547707, model_test_time: 0.001853868132457137
Total test time: 0.014330616919323802 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012466287007555366, model_test_time: 0.0018643299117684364
Total test time: 0.013836146099492908 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012003425974398851, model_test_time: 0.0018327201250940561
Total test time: 0.013764536939561367 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011968945851549506, model_test_time: 0.0017955910880118608
Total test time: 0.014577260939404368 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011960502015426755, model_test_time: 0.0026167589239776134
Total test time: 0.019153960049152374 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016607940895482898, model_test_time: 0.0025460191536694765
