Namespace(dataset='CTU1', feat='iat_size', gs='True', header='False', model='KJL-GMM(diag)', time='2021-04-01 01:54:40')
***CTU1, KJL-GMM(diag), iat_size, speedup/data/models/src_dst/iat_size-header_False/CTU1/before_proj_False-gs_True/KJL-GMM(diag)-std_False_center_False-d_5-diag
***0_th repeat
Total test time: 0.0046387778129428625 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0038557369261980057, model_test_time: 0.0007830408867448568
Total test time: 0.0038907211273908615 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0027642003260552883, model_test_time: 0.0011265208013355732
Total test time: 0.002039574319496751 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.001436383230611682, model_test_time: 0.0006031910888850689
Total test time: 0.0018376742955297232 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0013024562504142523, model_test_time: 0.0005352180451154709
Total test time: 0.0014680633321404457 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0008999411948025227, model_test_time: 0.000568122137337923
Total test time: 0.003195130033418536 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.002612602198496461, model_test_time: 0.0005825278349220753
Total test time: 0.0032067338470369577 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.002557544969022274, model_test_time: 0.0006491888780146837
Total test time: 0.001228607026860118 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0008341250941157341, model_test_time: 0.0003944819327443838
Total test time: 0.0016591791063547134 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0011295229196548462, model_test_time: 0.0005296561866998672
Total test time: 0.001806834014132619 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0011645292397588491, model_test_time: 0.0006423047743737698
Total test time: 0.0020228291396051645 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0012535902205854654, model_test_time: 0.0007692389190196991
Total test time: 0.0014053049962967634 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0009167799726128578, model_test_time: 0.0004885250236839056
Total test time: 0.0024210428819060326 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.001398302847519517, model_test_time: 0.0010227400343865156
Total test time: 0.0017130146734416485 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.001321733696386218, model_test_time: 0.0003912809770554304
Total test time: 0.003297563875094056 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.002512655919417739, model_test_time: 0.0007849079556763172
Total test time: 0.0015069800429046154 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0008554121013730764, model_test_time: 0.000651567941531539
Total test time: 0.008763678604736924 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.008317746687680483, model_test_time: 0.0004459319170564413
Total test time: 0.0013309442438185215 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.000926341162994504, model_test_time: 0.0004046030808240175
Total test time: 0.0013122749514877796 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0008138702251017094, model_test_time: 0.0004984047263860703
Total test time: 0.002600504318252206 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.001874564215540886, model_test_time: 0.0007259401027113199
***1_th repeat
Total test time: 0.0014002029784023762 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0009550049435347319, model_test_time: 0.0004451980348676443
Total test time: 0.0014370218850672245 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0010474517475813627, model_test_time: 0.0003895701374858618
Total test time: 0.0012345791328698397 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0008380480576306581, model_test_time: 0.0003965310752391815
Total test time: 0.0018995748832821846 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0013140970841050148, model_test_time: 0.0005854777991771698
Total test time: 0.0012425780296325684 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0008498949464410543, model_test_time: 0.000392683083191514
Total test time: 0.0013088001869618893 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0008281243499368429, model_test_time: 0.00048067583702504635
Total test time: 0.0015241792425513268 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0008339604828506708, model_test_time: 0.0006902187597006559
Total test time: 0.0016105740796774626 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.001079796114936471, model_test_time: 0.0005307779647409916
