Namespace(dataset='CTU1', feat='stats', gs='False', header='True', model='KJL-GMM(full)', time='2021-04-01 07:58:49')
***CTU1, KJL-GMM(full), stats, speedup/data/models/src_dst/stats-header_True/CTU1/before_proj_False-gs_False/KJL-GMM(full)-std_False_center_False-d_5-full
***0_th repeat
Total test time: 0.015768216224387288 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01411043806001544, model_test_time: 0.001657778164371848
Total test time: 0.013622171012684703 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012108037015423179, model_test_time: 0.0015141339972615242
Total test time: 0.01361937471665442 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012100813910365105, model_test_time: 0.0015185608062893152
Total test time: 0.013507004827260971 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011984593933448195, model_test_time: 0.0015224108938127756
Total test time: 0.013618226163089275 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012055352097377181, model_test_time: 0.0015628740657120943
Total test time: 0.013563820160925388 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011992502259090543, model_test_time: 0.0015713179018348455
Total test time: 0.016765547217801213 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014641167130321264, model_test_time: 0.002124380087479949
Total test time: 0.01884124195203185 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01667869696393609, model_test_time: 0.0021625449880957603
Total test time: 0.018785930005833507 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01663962402381003, model_test_time: 0.0021463059820234776
Total test time: 0.01883881795220077 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016690697986632586, model_test_time: 0.002148119965568185
Total test time: 0.014297193149104714 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012788170017302036, model_test_time: 0.001509023131802678
Total test time: 0.013568023918196559 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012040759902447462, model_test_time: 0.0015272640157490969
Total test time: 0.013566040433943272 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012050110846757889, model_test_time: 0.0015159295871853828
Total test time: 0.013514062855392694 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011995686683803797, model_test_time: 0.0015183761715888977
Total test time: 0.01358607760630548 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012021536706015468, model_test_time: 0.0015645409002900124
Total test time: 0.015632423106580973 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013479451183229685, model_test_time: 0.002152971923351288
Total test time: 0.018828539177775383 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01667256699874997, model_test_time: 0.0021559721790254116
Total test time: 0.01882444671355188 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0166675487998873, model_test_time: 0.0021568979136645794
Total test time: 0.018814652925357223 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016677197767421603, model_test_time: 0.0021374551579356194
Total test time: 0.015397409908473492 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01389746111817658, model_test_time: 0.0014999487902969122
***1_th repeat
Total test time: 0.01383012905716896 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012296976987272501, model_test_time: 0.0015331520698964596
Total test time: 0.013490803074091673 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011957725044339895, model_test_time: 0.0015330780297517776
Total test time: 0.013508653733879328 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011996482964605093, model_test_time: 0.0015121707692742348
Total test time: 0.013593836920335889 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01207853714004159, model_test_time: 0.0015152997802942991
Total test time: 0.013601338025182486 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01208609202876687, model_test_time: 0.001515245996415615
Total test time: 0.013540301937609911 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012027631048113108, model_test_time: 0.0015126708894968033
Total test time: 0.013554099015891552 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012002872070297599, model_test_time: 0.0015512269455939531
Total test time: 0.01358892978169024 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0120077608153224, model_test_time: 0.0015811689663678408
Total test time: 0.01355265500023961 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01203140988945961, model_test_time: 0.0015212451107800007
Total test time: 0.013492340222001076 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011975947069004178, model_test_time: 0.0015163931529968977
