Namespace(dataset='CTU1', feat='iat_size', gs='True', header='False', model='KJL-GMM(full)', time='2021-04-01 07:49:02')
***CTU1, KJL-GMM(full), iat_size, speedup/data/models/src_dst/iat_size-header_False/CTU1/before_proj_False-gs_True/KJL-GMM(full)-std_False_center_False-d_5-full
***0_th repeat
Total test time: 0.017199108144268394 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01387869892641902, model_test_time: 0.003320409217849374
Total test time: 0.0148048079572618 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01164333987981081, model_test_time: 0.0031614680774509907
Total test time: 0.014858364127576351 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011703877244144678, model_test_time: 0.003154486883431673
Total test time: 0.01482902909629047 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011658283183351159, model_test_time: 0.00317074591293931
Total test time: 0.01488724909722805 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011733855120837688, model_test_time: 0.003153393976390362
Total test time: 0.014766569016501307 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011605174979194999, model_test_time: 0.0031613940373063087
Total test time: 0.014786827377974987 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011637488147243857, model_test_time: 0.0031493392307311296
Total test time: 0.014708329224959016 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011603730265051126, model_test_time: 0.0031045989599078894
Total test time: 0.014731365256011486 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011644544079899788, model_test_time: 0.003086821176111698
Total test time: 0.014826419297605753 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011730838101357222, model_test_time: 0.0030955811962485313
Total test time: 0.01477516139857471 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011659543262794614, model_test_time: 0.003115618135780096
Total test time: 0.01485702907666564 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011747264070436358, model_test_time: 0.0031097650062292814
Total test time: 0.014883177354931831 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011750208213925362, model_test_time: 0.0031329691410064697
Total test time: 0.014772439375519753 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011663025245070457, model_test_time: 0.003109414130449295
Total test time: 0.017932463670149446 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013436115812510252, model_test_time: 0.0044963478576391935
Total test time: 0.0207026822026819 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016222909092903137, model_test_time: 0.004479773109778762
Total test time: 0.02061171899549663 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016150259878486395, model_test_time: 0.004461459117010236
Total test time: 0.020633812295272946 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016143557149916887, model_test_time: 0.004490255145356059
Total test time: 0.014792347326874733 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011711339233443141, model_test_time: 0.003081008093431592
Total test time: 0.014749420108273625 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011634209891781211, model_test_time: 0.0031152102164924145
***1_th repeat
Total test time: 0.015158634865656495 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012165144085884094, model_test_time: 0.002993490779772401
Total test time: 0.014873806154355407 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01188331632874906, model_test_time: 0.002990489825606346
Total test time: 0.014937622472643852 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011885151267051697, model_test_time: 0.0030524712055921555
Total test time: 0.014869140926748514 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011806002818048, model_test_time: 0.003063138108700514
Total test time: 0.014884768053889275 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01182781602256, model_test_time: 0.003056952031329274
Total test time: 0.014839773066341877 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01179904188029468, model_test_time: 0.0030407311860471964
Total test time: 0.014856158755719662 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011839353945106268, model_test_time: 0.003016804810613394
Total test time: 0.014862936921417713 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011827615089714527, model_test_time: 0.003035321831703186
Total test time: 0.014842548174783587 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011802448192611337, model_test_time: 0.0030400999821722507
Total test time: 0.014794457703828812 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011804669862613082, model_test_time: 0.0029897878412157297
Total test time: 0.014815289992839098 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011830965988337994, model_test_time: 0.0029843240045011044
Total test time: 0.014861251693218946 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011882834834977984, model_test_time: 0.002978416858240962
Total test time: 0.014951343415305018 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01195631641894579, model_test_time: 0.002995026996359229
Total test time: 0.014902862021699548 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01191205601207912, model_test_time: 0.002990806009620428
Total test time: 0.014944415772333741 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011941407807171345, model_test_time: 0.0030030079651623964
Total test time: 0.014845605008304119 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011859724065288901, model_test_time: 0.0029858809430152178
Total test time: 0.014812585897743702 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011810706928372383, model_test_time: 0.003001878969371319
Total test time: 0.015380481956526637 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011849632952362299, model_test_time: 0.003530849004164338
Total test time: 0.02078777109272778 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016474365023896098, model_test_time: 0.004313406068831682
Total test time: 0.02083180728368461 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01649575331248343, model_test_time: 0.004336053971201181
***2_th repeat
Total test time: 0.023758094757795334 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01565121579915285, model_test_time: 0.008106878958642483
Total test time: 0.023517620051279664 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01546360901556909, model_test_time: 0.008054011035710573
Total test time: 0.023701025871559978 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015545497881248593, model_test_time: 0.008155527990311384
