Namespace(dataset='CTU1', feat='iat_size', gs='False', header='False', model='KJL-GMM(full)', time='2021-04-01 01:54:46')
***CTU1, KJL-GMM(full), iat_size, speedup/data/models/src_dst/iat_size-header_False/CTU1/before_proj_False-gs_False/KJL-GMM(full)-std_False_center_False-d_5-full
***0_th repeat
Total test time: 0.00756943691521883 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.006519471760839224, model_test_time: 0.0010499651543796062
Total test time: 0.0015518476720899343 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0011540837585926056, model_test_time: 0.00039776391349732876
Total test time: 0.0017779422923922539 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0010049911215901375, model_test_time: 0.0007729511708021164
Total test time: 0.0015149551909416914 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0010500568896532059, model_test_time: 0.0004648983012884855
Total test time: 0.0021780477836728096 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0012300219386816025, model_test_time: 0.0009480258449912071
Total test time: 0.0012782090343534946 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0009370450861752033, model_test_time: 0.0003411639481782913
Total test time: 0.0013134609907865524 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0008162970189005136, model_test_time: 0.0004971639718860388
Total test time: 0.0012564638163894415 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0008392669260501862, model_test_time: 0.00041719689033925533
Total test time: 0.0018577922601252794 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0012858982663601637, model_test_time: 0.0005718939937651157
Total test time: 0.0017141902353614569 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0013320581056177616, model_test_time: 0.00038213212974369526
Total test time: 0.0013401692267507315 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0009967121295630932, model_test_time: 0.0003434570971876383
Total test time: 0.0018416640814393759 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.001361659960821271, model_test_time: 0.00048000412061810493
Total test time: 0.001190155977383256 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0008457181975245476, model_test_time: 0.0003444377798587084
Total test time: 0.0025653140619397163 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0019309581257402897, model_test_time: 0.0006343559361994267
Total test time: 0.0018868332263082266 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0013608632143586874, model_test_time: 0.0005259700119495392
Total test time: 0.0034081630874425173 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0028457839507609606, model_test_time: 0.0005623791366815567
Total test time: 0.004622844746336341 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.003992227837443352, model_test_time: 0.0006306169088929892
Total test time: 0.002222907030954957 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.001284098019823432, model_test_time: 0.000938809011131525
Total test time: 0.0016206458676606417 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.001047154888510704, model_test_time: 0.0005734909791499376
Total test time: 0.005433817161247134 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.004574060207232833, model_test_time: 0.0008597569540143013
***1_th repeat
Total test time: 0.001622502924874425 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0009294617921113968, model_test_time: 0.0006930411327630281
Total test time: 0.011014926014468074 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01049748994410038, model_test_time: 0.0005174360703676939
Total test time: 0.0025157660711556673 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0016450590919703245, model_test_time: 0.0008707069791853428
Total test time: 0.002051378134638071 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.001597041031345725, model_test_time: 0.000454337103292346
Total test time: 0.0018689397256821394 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0014448817819356918, model_test_time: 0.00042405794374644756
Total test time: 0.001697302097454667 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0011479652021080256, model_test_time: 0.0005493368953466415
Total test time: 0.0031498868484050035 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.002329345094040036, model_test_time: 0.0008205417543649673
Total test time: 0.00462420005351305 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.002887719077989459, model_test_time: 0.001736480975523591
Total test time: 0.006733381887897849 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.004090832080692053, model_test_time: 0.0026425498072057962
Total test time: 0.011574125848710537 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.010462540900334716, model_test_time: 0.0011115849483758211
Total test time: 0.0016455389559268951 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0012204460799694061, model_test_time: 0.000425092875957489
Total test time: 0.0018759260419756174 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0014955280348658562, model_test_time: 0.00038039800710976124
Total test time: 0.0013379021547734737 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0008807322010397911, model_test_time: 0.00045716995373368263
Total test time: 0.0014547011815011501 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0010535612236708403, model_test_time: 0.00040113995783030987
Total test time: 0.0018711190205067396 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0011983970180153847, model_test_time: 0.0006727220024913549
Total test time: 0.0019633660558611155 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0013011351693421602, model_test_time: 0.0006622308865189552
Total test time: 0.0067609327379614115 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.006022413959726691, model_test_time: 0.0007385187782347202
Total test time: 0.0019856449216604233 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0011245789937675, model_test_time: 0.0008610659278929234
Total test time: 0.001617203000932932 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.001130367862060666, model_test_time: 0.0004868351388722658
Total test time: 0.00416921079158783 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.003529120935127139, model_test_time: 0.0006400898564606905
***2_th repeat
Total test time: 0.0019931551069021225 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0015838020481169224, model_test_time: 0.0004093530587852001
Total test time: 0.0038014890160411596 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.001153063029050827, model_test_time: 0.0026484259869903326
Total test time: 0.0021282806992530823 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.001738833962008357, model_test_time: 0.00038944673724472523
Total test time: 0.002377510769292712 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0019201328977942467, model_test_time: 0.00045737787149846554
Total test time: 0.001213585026562214 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0008680152241140604, model_test_time: 0.0003455698024481535
Total test time: 0.0029799342155456543 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0009789601899683475, model_test_time: 0.0020009740255773067
Total test time: 0.0018039790447801352 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.001209731213748455, model_test_time: 0.0005942478310316801
Total test time: 0.001976703992113471 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0016147659625858068, model_test_time: 0.0003619380295276642
Total test time: 0.0015424094162881374 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0011915797367691994, model_test_time: 0.00035082967951893806
Total test time: 0.0017591749783605337 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0010916860774159431, model_test_time: 0.0006674889009445906
Total test time: 0.002400981727987528 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.001987236784771085, model_test_time: 0.00041374494321644306
Total test time: 0.001726736081764102 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.001357948873192072, model_test_time: 0.00036878720857203007
Total test time: 0.0014807907864451408 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0009216938633471727, model_test_time: 0.0005590969230979681
Total test time: 0.0017015340272337198 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0008987600449472666, model_test_time: 0.0008027739822864532
Total test time: 0.0053893993608653545 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.005001003388315439, model_test_time: 0.0003883959725499153
Total test time: 0.0015485945623368025 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0011266367509961128, model_test_time: 0.00042195781134068966
Total test time: 0.002053858945146203 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0014559270348399878, model_test_time: 0.0005979319103062153
Total test time: 0.0020408229902386665 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0016367100179195404, model_test_time: 0.00040411297231912613
Total test time: 0.0012989097740501165 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0009530920069664717, model_test_time: 0.00034581776708364487
Total test time: 0.0017789960838854313 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0011831559240818024, model_test_time: 0.0005958401598036289
***3_th repeat
Total test time: 0.0051276711747050285 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0024492249358445406, model_test_time: 0.002678446238860488
Total test time: 0.001609436934813857 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0011507279705256224, model_test_time: 0.0004587089642882347
Total test time: 0.00219393870793283 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0018145258072763681, model_test_time: 0.0003794129006564617
Total test time: 0.0039970590732991695 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0015627380926162004, model_test_time: 0.002434320980682969
Total test time: 0.001330777071416378 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0009779422543942928, model_test_time: 0.0003528348170220852
Total test time: 0.0017929808236658573 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0012798740062862635, model_test_time: 0.0005131068173795938
Total test time: 0.00162142189219594 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.001253028865903616, model_test_time: 0.00036839302629232407
