Namespace(dataset='CTU1', feat='iat_size', gs='True', header='False', model='KJL-GMM(full)', time='2021-04-01 01:54:37')
***CTU1, KJL-GMM(full), iat_size, speedup/data/models/src_dst/iat_size-header_False/CTU1/before_proj_False-gs_True/KJL-GMM(full)-std_False_center_False-d_5-full
***0_th repeat
Total test time: 0.006039932137355208 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.004714123206213117, model_test_time: 0.0013258089311420918
Total test time: 0.0022314118687063456 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0013928399421274662, model_test_time: 0.0008385719265788794
Total test time: 0.0026814413722604513 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0015275152400135994, model_test_time: 0.001153926132246852
Total test time: 0.018149281153455377 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016983795212581754, model_test_time: 0.001165485940873623
Total test time: 0.009756566258147359 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.008861018111929297, model_test_time: 0.0008955481462180614
Total test time: 0.0018781148828566074 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0012383877765387297, model_test_time: 0.0006397271063178778
Total test time: 0.0015264262910932302 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0008631572127342224, model_test_time: 0.0006632690783590078
Total test time: 0.0018790969625115395 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0008502888958901167, model_test_time: 0.0010288080666214228
Total test time: 0.0018965858034789562 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0009768079034984112, model_test_time: 0.000919777899980545
Total test time: 0.002348746173083782 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0013192221522331238, model_test_time: 0.0010295240208506584
Total test time: 0.002508686389774084 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.001016391208395362, model_test_time: 0.0014922951813787222
Total test time: 0.0037995469756424427 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0013131480664014816, model_test_time: 0.002486398909240961
Total test time: 0.0023480618838220835 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.001548876753076911, model_test_time: 0.0007991851307451725
Total test time: 0.0015608810354024172 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0009602541103959084, model_test_time: 0.0006006269250065088
Total test time: 0.0015556961297988892 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0009537357836961746, model_test_time: 0.0006019603461027145
Total test time: 0.0025451350957155228 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0014444258995354176, model_test_time: 0.0011007091961801052
Total test time: 0.002677096286788583 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0018190762493759394, model_test_time: 0.0008580200374126434
Total test time: 0.001745585585013032 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.001108500175178051, model_test_time: 0.000637085409834981
Total test time: 0.0014777439646422863 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0008410769514739513, model_test_time: 0.000636667013168335
Total test time: 0.007957285270094872 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.006798485293984413, model_test_time: 0.0011587999761104584
***1_th repeat
Total test time: 0.0020250510424375534 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0011631781235337257, model_test_time: 0.0008618729189038277
Total test time: 0.004841822199523449 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0038668070919811726, model_test_time: 0.0009750151075422764
Total test time: 0.0016893150750547647 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0010392230469733477, model_test_time: 0.0006500920280814171
Total test time: 0.0015222937799990177 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0009253358002752066, model_test_time: 0.0005969579797238111
Total test time: 0.0016078618355095387 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0008689737878739834, model_test_time: 0.0007388880476355553
Total test time: 0.004749180283397436 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0028996551409363747, model_test_time: 0.0018495251424610615
Total test time: 0.0025053059216588736 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0014442999381572008, model_test_time: 0.0010610059835016727
Total test time: 0.002255320781841874 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0013304618187248707, model_test_time: 0.0009248589631170034
