Namespace(dataset='CTU1', feat='stats', gs='True', header='True', model='KJL-GMM(full)', time='2021-04-01 01:54:51')
***CTU1, KJL-GMM(full), stats, speedup/data/models/src_dst/stats-header_True/CTU1/before_proj_False-gs_True/KJL-GMM(full)-std_False_center_False-d_5-full
***0_th repeat
Total test time: 0.004855728941038251 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.003646307857707143, model_test_time: 0.001209421083331108
Total test time: 0.002426805905997753 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.001539716962724924, model_test_time: 0.0008870889432728291
Total test time: 0.0015759142115712166 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0011325820814818144, model_test_time: 0.0004433321300894022
Total test time: 0.004202299984171987 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0034370531793683767, model_test_time: 0.0007652468048036098
Total test time: 0.005626677768304944 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.003922980045899749, model_test_time: 0.0017036977224051952
Total test time: 0.002029829891398549 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0015181738417595625, model_test_time: 0.0005116560496389866
Total test time: 0.0029054279439151287 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0021209309343248606, model_test_time: 0.0007844970095902681
Total test time: 0.0013985238038003445 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0010106489062309265, model_test_time: 0.00038787489756941795
Total test time: 0.0014975399244576693 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0011357460170984268, model_test_time: 0.00036179390735924244
Total test time: 0.0018434720113873482 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0014814080204814672, model_test_time: 0.00036206399090588093
Total test time: 0.0011738231405615807 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0008455191273242235, model_test_time: 0.00032830401323735714
Total test time: 0.0047945191618055105 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0039697070606052876, model_test_time: 0.000824812101200223
Total test time: 0.002789455931633711 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0014991550706326962, model_test_time: 0.0012903008610010147
Total test time: 0.011537276674062014 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.006946313893422484, model_test_time: 0.004590962780639529
Total test time: 0.023320937994867563 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.022225660970434546, model_test_time: 0.0010952770244330168
