Namespace(dataset='CTU1', feat='iat_size', gs='False', header='False', model='KJL-OCSVM(linear)', time='2021-04-01 07:53:36')
***CTU1, KJL-OCSVM(linear), iat_size, speedup/data/models/src_dst/iat_size-header_False/CTU1/before_proj_False-gs_False/KJL-OCSVM(linear)-std_False_center_False-d_5-None
***0_th repeat
Total test time: 0.045038139913231134 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014020937960594893, model_test_time: 0.031017201952636242
Total test time: 0.04257567576132715 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011793005978688598, model_test_time: 0.03078266978263855
Total test time: 0.042709802044555545 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011753674130886793, model_test_time: 0.03095612791366875
Total test time: 0.0488935390021652 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012342863017693162, model_test_time: 0.036550675984472036
Total test time: 0.05310200317762792 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016431089024990797, model_test_time: 0.036670914152637124
Total test time: 0.053349425084888935 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016412184108048677, model_test_time: 0.03693724097684026
Total test time: 0.051298265578225255 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016346333781257272, model_test_time: 0.03495193179696798
Total test time: 0.04292890918441117 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01180580211803317, model_test_time: 0.031123107066377997
Total test time: 0.044100585859268904 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01190102193504572, model_test_time: 0.032199563924223185
Total test time: 0.05294935894198716 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01630424102768302, model_test_time: 0.03664511791430414
Total test time: 0.047678640112280846 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01633290806785226, model_test_time: 0.03134573204442859
Total test time: 0.04269532090984285 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011756190797314048, model_test_time: 0.0309391301125288
Total test time: 0.04621318867430091 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01167974784038961, model_test_time: 0.0345334408339113
Total test time: 0.05300570768304169 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01639492390677333, model_test_time: 0.03661078377626836
Total test time: 0.04432002711109817 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013446526136249304, model_test_time: 0.030873500974848866
Total test time: 0.04275963595137 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011759043904021382, model_test_time: 0.03100059204734862
Total test time: 0.04283989197574556 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011771691963076591, model_test_time: 0.031068200012668967
Total test time: 0.042599878972396255 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011781431967392564, model_test_time: 0.03081844700500369
Total test time: 0.04814027762040496 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011747228913009167, model_test_time: 0.03639304870739579
