Namespace(dataset='CTU1', feat='stats', gs='False', header='True', model='KJL-OCSVM(linear)', time='2021-04-01 08:00:00')
***CTU1, KJL-OCSVM(linear), stats, speedup/data/models/src_dst/stats-header_True/CTU1/before_proj_False-gs_False/KJL-OCSVM(linear)-std_False_center_False-d_5-None
***0_th repeat
Total test time: 0.04512597736902535 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014180622296407819, model_test_time: 0.03094535507261753
Total test time: 0.04518164158798754 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011976354522630572, model_test_time: 0.03320528706535697
Total test time: 0.05288360547274351 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01656420063227415, model_test_time: 0.03631940484046936
Total test time: 0.046637015882879496 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015284375054761767, model_test_time: 0.03135264082811773
Total test time: 0.04314159322530031 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011791266268119216, model_test_time: 0.031350326957181096
Total test time: 0.0431810540612787 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011889985064044595, model_test_time: 0.031291068997234106
Total test time: 0.043196092592552304 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011941706761717796, model_test_time: 0.03125438583083451
Total test time: 0.043252959847450256 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012014574836939573, model_test_time: 0.031238385010510683
Total test time: 0.043084835866466165 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011921225814148784, model_test_time: 0.03116361005231738
Total test time: 0.04649720503948629 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011936872964724898, model_test_time: 0.03456033207476139
Total test time: 0.0529641411267221 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016509479144588113, model_test_time: 0.036454661982133985
Total test time: 0.053257318679243326 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016508236760273576, model_test_time: 0.03674908191896975
Total test time: 0.053314984776079655 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016566310776397586, model_test_time: 0.03674867399968207
Total test time: 0.052740442333742976 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016577163012698293, model_test_time: 0.03616327932104468
Total test time: 0.049959593918174505 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01666091987863183, model_test_time: 0.033298674039542675
Total test time: 0.043241240084171295 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011801433051005006, model_test_time: 0.03143980703316629
Total test time: 0.04580212663859129 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011897002812474966, model_test_time: 0.033905123826116323
Total test time: 0.05326268984936178 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01660049590282142, model_test_time: 0.036662193946540356
