Namespace(dataset='CTU1', feat='iat_size', gs='True', header='False', model='KJL-OCSVM(linear)', time='2021-04-01 07:50:10')
***CTU1, KJL-OCSVM(linear), iat_size, speedup/data/models/src_dst/iat_size-header_False/CTU1/before_proj_False-gs_True/KJL-OCSVM(linear)-std_False_center_False-d_5-None
***0_th repeat
Total test time: 0.044944878900423646 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014185934094712138, model_test_time: 0.030758944805711508
Total test time: 0.042658408638089895 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011657561641186476, model_test_time: 0.03100084699690342
Total test time: 0.04248387832194567 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011592361377552152, model_test_time: 0.030891516944393516
Total test time: 0.04272331693209708 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011784652946516871, model_test_time: 0.030938663985580206
Total test time: 0.04247089382261038 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01170811615884304, model_test_time: 0.030762777663767338
Total test time: 0.04703864920884371 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011685451259836555, model_test_time: 0.035353197949007154
Total test time: 0.052779376739636064 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01615365082398057, model_test_time: 0.036625725915655494
Total test time: 0.04358533467166126 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012671652715653181, model_test_time: 0.030913681956008077
Total test time: 0.04255674406886101 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011634506983682513, model_test_time: 0.030922237085178494
Total test time: 0.049197008833289146 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013372487854212523, model_test_time: 0.035824520979076624
Total test time: 0.051828470546752214 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016260388772934675, model_test_time: 0.03556808177381754
Total test time: 0.04239697312004864 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011695581022650003, model_test_time: 0.03070139209739864
Total test time: 0.04256324633024633 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011616230243816972, model_test_time: 0.030947016086429358
Total test time: 0.052990871015936136 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016141297994181514, model_test_time: 0.03684957302175462
Total test time: 0.05298698111437261 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016150241950526834, model_test_time: 0.03683673916384578
Total test time: 0.05291748512536287 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016167984111234546, model_test_time: 0.03674950101412833
Total test time: 0.04771978221833706 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016146725043654442, model_test_time: 0.03157305717468262
Total test time: 0.042376101948320866 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011626914842054248, model_test_time: 0.030749187106266618
Total test time: 0.04249363602139056 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011717284098267555, model_test_time: 0.030776351923123002
Total test time: 0.04241959936916828 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011640451150014997, model_test_time: 0.030779148219153285
***1_th repeat
Total test time: 0.04500543302856386 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011584044899791479, model_test_time: 0.03342138812877238
Total test time: 0.051603956846520305 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015667419647797942, model_test_time: 0.03593653719872236
Total test time: 0.05212157708592713 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01575103122740984, model_test_time: 0.03637054585851729
Total test time: 0.052030022256076336 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01562732830643654, model_test_time: 0.0364026939496398
Total test time: 0.042225902900099754 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011325700907036662, model_test_time: 0.030900201993063092
Total test time: 0.04221071605570614 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011265478795394301, model_test_time: 0.030945237260311842
Total test time: 0.05151255102828145 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014760087942704558, model_test_time: 0.03675246308557689
Total test time: 0.05246754875406623 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015619531739503145, model_test_time: 0.036848017014563084
Total test time: 0.052360032917931676 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01560288481414318, model_test_time: 0.036757148103788495
Total test time: 0.048840312054380774 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015629327856004238, model_test_time: 0.033210984198376536
Total test time: 0.04213314317166805 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01127249700948596, model_test_time: 0.030860646162182093
