Namespace(dataset='CTU1', feat='iat_size', gs='False', header='False', model='KJL-QS-init_GMM(diag)', time='2021-04-01 07:54:03')
***CTU1, KJL-QS-init_GMM(diag), iat_size, speedup/data/models/src_dst/iat_size-header_False/CTU1/before_proj_False-gs_False/KJL-QS-init_GMM(diag)-std_False_center_False-d_5-diag
***0_th repeat
Total test time: 0.017055189004167914 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014031087048351765, model_test_time: 0.0030241019558161497
Total test time: 0.014316358137875795 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011416680179536343, model_test_time: 0.0028996779583394527
Total test time: 0.01426661666482687 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011411864776164293, model_test_time: 0.0028547518886625767
Total test time: 0.014307247241958976 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011455623200163245, model_test_time: 0.0028516240417957306
Total test time: 0.014282895950600505 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01142040197737515, model_test_time: 0.002862493973225355
Total test time: 0.014284545090049505 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011437254026532173, model_test_time: 0.002847291063517332
Total test time: 0.01435065409168601 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011498159961774945, model_test_time: 0.002852494129911065
Total test time: 0.018878223840147257 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014903086936101317, model_test_time: 0.0039751369040459394
Total test time: 0.01979138911701739 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015764309093356133, model_test_time: 0.004027080023661256
Total test time: 0.01984312990680337 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015814790036529303, model_test_time: 0.004028339870274067
Total test time: 0.01984010962769389 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015857380582019687, model_test_time: 0.003982729045674205
Total test time: 0.01421261834912002 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011408605379983783, model_test_time: 0.002804012969136238
Total test time: 0.014176415977999568 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011380180018022656, model_test_time: 0.0027962359599769115
Total test time: 0.014179063960909843 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011385624995455146, model_test_time: 0.0027934389654546976
Total test time: 0.014144712826237082 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011352476896718144, model_test_time: 0.002792235929518938
Total test time: 0.014188471948727965 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011391607113182545, model_test_time: 0.0027968648355454206
Total test time: 0.01983516593463719 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015850807074457407, model_test_time: 0.003984358860179782
Total test time: 0.01981764705851674 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015788605203852057, model_test_time: 0.004029041854664683
Total test time: 0.019853386096656322 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015828454168513417, model_test_time: 0.004024931928142905
Total test time: 0.019815795123577118 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01584475114941597, model_test_time: 0.003971043974161148
***1_th repeat
Total test time: 0.019409934291616082 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01658936496824026, model_test_time: 0.002820569323375821
Total test time: 0.019273844081908464 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01645423797890544, model_test_time: 0.002819606103003025
Total test time: 0.019267973955720663 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01636140700429678, model_test_time: 0.0029065669514238834
Total test time: 0.019299234030768275 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016479978803545237, model_test_time: 0.0028192552272230387
Total test time: 0.019301826134324074 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01648736814968288, model_test_time: 0.0028144579846411943
Total test time: 0.019251826219260693 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016443829983472824, model_test_time: 0.0028079962357878685
Total test time: 0.01943919388577342 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016549052204936743, model_test_time: 0.0028901416808366776
Total test time: 0.013970680767670274 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011986518977209926, model_test_time: 0.001984161790460348
Total test time: 0.0139110351447016 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01187015208415687, model_test_time: 0.0020408830605447292
Total test time: 0.01391953369602561 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011868263827636838, model_test_time: 0.002051269868388772
Total test time: 0.013948809588328004 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011896575801074505, model_test_time: 0.002052233787253499
Total test time: 0.013879533857107162 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011840616120025516, model_test_time: 0.002038917737081647
Total test time: 0.017645139014348388 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014816921902820468, model_test_time: 0.0028282171115279198
Total test time: 0.019299880834296346 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016391906887292862, model_test_time: 0.0029079739470034838
Total test time: 0.019302363507449627 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016486145555973053, model_test_time: 0.002816217951476574
Total test time: 0.019342008978128433 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016513273818418384, model_test_time: 0.0028287351597100496
Total test time: 0.019295028178021312 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01646923692896962, model_test_time: 0.00282579124905169
Total test time: 0.019355158088728786 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016470590140670538, model_test_time: 0.0028845679480582476
Total test time: 0.01934822928160429 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016518383286893368, model_test_time: 0.0028298459947109222
Total test time: 0.01877146796323359 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016544941114261746, model_test_time: 0.0022265268489718437
***2_th repeat
Total test time: 0.014424762222915888 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011590953217819333, model_test_time: 0.0028338090050965548
