Namespace(dataset='CTU1', feat='stats', gs='False', header='True', model='KJL-QS-init_GMM(full)', time='2021-04-01 07:58:59')
***CTU1, KJL-QS-init_GMM(full), stats, speedup/data/models/src_dst/stats-header_True/CTU1/before_proj_False-gs_False/KJL-QS-init_GMM(full)-std_False_center_False-d_5-full
***0_th repeat
Total test time: 0.017926429864019156 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015022122068330646, model_test_time: 0.00290430779568851
Total test time: 0.014778145588934422 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012068295618519187, model_test_time: 0.0027098499704152346
Total test time: 0.014676091959699988 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011977890972048044, model_test_time: 0.002698200987651944
Total test time: 0.014859587186947465 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012143424013629556, model_test_time: 0.0027161631733179092
Total test time: 0.014936733525246382 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012225514743477106, model_test_time: 0.0027112187817692757
Total test time: 0.020729666110128164 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016760732978582382, model_test_time: 0.003968933131545782
Total test time: 0.020604891004040837 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01664490206167102, model_test_time: 0.003959988942369819
Total test time: 0.020515355747193098 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016610736027359962, model_test_time: 0.0039046197198331356
Total test time: 0.01909885019995272 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016391889192163944, model_test_time: 0.0027069610077887774
Total test time: 0.01489599421620369 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012186053209006786, model_test_time: 0.0027099410071969032
Total test time: 0.014646276831626892 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011952538974583149, model_test_time: 0.002693737857043743
Total test time: 0.014774310635402799 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012073962716385722, model_test_time: 0.0027003479190170765
Total test time: 0.014724296052008867 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012029815930873156, model_test_time: 0.0026944801211357117
Total test time: 0.014796941075474024 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012098127976059914, model_test_time: 0.00269881309941411
Total test time: 0.014728185022249818 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012040426954627037, model_test_time: 0.002687758067622781
Total test time: 0.014721960993483663 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012015296844765544, model_test_time: 0.0027066641487181187
Total test time: 0.014776014955714345 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012041314970701933, model_test_time: 0.002734699985012412
Total test time: 0.014716664794832468 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012016037944704294, model_test_time: 0.002700626850128174
Total test time: 0.016503238817676902 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012531360844150186, model_test_time: 0.003971877973526716
Total test time: 0.020628094440326095 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01671877014450729, model_test_time: 0.003909324295818806
***1_th repeat
Total test time: 0.021122695179656148 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01717233518138528, model_test_time: 0.003950359998270869
Total test time: 0.02060609497129917 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01669423491694033, model_test_time: 0.00391186005435884
Total test time: 0.014852829976007342 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012058981694281101, model_test_time: 0.002793848281726241
Total test time: 0.014812348876148462 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012056000996381044, model_test_time: 0.002756347879767418
Total test time: 0.014775313902646303 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012013447005301714, model_test_time: 0.0027618668973445892
Total test time: 0.014750498346984386 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012030909303575754, model_test_time: 0.0027195890434086323
Total test time: 0.01465698191896081 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01195348403416574, model_test_time: 0.0027034978847950697
Total test time: 0.020642742048949003 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016671438002958894, model_test_time: 0.0039713040459901094
Total test time: 0.02065816754475236 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01673119585029781, model_test_time: 0.003926971694454551
Total test time: 0.020604465855285525 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016686882823705673, model_test_time: 0.003917583031579852
Total test time: 0.019240086898207664 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016529459971934557, model_test_time: 0.0027106269262731075
Total test time: 0.014762775972485542 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012046981835737824, model_test_time: 0.002715794136747718
Total test time: 0.014799107564613223 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012077443767338991, model_test_time: 0.002721663797274232
Total test time: 0.014788868138566613 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012069406919181347, model_test_time: 0.0027194612193852663
Total test time: 0.014811405912041664 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012100203894078732, model_test_time: 0.0027112020179629326
Total test time: 0.0161372278816998 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012217144947499037, model_test_time: 0.003920082934200764
Total test time: 0.020530004054307938 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016622920986264944, model_test_time: 0.0039070830680429935
Total test time: 0.020494577707722783 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016569384839385748, model_test_time: 0.003925192868337035
Total test time: 0.02056763367727399 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016583477845415473, model_test_time: 0.003984155831858516
Total test time: 0.02073544403538108 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0165972369723022, model_test_time: 0.00413820706307888
***2_th repeat
Total test time: 0.020262713311240077 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01627079932950437, model_test_time: 0.003991913981735706
Total test time: 0.02074723900295794 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016766085056588054, model_test_time: 0.003981153946369886
Total test time: 0.0194471578579396 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01672428986057639, model_test_time: 0.0027228679973632097
Total test time: 0.014800146222114563 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012074945028871298, model_test_time: 0.002725201193243265
Total test time: 0.014830552041530609 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0121137211099267, model_test_time: 0.0027168309316039085
Total test time: 0.01482277363538742 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012104183668270707, model_test_time: 0.0027185899671167135
Total test time: 0.014830938773229718 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012111405842006207, model_test_time: 0.0027195329312235117
Total test time: 0.01609680149704218 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012108109658583999, model_test_time: 0.00398869183845818
Total test time: 0.02077061077579856 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016817528754472733, model_test_time: 0.003953082021325827
Total test time: 0.020799238933250308 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016872841166332364, model_test_time: 0.003926397766917944
Total test time: 0.02076047915033996 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01681941607967019, model_test_time: 0.00394106307066977
Total test time: 0.020787331042811275 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016842860030010343, model_test_time: 0.003944471012800932
Total test time: 0.02071322128176689 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016767880180850625, model_test_time: 0.0039453411009162664
Total test time: 0.02072366699576378 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016768066911026835, model_test_time: 0.003955600084736943
Total test time: 0.019982164725661278 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016681197797879577, model_test_time: 0.003300966927781701
Total test time: 0.014876383822411299 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012083647772669792, model_test_time: 0.0027927360497415066
Total test time: 0.014866255689412355 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012123666936531663, model_test_time: 0.0027425887528806925
Total test time: 0.014793071895837784 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012052185833454132, model_test_time: 0.0027408860623836517
Total test time: 0.014824053039774299 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01210824097506702, model_test_time: 0.002715812064707279
Total test time: 0.015943437116220593 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012191609013825655, model_test_time: 0.0037518281023949385
***3_th repeat
Total test time: 0.021487558027729392 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01669384492561221, model_test_time: 0.004793713102117181
Total test time: 0.021378521341830492 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016619180096313357, model_test_time: 0.004759341245517135
