Namespace(dataset='CTU1', feat='iat_size', gs='True', header='False', model='KJL-QS-init_GMM(full)', time='2021-04-01 07:49:12')
***CTU1, KJL-QS-init_GMM(full), iat_size, speedup/data/models/src_dst/iat_size-header_False/CTU1/before_proj_False-gs_True/KJL-QS-init_GMM(full)-std_False_center_False-d_5-full
***0_th repeat
Total test time: 0.01958672283217311 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013973529916256666, model_test_time: 0.005613192915916443
Total test time: 0.016799747478216887 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011485769413411617, model_test_time: 0.005313978064805269
Total test time: 0.016810469329357147 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011437956243753433, model_test_time: 0.005372513085603714
Total test time: 0.016904373187571764 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011522046057507396, model_test_time: 0.005382327130064368
Total test time: 0.01693452289327979 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011502898996695876, model_test_time: 0.005431623896583915
Total test time: 0.016872152918949723 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011551952920854092, model_test_time: 0.005320199998095632
Total test time: 0.01682635792531073 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011492472840473056, model_test_time: 0.005333885084837675
Total test time: 0.016836560796946287 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011460010893642902, model_test_time: 0.005376549903303385
Total test time: 0.016842338955029845 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011480565881356597, model_test_time: 0.005361773073673248
Total test time: 0.01678430219180882 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01148878806270659, model_test_time: 0.00529551412910223
Total test time: 0.016755061456933618 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011403695680201054, model_test_time: 0.005351365776732564
Total test time: 0.02349991607479751 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01579701015725732, model_test_time: 0.007702905917540193
Total test time: 0.023701783269643784 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0158989152405411, model_test_time: 0.007802868029102683
Total test time: 0.023683320032432675 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015856063924729824, model_test_time: 0.007827256107702851
Total test time: 0.01804107241332531 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01272577908821404, model_test_time: 0.00531529332511127
Total test time: 0.016803690930828452 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011423178017139435, model_test_time: 0.005380512913689017
Total test time: 0.01685572718270123 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011476603103801608, model_test_time: 0.005379124078899622
Total test time: 0.016821136232465506 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011501047061756253, model_test_time: 0.005320089170709252
Total test time: 0.0181022179313004 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011409956030547619, model_test_time: 0.006692261900752783
Total test time: 0.02374628186225891 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01592467282898724, model_test_time: 0.00782160903327167
***1_th repeat
Total test time: 0.021698381518945098 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015621865401044488, model_test_time: 0.00607651611790061
Total test time: 0.02179856295697391 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015769602032378316, model_test_time: 0.006028960924595594
Total test time: 0.02179058315232396 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015753251034766436, model_test_time: 0.006037332117557526
Total test time: 0.021779825910925865 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015751288970932364, model_test_time: 0.006028536939993501
Total test time: 0.021769286831840873 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01573434378951788, model_test_time: 0.006034943042322993
Total test time: 0.018561614910140634 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01446379697881639, model_test_time: 0.0040978179313242435
Total test time: 0.015489738434553146 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011389142135158181, model_test_time: 0.004100596299394965
Total test time: 0.015583679545670748 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011417306726798415, model_test_time: 0.004166372818872333
Total test time: 0.015536440536379814 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011368254665285349, model_test_time: 0.004168185871094465
Total test time: 0.015533996745944023 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011402420001104474, model_test_time: 0.004131576744839549
Total test time: 0.015485403127968311 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011395418085157871, model_test_time: 0.00408998504281044
Total test time: 0.01552034798078239 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011414492968469858, model_test_time: 0.0041058550123125315
Total test time: 0.01544368383474648 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011363438796252012, model_test_time: 0.004080245038494468
Total test time: 0.015408259117975831 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011304809944704175, model_test_time: 0.004103449173271656
Total test time: 0.015446424018591642 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011343030957505107, model_test_time: 0.0041033930610865355
Total test time: 0.02174765826202929 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015821619192138314, model_test_time: 0.005926039069890976
Total test time: 0.021696899784728885 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015768361976370215, model_test_time: 0.005928537808358669
Total test time: 0.021674845134839416 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01576328813098371, model_test_time: 0.005911557003855705
Total test time: 0.021615550154820085 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015711696119979024, model_test_time: 0.005903854034841061
Total test time: 0.02174410247243941 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015790268778800964, model_test_time: 0.005953833693638444
***2_th repeat
Total test time: 0.02431160188280046 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01715568290092051, model_test_time: 0.00715591898187995
Total test time: 0.022234923904761672 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01674187695607543, model_test_time: 0.005493046948686242
Total test time: 0.01698320498690009 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01205010898411274, model_test_time: 0.004933096002787352
Total test time: 0.016914280829951167 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012066922849044204, model_test_time: 0.004847357980906963
Total test time: 0.016875671921297908 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012001239927485585, model_test_time: 0.004874431993812323
Total test time: 0.01695909397676587 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012050404911860824, model_test_time: 0.004908689064905047
Total test time: 0.022578472271561623 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015532366232946515, model_test_time: 0.0070461060386151075
Total test time: 0.023891055956482887 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016760359052568674, model_test_time: 0.007130696903914213
Total test time: 0.02391868643462658 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016794451279565692, model_test_time: 0.007124235155060887
