Namespace(dataset='CTU1', feat='stats', gs='False', header='True', model='Nystrom-GMM(diag)', time='2021-04-01 08:00:22')
***CTU1, Nystrom-GMM(diag), stats, speedup/data/models/src_dst/stats-header_True/CTU1/before_proj_False-gs_False/Nystrom-GMM(diag)-std_False_center_False-d_5-diag
***0_th repeat
Total test time: 0.01564310910180211 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014123308006674051, model_test_time: 0.0015198010951280594
Total test time: 0.013505636248737574 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01207983330823481, model_test_time: 0.0014258029405027628
Total test time: 0.013445267919450998 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01205264893360436, model_test_time: 0.0013926189858466387
Total test time: 0.013450489146634936 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01206483319401741, model_test_time: 0.001385655952617526
Total test time: 0.01867952407337725 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016723974142223597, model_test_time: 0.001955549931153655
Total test time: 0.018689691089093685 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016673122998327017, model_test_time: 0.0020165680907666683
Total test time: 0.01871032197959721 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016767141176387668, model_test_time: 0.0019431808032095432
Total test time: 0.018756117206066847 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016804992221295834, model_test_time: 0.0019511249847710133
Total test time: 0.018704432295635343 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016689919168129563, model_test_time: 0.0020145131275057793
Total test time: 0.018586676102131605 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016626681201159954, model_test_time: 0.001959994900971651
Total test time: 0.018741078674793243 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016776491655036807, model_test_time: 0.0019645870197564363
Total test time: 0.018693969352170825 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016702049179002643, model_test_time: 0.0019919201731681824
Total test time: 0.018702561734244227 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01674551167525351, model_test_time: 0.001957050058990717
Total test time: 0.018694393802434206 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01674669492058456, model_test_time: 0.0019476988818496466
Total test time: 0.018796281889081 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016783454921096563, model_test_time: 0.002012826967984438
Total test time: 0.016164780827239156 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014772755792364478, model_test_time: 0.0013920250348746777
Total test time: 0.013428693171590567 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012038353132084012, model_test_time: 0.0013903400395065546
Total test time: 0.013392583001405 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012010075151920319, model_test_time: 0.001382507849484682
Total test time: 0.013545838883146644 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012095833197236061, model_test_time: 0.0014500056859105825
Total test time: 0.013417803915217519 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012027482967823744, model_test_time: 0.001390320947393775
***1_th repeat
Total test time: 0.014367153868079185 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012377658858895302, model_test_time: 0.0019894950091838837
Total test time: 0.018720063380897045 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016755586257204413, model_test_time: 0.0019644771236926317
Total test time: 0.018779153237119317 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016801233170554042, model_test_time: 0.001977920066565275
Total test time: 0.01870824652723968 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01667384570464492, model_test_time: 0.002034400822594762
Total test time: 0.01876441272906959 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016792973969131708, model_test_time: 0.0019714387599378824
Total test time: 0.018613026943057775 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01667386502958834, model_test_time: 0.0019391619134694338
Total test time: 0.01876596873626113 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016729159746319056, model_test_time: 0.002036808989942074
Total test time: 0.018714949022978544 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016733566066250205, model_test_time: 0.001981382956728339
Total test time: 0.018698524683713913 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016734992852434516, model_test_time: 0.001963531831279397
Total test time: 0.018693137215450406 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016676699044182897, model_test_time: 0.0020164381712675095
Total test time: 0.018691563047468662 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016749883070588112, model_test_time: 0.0019416799768805504
Total test time: 0.018756191013380885 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016797861782833934, model_test_time: 0.0019583292305469513
Total test time: 0.0187958178576082 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016756121069192886, model_test_time: 0.0020396967884153128
Total test time: 0.018687803763896227 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016712327022105455, model_test_time: 0.0019754767417907715
Total test time: 0.018630709964782 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016657993895933032, model_test_time: 0.0019727160688489676
Total test time: 0.018641896778717637 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016703048953786492, model_test_time: 0.0019388478249311447
Total test time: 0.013518153922632337 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012077777180820704, model_test_time: 0.0014403767418116331
Total test time: 0.013465728145092726 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012066443916410208, model_test_time: 0.001399284228682518
Total test time: 0.013486654032021761 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012084998888894916, model_test_time: 0.0014016551431268454
Total test time: 0.01344813802279532 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012055519036948681, model_test_time: 0.0013926189858466387
***2_th repeat
Total test time: 0.01377696287818253 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012382640969008207, model_test_time: 0.001394321909174323
Total test time: 0.01700846804305911 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014969698153436184, model_test_time: 0.0020387698896229267
Total test time: 0.018645321717485785 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01668341993354261, model_test_time: 0.0019619017839431763
Total test time: 0.018698134925216436 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016736121848225594, model_test_time: 0.001962013076990843
Total test time: 0.018748581176623702 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01675858604721725, model_test_time: 0.001989995129406452
Total test time: 0.018778003519400954 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016809008782729506, model_test_time: 0.0019689947366714478
Total test time: 0.0187415792606771 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01678593596443534, model_test_time: 0.0019556432962417603
Total test time: 0.018733764765784144 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016721548745408654, model_test_time: 0.00201221602037549
Total test time: 0.018728746799752116 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016773917945101857, model_test_time: 0.001954828854650259
Total test time: 0.018724137684330344 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016802881844341755, model_test_time: 0.0019212558399885893
Total test time: 0.018761375918984413 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016747252084314823, model_test_time: 0.00201412383466959
Total test time: 0.018726691137999296 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016767492052167654, model_test_time: 0.001959199085831642
Total test time: 0.018693357007578015 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0167497880756855, model_test_time: 0.0019435689318925142
Total test time: 0.01349185872823 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012111498741433024, model_test_time: 0.0013803599867969751
Total test time: 0.013515079393982887 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01212772075086832, model_test_time: 0.0013873586431145668
Total test time: 0.013595432043075562 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012164202984422445, model_test_time: 0.0014312290586531162
Total test time: 0.0135034522973001 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012113001197576523, model_test_time: 0.0013904510997235775
Total test time: 0.013475192710757256 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012088425690308213, model_test_time: 0.0013867670204490423
Total test time: 0.017919652862474322 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01596650993451476, model_test_time: 0.0019531429279595613
Total test time: 0.01883209403604269 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016879581147804856, model_test_time: 0.001952512888237834
***3_th repeat
Total test time: 0.018292827997356653 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016333166975528002, model_test_time: 0.0019596610218286514
Total test time: 0.018701747059822083 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016747085144743323, model_test_time: 0.001954661915078759
Total test time: 0.01353180268779397 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012162905652076006, model_test_time: 0.0013688970357179642
Total test time: 0.013513746904209256 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01212616590783, model_test_time: 0.0013875809963792562
