Namespace(dataset='CTU1', feat='iat_size', gs='True', header='False', model='Nystrom-GMM(diag)', time='2021-04-01 07:50:32')
***CTU1, Nystrom-GMM(diag), iat_size, speedup/data/models/src_dst/iat_size-header_False/CTU1/before_proj_False-gs_True/Nystrom-GMM(diag)-std_False_center_False-d_5-diag
***0_th repeat
Total test time: 0.016013432992622256 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014087660005316138, model_test_time: 0.001925772987306118
Total test time: 0.013772999169304967 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012003666022792459, model_test_time: 0.0017693331465125084
Total test time: 0.013680591713637114 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01190431579016149, model_test_time: 0.0017762759234756231
Total test time: 0.013780961278825998 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011999943992123008, model_test_time: 0.0017810172867029905
Total test time: 0.013748108875006437 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011976518901064992, model_test_time: 0.0017715899739414454
Total test time: 0.013722349656745791 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01195488777011633, model_test_time: 0.0017674618866294622
Total test time: 0.013752388767898083 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011966519756242633, model_test_time: 0.0017858690116554499
Total test time: 0.013800312299281359 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011976778274402022, model_test_time: 0.0018235340248793364
Total test time: 0.013833052013069391 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011991498991847038, model_test_time: 0.001841553021222353
Total test time: 0.01373561006039381 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01195414806716144, model_test_time: 0.0017814619932323694
Total test time: 0.01376964501105249 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011977795977145433, model_test_time: 0.0017918490339070559
Total test time: 0.013774590799584985 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011980370618402958, model_test_time: 0.0017942201811820269
Total test time: 0.013722019037231803 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011952833971008658, model_test_time: 0.0017691850662231445
Total test time: 0.013690146617591381 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01190301962196827, model_test_time: 0.0017871269956231117
Total test time: 0.018485544016584754 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01587280398234725, model_test_time: 0.002612740034237504
Total test time: 0.01916403044015169 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016617122339084744, model_test_time: 0.002546908101066947
Total test time: 0.019236879190430045 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01669760001823306, model_test_time: 0.0025392791721969843
Total test time: 0.01914421538822353 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016529401298612356, model_test_time: 0.0026148140896111727
Total test time: 0.01913902908563614 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016605121083557606, model_test_time: 0.002533908002078533
Total test time: 0.019173305947333574 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01664236094802618, model_test_time: 0.002530944999307394
***1_th repeat
Total test time: 0.02151677501387894 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01739401207305491, model_test_time: 0.004122762940824032
Total test time: 0.018609543330967426 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01571430917829275, model_test_time: 0.002895234152674675
Total test time: 0.01486112317070365 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011982740135863423, model_test_time: 0.002878383034840226
Total test time: 0.01481832773424685 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011949981795623899, model_test_time: 0.0028683459386229515
Total test time: 0.014925806317478418 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012036073254421353, model_test_time: 0.002889733063057065
Total test time: 0.014999174978584051 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01211108872666955, model_test_time: 0.002888086251914501
Total test time: 0.017398216063156724 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013298156904056668, model_test_time: 0.004100059159100056
Total test time: 0.0209350292570889 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01681676716543734, model_test_time: 0.004118262091651559
Total test time: 0.020836643176153302 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01674028718844056, model_test_time: 0.004096355987712741
Total test time: 0.020863455720245838 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016743841115385294, model_test_time: 0.004119614604860544
Total test time: 0.01489501097239554 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011995554901659489, model_test_time: 0.0028994560707360506
Total test time: 0.014803032157942653 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011921186232939363, model_test_time: 0.00288184592500329
Total test time: 0.014868251979351044 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01198648102581501, model_test_time: 0.0028817709535360336
Total test time: 0.014842178905382752 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011950889835134149, model_test_time: 0.002891289070248604
