Namespace(dataset='CTU1', feat='iat_size', gs='False', header='False', model='Nystrom-GMM(full)', time='2021-04-01 07:52:31')
***CTU1, Nystrom-GMM(full), iat_size, speedup/data/models/src_dst/iat_size-header_False/CTU1/before_proj_False-gs_False/Nystrom-GMM(full)-std_False_center_False-d_5-full
***0_th repeat
Total test time: 0.01566634583286941 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014004974626004696, model_test_time: 0.0016613712068647146
Total test time: 0.013531984994187951 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012020610040053725, model_test_time: 0.0015113749541342258
Total test time: 0.013419489143416286 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011890002992004156, model_test_time: 0.0015294861514121294
Total test time: 0.01346128387376666 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011890390887856483, model_test_time: 0.0015708929859101772
Total test time: 0.013463747221976519 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01188350422307849, model_test_time: 0.0015802429988980293
Total test time: 0.013319528196007013 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01178604201413691, model_test_time: 0.0015334861818701029
Total test time: 0.013387211132794619 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011863355059176683, model_test_time: 0.0015238560736179352
Total test time: 0.013304601656273007 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011773616774007678, model_test_time: 0.0015309848822653294
Total test time: 0.013346044113859534 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011824354995042086, model_test_time: 0.0015216891188174486
Total test time: 0.013419192051514983 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011886781081557274, model_test_time: 0.0015324109699577093
Total test time: 0.013477746164426208 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011955168098211288, model_test_time: 0.001522578066214919
Total test time: 0.015105431899428368 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01295140478760004, model_test_time: 0.002154027111828327
Total test time: 0.01862200698815286 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01641305396333337, model_test_time: 0.0022089530248194933
