Namespace(dataset='CTU1', feat='iat_size', gs='True', header='False', model='Nystrom-GMM(full)', time='2021-04-01 07:49:07')
***CTU1, Nystrom-GMM(full), iat_size, speedup/data/models/src_dst/iat_size-header_False/CTU1/before_proj_False-gs_True/Nystrom-GMM(full)-std_False_center_False-d_5-full
***0_th repeat
Total test time: 0.016941188368946314 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01434628153219819, model_test_time: 0.002594906836748123
Total test time: 0.01454631402157247 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01209479314275086, model_test_time: 0.0024515208788216114
Total test time: 0.014602127019315958 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012159014120697975, model_test_time: 0.002443112898617983
Total test time: 0.014636812265962362 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012186977081000805, model_test_time: 0.0024498351849615574
Total test time: 0.014623627066612244 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012178642908111215, model_test_time: 0.002444984158501029
Total test time: 0.014590907376259565 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012146218214184046, model_test_time: 0.0024446891620755196
Total test time: 0.014614091021940112 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01216234709136188, model_test_time: 0.002451743930578232
Total test time: 0.01459838729351759 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012156995479017496, model_test_time: 0.0024413918145000935
Total test time: 0.01570069696754217 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012186086969450116, model_test_time: 0.0035146099980920553
Total test time: 0.02041548490524292 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016882245894521475, model_test_time: 0.003533239010721445
Total test time: 0.020609960658475757 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01695589255541563, model_test_time: 0.0036540681030601263
Total test time: 0.02057851734571159 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01698811328969896, model_test_time: 0.0035904040560126305
Total test time: 0.01661803014576435 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014172953087836504, model_test_time: 0.002445077057927847
Total test time: 0.014619349967688322 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012188754975795746, model_test_time: 0.0024305949918925762
Total test time: 0.014668219024315476 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012210641987621784, model_test_time: 0.002457577036693692
Total test time: 0.014678682200610638 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012219513300806284, model_test_time: 0.0024591688998043537
Total test time: 0.014624422881752253 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012183513026684523, model_test_time: 0.00244090985506773
