Namespace(dataset='CTU1', feat='stats', gs='False', header='True', model='Nystrom-OCSVM(linear)', time='2021-04-01 08:00:09')
***CTU1, Nystrom-OCSVM(linear), stats, speedup/data/models/src_dst/stats-header_True/CTU1/before_proj_False-gs_False/Nystrom-OCSVM(linear)-std_False_center_False-d_5-None
***0_th repeat
Total test time: 0.04522567801177502 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014376821229234338, model_test_time: 0.03084885678254068
Total test time: 0.04267621412873268 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011929318075999618, model_test_time: 0.030746896052733064
Total test time: 0.04266299190931022 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011868985835462809, model_test_time: 0.030794006073847413
Total test time: 0.05276405275799334 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01668478874489665, model_test_time: 0.03607926401309669
Total test time: 0.05191735061816871 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016604033298790455, model_test_time: 0.03531331731937826
Total test time: 0.04273319523781538 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011862561339512467, model_test_time: 0.030870633898302913
Total test time: 0.043428161880001426 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011835803044959903, model_test_time: 0.03159235883504152
Total test time: 0.05293764057569206 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016588123748078942, model_test_time: 0.036349516827613115
Total test time: 0.04894813569262624 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016619532834738493, model_test_time: 0.032328602857887745
Total test time: 0.04270973172970116 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011927558807656169, model_test_time: 0.030782172922044992
Total test time: 0.0426822486333549 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011921779718250036, model_test_time: 0.030760468915104866
Total test time: 0.04282648931257427 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011916430201381445, model_test_time: 0.030910059111192822
Total test time: 0.04420871683396399 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011911965906620026, model_test_time: 0.032296750927343965
Total test time: 0.052970936289057136 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016665641218423843, model_test_time: 0.03630529507063329
Total test time: 0.047364408150315285 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01656451402232051, model_test_time: 0.030799894127994776
Total test time: 0.042591918259859085 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011844745138660073, model_test_time: 0.030747173121199012
Total test time: 0.04694310296326876 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011959020979702473, model_test_time: 0.034984081983566284
Total test time: 0.052508650813251734 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016523978672921658, model_test_time: 0.035984672140330076
Total test time: 0.05249389144591987 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016480665653944016, model_test_time: 0.036013225791975856
Total test time: 0.052431283285841346 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016590663231909275, model_test_time: 0.03584062005393207
***1_th repeat
Total test time: 0.05311095155775547 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017060910817235708, model_test_time: 0.03605004074051976
Total test time: 0.04862501099705696 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016728474060073495, model_test_time: 0.031896536936983466
Total test time: 0.04302627802826464 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012008611112833023, model_test_time: 0.03101766691543162
Total test time: 0.046587314922362566 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01198426098562777, model_test_time: 0.034603053936734796
Total test time: 0.05344275990501046 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016700400970876217, model_test_time: 0.036742358934134245
Total test time: 0.05331991193816066 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016725308960303664, model_test_time: 0.036594602977856994
Total test time: 0.05362527584657073 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016730197006836534, model_test_time: 0.0368950788397342
Total test time: 0.05341009399853647 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01666919724084437, model_test_time: 0.0367408967576921
Total test time: 0.05369653436355293 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016651607351377606, model_test_time: 0.03704492701217532
