Namespace(dataset='CTU1', feat='stats', gs='False', header='True', model='Nystrom-QS-init_GMM(diag)', time='2021-04-01 08:00:33')
***CTU1, Nystrom-QS-init_GMM(diag), stats, speedup/data/models/src_dst/stats-header_True/CTU1/before_proj_False-gs_False/Nystrom-QS-init_GMM(diag)-std_False_center_False-d_5-diag
***0_th repeat
Total test time: 0.01636864896863699 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014173250878229737, model_test_time: 0.0021953980904072523
Total test time: 0.014146696077659726 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012140295235440135, model_test_time: 0.002006400842219591
Total test time: 0.014066215138882399 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012015890097245574, model_test_time: 0.0020503250416368246
Total test time: 0.014079253887757659 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012015038868412375, model_test_time: 0.0020642150193452835
Total test time: 0.014068826101720333 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012004797114059329, model_test_time: 0.002064028987661004
Total test time: 0.014035533182322979 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011948651168495417, model_test_time: 0.0020868820138275623
Total test time: 0.014011901803314686 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012007334036752582, model_test_time: 0.0020045677665621042
Total test time: 0.014024923322722316 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012020021211355925, model_test_time: 0.002004902111366391
Total test time: 0.013992588268592954 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011986910132691264, model_test_time: 0.0020056781359016895
Total test time: 0.01958532095886767 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016719140810891986, model_test_time: 0.002866180147975683
Total test time: 0.019560507033020258 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01665506884455681, model_test_time: 0.0029054381884634495
Total test time: 0.01947837695479393 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01662097591906786, model_test_time: 0.0028574010357260704
Total test time: 0.019556672777980566 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016698918770998716, model_test_time: 0.0028577540069818497
Total test time: 0.019493434112519026 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01664332812651992, model_test_time: 0.0028501059859991074
Total test time: 0.01953618973493576 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01663821586407721, model_test_time: 0.00289797387085855
Total test time: 0.019647855311632156 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01677989913150668, model_test_time: 0.002867956180125475
Total test time: 0.01706355786882341 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015056378906592727, model_test_time: 0.0020071789622306824
Total test time: 0.014142436906695366 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012138979975134134, model_test_time: 0.0020034569315612316
Total test time: 0.014115272322669625 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012105464236810803, model_test_time: 0.002009808085858822
Total test time: 0.0140178301371634 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01200294611044228, model_test_time: 0.00201488402672112
***1_th repeat
