Namespace(dataset='CTU1', feat='iat_size', gs='True', header='False', model='Nystrom-QS-init_GMM(diag)', time='2021-04-01 07:50:42')
***CTU1, Nystrom-QS-init_GMM(diag), iat_size, speedup/data/models/src_dst/iat_size-header_False/CTU1/before_proj_False-gs_True/Nystrom-QS-init_GMM(diag)-std_False_center_False-d_5-diag
***0_th repeat
Total test time: 0.017540637403726578 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014296060428023338, model_test_time: 0.0032445769757032394
Total test time: 0.01478671608492732 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011686948826536536, model_test_time: 0.0030997672583907843
Total test time: 0.01479878998361528 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011690875981003046, model_test_time: 0.003107914002612233
Total test time: 0.020739847561344504 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01628853566944599, model_test_time: 0.004451311891898513
Total test time: 0.020730403251945972 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01623498136177659, model_test_time: 0.004495421890169382
Total test time: 0.02092041657306254 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016363459872081876, model_test_time: 0.004556956700980663
Total test time: 0.01936822896823287 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016270481050014496, model_test_time: 0.0030977479182183743
Total test time: 0.014817735180258751 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011706340126693249, model_test_time: 0.003111395053565502
Total test time: 0.014710311079397798 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011608545202761889, model_test_time: 0.003101765876635909
Total test time: 0.01477308920584619 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011670822277665138, model_test_time: 0.003102266928181052
Total test time: 0.014947286807000637 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01174206007272005, model_test_time: 0.0032052267342805862
Total test time: 0.014922789065167308 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011717173038050532, model_test_time: 0.0032056160271167755
Total test time: 0.01491365977562964 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01174856093712151, model_test_time: 0.003165098838508129
Total test time: 0.014821827644482255 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011633711634203792, model_test_time: 0.0031881160102784634
Total test time: 0.01491877157241106 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01174917258322239, model_test_time: 0.003169598989188671
Total test time: 0.014855328481644392 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0117029151879251, model_test_time: 0.0031524132937192917
Total test time: 0.014873141422867775 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011717005167156458, model_test_time: 0.003156136255711317
Total test time: 0.014880511211231351 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011756079038605094, model_test_time: 0.003124432172626257
Total test time: 0.014812622917816043 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011700412956997752, model_test_time: 0.0031122099608182907
Total test time: 0.014817455783486366 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01172561477869749, model_test_time: 0.0030918410047888756
***1_th repeat
Total test time: 0.015142337884753942 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012105217901989818, model_test_time: 0.003037119982764125
Total test time: 0.01490469602867961 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011918074917048216, model_test_time: 0.0029866211116313934
Total test time: 0.014871862716972828 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01188424276188016, model_test_time: 0.0029876199550926685
