Namespace(dataset='CTU1', feat='stats', gs='True', header='True', model='Nystrom-QS-init_GMM(diag)', time='2021-04-01 07:57:03')
***CTU1, Nystrom-QS-init_GMM(diag), stats, speedup/data/models/src_dst/stats-header_True/CTU1/before_proj_False-gs_True/Nystrom-QS-init_GMM(diag)-std_False_center_False-d_5-diag
***0_th repeat
Total test time: 0.01685519190505147 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014494316885247827, model_test_time: 0.0023608750198036432
Total test time: 0.014213342685252428 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012012760853394866, model_test_time: 0.002200581831857562
Total test time: 0.014129400486126542 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011937706265598536, model_test_time: 0.0021916942205280066
Total test time: 0.014164326013997197 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011901151156052947, model_test_time: 0.00226317485794425
Total test time: 0.01416232599876821 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01195811410434544, model_test_time: 0.0022042118944227695
Total test time: 0.014113641809672117 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011914039961993694, model_test_time: 0.002199601847678423
Total test time: 0.014079732354730368 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011894965311512351, model_test_time: 0.0021847670432180166
Total test time: 0.014062677742913365 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011868169764056802, model_test_time: 0.0021945079788565636
Total test time: 0.014076714869588614 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011870743939653039, model_test_time: 0.0022059709299355745
Total test time: 0.01410640124231577 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011914392234757543, model_test_time: 0.0021920090075582266
Total test time: 0.01417862088419497 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011968372855335474, model_test_time: 0.002210248028859496
Total test time: 0.01414282713085413 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011949559208005667, model_test_time: 0.002193267922848463
Total test time: 0.015789977042004466 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01266508107073605, model_test_time: 0.0031248959712684155
Total test time: 0.019806684693321586 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01667038188315928, model_test_time: 0.003136302810162306
Total test time: 0.01962385606020689 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01648749690502882, model_test_time: 0.00313635915517807
Total test time: 0.019772370345890522 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01656823535449803, model_test_time: 0.0032041349913924932
Total test time: 0.019685297971591353 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0165544580668211, model_test_time: 0.003130839904770255
Total test time: 0.019660538528114557 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01654536579735577, model_test_time: 0.003115172730758786
Total test time: 0.019650429720059037 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01650457177311182, model_test_time: 0.003145857946947217
Total test time: 0.01972764916718006 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016524737002328038, model_test_time: 0.003202912164852023
***1_th repeat
Total test time: 0.014514519600197673 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012501489836722612, model_test_time: 0.0020130297634750605
Total test time: 0.014180067460983992 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012163721257820725, model_test_time: 0.002016346203163266
Total test time: 0.014282839838415384 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012263050768524408, model_test_time: 0.002019789069890976
Total test time: 0.014304579934105277 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012273438973352313, model_test_time: 0.002031140960752964
Total test time: 0.014174306532368064 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012168127577751875, model_test_time: 0.002006178954616189
Total test time: 0.01987105398438871 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016940764850005507, model_test_time: 0.0029302891343832016
Total test time: 0.019792833598330617 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016915302723646164, model_test_time: 0.002877530874684453
Total test time: 0.019844332011416554 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01695183990523219, model_test_time: 0.0028924921061843634
Total test time: 0.019847035873681307 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016970450058579445, model_test_time: 0.002876585815101862
Total test time: 0.019941367208957672 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016978746047243476, model_test_time: 0.002962621161714196
Total test time: 0.01983998087234795 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016974152764305472, model_test_time: 0.0028658281080424786
Total test time: 0.019799314672127366 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01691187685355544, model_test_time: 0.002887437818571925
Total test time: 0.019819111097604036 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016951895086094737, model_test_time: 0.0028672160115092993
Total test time: 0.019923274870961905 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01690322789363563, model_test_time: 0.003020046977326274
Total test time: 0.02016121381893754 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01721586985513568, model_test_time: 0.002945343963801861
Total test time: 0.0200818651355803 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017200963106006384, model_test_time: 0.0028809020295739174
Total test time: 0.019782648887485266 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016925024800002575, model_test_time: 0.002857624087482691
Total test time: 0.019785908050835133 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01683441619388759, model_test_time: 0.0029514918569475412
Total test time: 0.019826945383101702 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016886415192857385, model_test_time: 0.002940530190244317
Total test time: 0.019823463866487145 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016941858688369393, model_test_time: 0.002881605178117752
***2_th repeat
Total test time: 0.0194285090547055 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016550940927118063, model_test_time: 0.0028775681275874376
Total test time: 0.019841480068862438 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01695658010430634, model_test_time: 0.002884899964556098
Total test time: 0.01998558989726007 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017107262974604964, model_test_time: 0.0028783269226551056
Total test time: 0.015699995681643486 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013687668601050973, model_test_time: 0.002012327080592513
Total test time: 0.014209027169272304 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012195756193250418, model_test_time: 0.002013270976021886
