Namespace(dataset='CTU1', feat='iat_size', gs='True', header='False', model='Nystrom-QS-init_GMM(full)', time='2021-04-01 07:49:18')
***CTU1, Nystrom-QS-init_GMM(full), iat_size, speedup/data/models/src_dst/iat_size-header_False/CTU1/before_proj_False-gs_True/Nystrom-QS-init_GMM(full)-std_False_center_False-d_5-full
***0_th repeat
Total test time: 0.020722737070173025 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014295283239334822, model_test_time: 0.006427453830838203
Total test time: 0.017948221182450652 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011717375135049224, model_test_time: 0.006230846047401428
Total test time: 0.017885962035506964 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011589413974434137, model_test_time: 0.006296548061072826
Total test time: 0.017889242386445403 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011608378263190389, model_test_time: 0.006280864123255014
Total test time: 0.01786609413102269 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011629636865109205, model_test_time: 0.0062364572659134865
Total test time: 0.017913425341248512 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011619932251051068, model_test_time: 0.006293493090197444
Total test time: 0.017867224058136344 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011626248946413398, model_test_time: 0.006240975111722946
Total test time: 0.0179207029286772 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011577599914744496, model_test_time: 0.006343103013932705
Total test time: 0.017946092411875725 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011614303570240736, model_test_time: 0.006331788841634989
Total test time: 0.024412396363914013 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015207892283797264, model_test_time: 0.009204504080116749
Total test time: 0.02517834398895502 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016040023183450103, model_test_time: 0.009138320805504918
Total test time: 0.025292823323979974 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016148151364177465, model_test_time: 0.009144671959802508
Total test time: 0.01936133811250329 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01313821505755186, model_test_time: 0.006223123054951429
