Namespace(dataset='CTU1', feat='stats', gs='True', header='True', model='Nystrom-QS-init_GMM(full)', time='2021-04-01 07:55:36')
***CTU1, Nystrom-QS-init_GMM(full), stats, speedup/data/models/src_dst/stats-header_True/CTU1/before_proj_False-gs_True/Nystrom-QS-init_GMM(full)-std_False_center_False-d_5-full
***0_th repeat
Total test time: 0.018367476062849164 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01416386291384697, model_test_time: 0.004203613149002194
Total test time: 0.015910472720861435 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011849319795146585, model_test_time: 0.00406115292571485
Total test time: 0.015903750201687217 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01185322622768581, model_test_time: 0.004050523974001408
Total test time: 0.01595923281274736 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011844339780509472, model_test_time: 0.004114893032237887
Total test time: 0.015940266894176602 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011809170944616199, model_test_time: 0.004131095949560404
Total test time: 0.016006638295948505 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011891429079696536, model_test_time: 0.004115209216251969
Total test time: 0.015944859944283962 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011903780046850443, model_test_time: 0.004041079897433519
Total test time: 0.015992469154298306 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011917798314243555, model_test_time: 0.0040746708400547504
Total test time: 0.015872975112870336 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011826914036646485, model_test_time: 0.00404606107622385
Total test time: 0.015863102860748768 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011805337620899081, model_test_time: 0.004057765239849687
Total test time: 0.02059994568116963 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01473522069863975, model_test_time: 0.005864724982529879
Total test time: 0.022167316870763898 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016294073779135942, model_test_time: 0.0058732430916279554
Total test time: 0.02221567160449922 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01634039031341672, model_test_time: 0.005875281291082501
Total test time: 0.022234690142795444 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01636250107549131, model_test_time: 0.005872189067304134
Total test time: 0.022268502041697502 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01638903608545661, model_test_time: 0.005879465956240892
Total test time: 0.022188876289874315 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01635781629011035, model_test_time: 0.005831059999763966
Total test time: 0.022288965061306953 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0164032019674778, model_test_time: 0.005885763093829155
Total test time: 0.01599835930392146 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011857318226248026, model_test_time: 0.004141041077673435
Total test time: 0.015963042620569468 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011827206937596202, model_test_time: 0.004135835682973266
Total test time: 0.015898936428129673 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011840209364891052, model_test_time: 0.004058727063238621
***1_th repeat
Total test time: 0.015659126453101635 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012343697249889374, model_test_time: 0.003315429203212261
Total test time: 0.016824710881337523 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011997703928500414, model_test_time: 0.0048270069528371096
Total test time: 0.02158753597177565 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01679402799345553, model_test_time: 0.004793507978320122
Total test time: 0.021543592680245638 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01677869469858706, model_test_time: 0.004764897981658578
Total test time: 0.02147909440100193 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016758326208218932, model_test_time: 0.004720768192782998
Total test time: 0.021540351444855332 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016807527281343937, model_test_time: 0.0047328241635113955
Total test time: 0.021577962208539248 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016807323088869452, model_test_time: 0.004770639119669795
Total test time: 0.02157503692433238 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01681602792814374, model_test_time: 0.004759008996188641
Total test time: 0.021487592719495296 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01673332485370338, model_test_time: 0.004754267865791917
Total test time: 0.021527298027649522 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016777084907516837, model_test_time: 0.004750213120132685
Total test time: 0.02152766566723585 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016781248850747943, model_test_time: 0.004746416816487908
Total test time: 0.021544942166656256 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016797471093013883, model_test_time: 0.004747471073642373
Total test time: 0.021453795954585075 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016707009868696332, model_test_time: 0.004746786085888743
Total test time: 0.021471019834280014 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016730103874579072, model_test_time: 0.004740915959700942
Total test time: 0.02145646419376135 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016722344094887376, model_test_time: 0.004734120098873973
Total test time: 0.02154477802105248 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016775324940681458, model_test_time: 0.004769453080371022
Total test time: 0.021596516016870737 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016851654974743724, model_test_time: 0.004744861042127013
Total test time: 0.021559721557423472 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016754953423514962, model_test_time: 0.00480476813390851
Total test time: 0.021518555004149675 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016708898823708296, model_test_time: 0.0048096561804413795
Total test time: 0.01539131673052907 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01210549776442349, model_test_time: 0.0032858189661055803
***2_th repeat
Total test time: 0.015277154045179486 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01223908900283277, model_test_time: 0.003038065042346716
Total test time: 0.014992953510954976 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01195790758356452, model_test_time: 0.003035045927390456
Total test time: 0.014940882567316294 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01193142868578434, model_test_time: 0.003009453881531954
Total test time: 0.01638553780503571 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011936336988583207, model_test_time: 0.004449200816452503
Total test time: 0.02109760115854442 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01667236303910613, model_test_time: 0.004425238119438291
Total test time: 0.02095225383527577 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016595698660239577, model_test_time: 0.004356555175036192
Total test time: 0.02106025000102818 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016684381058439612, model_test_time: 0.004375868942588568
Total test time: 0.01603111787699163 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012959461892023683, model_test_time: 0.003071655984967947
