Namespace(dataset='CTU1', feat='iat_size', gs='False', header='False', model='OCSVM(rbf)', time='2021-04-01 07:52:47')
***CTU1, OCSVM(rbf), iat_size, speedup/data/models/src_dst/iat_size-header_False/CTU1/before_proj_False-gs_False/OCSVM(rbf)-std_False_center_False-d_5-None
***0_th repeat
Total test time: 0.4411809272132814 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.555121555924416e-06, model_test_time: 0.44117337209172547
Total test time: 0.4360739446710795 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.925780326128006e-06, model_test_time: 0.4360670188907534
Total test time: 0.434608566807583 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.147900760173798e-06, model_test_time: 0.4346014189068228
Total test time: 0.4387188490945846 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.851041689515114e-06, model_test_time: 0.43871199805289507
Total test time: 0.43132982426322997 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.425202056765556e-06, model_test_time: 0.4313223990611732
Total test time: 0.43955201865173876 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 9.81474295258522e-06, model_test_time: 0.4395422039087862
Total test time: 0.4364686389453709 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.202848792076111e-06, model_test_time: 0.43646143609657884
Total test time: 0.47057549678720534 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.129739969968796e-06, model_test_time: 0.47056836704723537
Total test time: 0.4627609793096781 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.0552341639995575e-06, model_test_time: 0.4627539240755141
Total test time: 0.49694696511141956 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 9.315088391304016e-06, model_test_time: 0.49693765002302825
Total test time: 0.43305615708231926 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 9.574228897690773e-06, model_test_time: 0.43304658285342157
Total test time: 0.4666636921465397 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.814952939748764e-06, model_test_time: 0.46665687719359994
Total test time: 0.4388704940211028 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.0258052498102188e-05, model_test_time: 0.4388602359686047
Total test time: 0.46843428374268115 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.887836545705795e-06, model_test_time: 0.46842639590613544
Total test time: 0.43781990744173527 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.50063918530941e-06, model_test_time: 0.43781240680254996
Total test time: 0.47078867768868804 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.777932867407799e-06, model_test_time: 0.47078189975582063
Total test time: 0.44125962792895734 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.12880864739418e-06, model_test_time: 0.44125249912030995
Total test time: 0.43908706516958773 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.018214091658592e-06, model_test_time: 0.4390800469554961
Total test time: 0.4633741360157728 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.7981891334056854e-06, model_test_time: 0.4633673378266394
Total test time: 0.40781107312068343 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.851973012089729e-06, model_test_time: 0.40780422114767134
***1_th repeat
Total test time: 0.4682108268607408 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.296912372112274e-06, model_test_time: 0.46820352994836867
Total test time: 0.40925902407616377 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.20401294529438e-06, model_test_time: 0.4092518200632185
Total test time: 0.46887549688108265 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.8517401814460754e-06, model_test_time: 0.4688686451409012
Total test time: 0.43902225187048316 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.9998204708099365e-06, model_test_time: 0.43901525205001235
