Namespace(dataset='CTU1', feat='stats', gs='False', header='True', model='OCSVM(rbf)', time='2021-04-01 07:59:10')
***CTU1, OCSVM(rbf), stats, speedup/data/models/src_dst/stats-header_True/CTU1/before_proj_False-gs_False/OCSVM(rbf)-std_False_center_False-d_5-None
***0_th repeat
Total test time: 0.4169034562073648 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.851041689515114e-06, model_test_time: 0.4168966051656753
Total test time: 0.4201897180173546 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 9.702984243631363e-06, model_test_time: 0.420180015033111
Total test time: 0.43880616989918053 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.24010169506073e-06, model_test_time: 0.43879892979748547
Total test time: 0.4384940837044269 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.776768714189529e-06, model_test_time: 0.4384873069357127
Total test time: 0.4724983179476112 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.44406133890152e-06, model_test_time: 0.4724908738862723
Total test time: 0.46974539500661194 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.019145414233208e-06, model_test_time: 0.4697383758611977
Total test time: 0.4717809818685055 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.278751581907272e-06, model_test_time: 0.47177370311692357
Total test time: 0.4680969479959458 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.739989086985588e-06, model_test_time: 0.4680892080068588
Total test time: 0.4693586260545999 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 8.110888302326202e-06, model_test_time: 0.46935051516629755
Total test time: 0.46488862694241107 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.720889359712601e-06, model_test_time: 0.46488190605305135
Total test time: 0.43624076317064464 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.908325642347336e-06, model_test_time: 0.4362328548450023
Total test time: 0.48055590386502445 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.9818925112485886e-06, model_test_time: 0.4805489219725132
Total test time: 0.44386904407292604 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 9.555136784911156e-06, model_test_time: 0.44385948893614113
Total test time: 0.4708301699720323 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.018912583589554e-06, model_test_time: 0.4708231510594487
Total test time: 0.4801785775925964 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.164664566516876e-06, model_test_time: 0.4801714129280299
Total test time: 0.4479193268343806 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 9.758863598108292e-06, model_test_time: 0.4479095679707825
Total test time: 0.4418828999623656 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.239868864417076e-06, model_test_time: 0.4418756600935012
Total test time: 0.4353387081064284 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.461989298462868e-06, model_test_time: 0.4353312461171299
Total test time: 0.47128019598312676 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.647788152098656e-06, model_test_time: 0.47127254819497466
Total test time: 0.5168220333289355 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.963266059756279e-06, model_test_time: 0.5168150700628757
***1_th repeat
Total test time: 0.4931807080283761 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 9.519048035144806e-06, model_test_time: 0.49317118898034096
Total test time: 0.44566607964225113 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 9.29669477045536e-06, model_test_time: 0.4456567829474807
Total test time: 0.45872748526744545 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.44406133890152e-06, model_test_time: 0.45872004120610654
