Namespace(dataset='CTU1', feat='iat_size', gs='True', header='False', model='OCSVM(rbf)', time='2021-04-01 07:49:23')
***CTU1, OCSVM(rbf), iat_size, speedup/data/models/src_dst/iat_size-header_False/CTU1/before_proj_False-gs_True/OCSVM(rbf)-std_False_center_False-d_5-None
***0_th repeat
Total test time: 0.3959813641849905 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.575144991278648e-06, model_test_time: 0.39597378903999925
Total test time: 0.38426622888073325 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.20401294529438e-06, model_test_time: 0.38425902486778796
Total test time: 0.39736959314905107 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 9.462237358093262e-06, model_test_time: 0.397360130911693
Total test time: 0.4255477611441165 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.944872438907623e-06, model_test_time: 0.4255408162716776
Total test time: 0.4222763490397483 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.777009159326553e-06, model_test_time: 0.422268572030589
Total test time: 0.4271337811369449 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.9069210439920425e-06, model_test_time: 0.4271268742159009
Total test time: 0.4252216210588813 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.371185347437859e-06, model_test_time: 0.42521424987353384
Total test time: 0.42377553903497756 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.740221917629242e-06, model_test_time: 0.4237677988130599
Total test time: 0.42351878504268825 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.129041478037834e-06, model_test_time: 0.4235116560012102
Total test time: 0.42526391497813165 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.702969014644623e-06, model_test_time: 0.425256212009117
Total test time: 0.4245772429276258 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.109949365258217e-06, model_test_time: 0.4245701329782605
Total test time: 0.4558970860671252 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.444992661476135e-06, model_test_time: 0.4558896410744637
Total test time: 0.4436209623236209 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.277354598045349e-06, model_test_time: 0.44361368496902287
Total test time: 0.49294263520278037 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.00000761449337e-05, model_test_time: 0.49293263512663543
Total test time: 0.4546790928579867 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.074093446135521e-06, model_test_time: 0.45467201876454055
Total test time: 0.43171812780201435 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.110880687832832e-06, model_test_time: 0.4317110169213265
Total test time: 0.4668566449545324 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 9.40798781812191e-06, model_test_time: 0.46684723696671426
Total test time: 0.4279119505081326 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.851282134652138e-06, model_test_time: 0.4279040992259979
Total test time: 0.45467755594290793 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.074093446135521e-06, model_test_time: 0.4546704818494618
Total test time: 0.42349534411914647 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.352093234658241e-06, model_test_time: 0.4234879920259118
***1_th repeat
Total test time: 0.44046597508713603 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.333233952522278e-06, model_test_time: 0.4404586418531835
Total test time: 0.4732704320922494 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.888061761856079e-06, model_test_time: 0.47326354403048754
Total test time: 0.4388515097089112 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.609836757183075e-06, model_test_time: 0.438843899872154
Total test time: 0.4703077939338982 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.7050568759441376e-06, model_test_time: 0.47030108887702227
Total test time: 0.4705879520624876 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 8.109956979751587e-06, model_test_time: 0.47057984210550785
Total test time: 0.43624345608986914 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 9.684823453426361e-06, model_test_time: 0.4362337712664157
Total test time: 0.44192079920321703 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.520196959376335e-06, model_test_time: 0.44191327900625765
Total test time: 0.4409103370271623 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.611000910401344e-06, model_test_time: 0.4409027260262519
Total test time: 0.4712691227905452 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.072929292917252e-06, model_test_time: 0.4712620498612523
Total test time: 0.40860424214042723 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.649185135960579e-06, model_test_time: 0.40859659295529127
Total test time: 0.4691344671882689 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.203081622719765e-06, model_test_time: 0.4691272641066462
Total test time: 0.41131323808804154 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 8.277129381895065e-06, model_test_time: 0.41130496095865965
