Namespace(dataset='DWSHR_WSHR_2020', feat='iat_size', gs='False', header='False', model='KJL-GMM(diag)', time='2021-04-01 01:57:26')
***DWSHR_WSHR_2020, KJL-GMM(diag), iat_size, speedup/data/models/src_dst/iat_size-header_False/DWSHR_WSHR_2020/before_proj_False-gs_False/KJL-GMM(diag)-std_False_center_False-d_5-diag
***0_th repeat
Total test time: 0.006131655070930719 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0029882830567657948, model_test_time: 0.0031433720141649246
Total test time: 0.020254396833479404 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.019170341780409217, model_test_time: 0.0010840550530701876
Total test time: 0.0022562090307474136 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0017564080189913511, model_test_time: 0.0004998010117560625
Total test time: 0.002584042027592659 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0016522579826414585, model_test_time: 0.0009317840449512005
Total test time: 0.00209291884675622 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0015809368342161179, model_test_time: 0.000511982012540102
Total test time: 0.002215809654444456 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0013245698064565659, model_test_time: 0.0008912398479878902
Total test time: 0.007737883133813739 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.007166680181398988, model_test_time: 0.000571202952414751
Total test time: 0.0025101618375629187 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.001957175089046359, model_test_time: 0.0005529867485165596
Total test time: 0.0018783537670969963 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0013669149484485388, model_test_time: 0.0005114388186484575
Total test time: 0.002284141955897212 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0019330608192831278, model_test_time: 0.00035108113661408424
Total test time: 0.0014158396515995264 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.001099220709875226, model_test_time: 0.0003166189417243004
Total test time: 0.001117384061217308 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0008229499217122793, model_test_time: 0.0002944341395050287
Total test time: 0.002031973097473383 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.001678236061707139, model_test_time: 0.00035373703576624393
Total test time: 0.0013888238463550806 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.001023653894662857, model_test_time: 0.00036516995169222355
Total test time: 0.0026584689039736986 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.002116092015057802, model_test_time: 0.0005423768889158964
Total test time: 0.0019930261187255383 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0014312081038951874, model_test_time: 0.0005618180148303509
Total test time: 0.0014836899936199188 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0011689080856740475, model_test_time: 0.00031478190794587135
Total test time: 0.005569073837250471 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0047545358538627625, model_test_time: 0.0008145379833877087
Total test time: 0.002810441190376878 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.002352232113480568, model_test_time: 0.00045820907689630985
Total test time: 0.00873241270892322 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.008061690954491496, model_test_time: 0.0006707217544317245
