Namespace(dataset='DWSHR_WSHR_2020', feat='iat_size', gs='False', header='False', model='KJL-GMM(full)', time='2021-04-01 09:04:16')
***DWSHR_WSHR_2020, KJL-GMM(full), iat_size, speedup/data/models/src_dst/iat_size-header_False/DWSHR_WSHR_2020/before_proj_False-gs_False/KJL-GMM(full)-std_False_center_False-d_5-full
***0_th repeat
Total test time: 0.015565537149086595 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013922188198193908, model_test_time: 0.0016433489508926868
Total test time: 0.013452681712806225 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011934161884710193, model_test_time: 0.0015185198280960321
Total test time: 0.01335457293316722 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011835331097245216, model_test_time: 0.0015192418359220028
Total test time: 0.013387609040364623 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011866478016600013, model_test_time: 0.0015211310237646103
Total test time: 0.013510197633877397 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01199017884209752, model_test_time: 0.0015200187917798758
Total test time: 0.013548661256209016 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012034826911985874, model_test_time: 0.0015138343442231417
Total test time: 0.013483661925420165 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01196803105995059, model_test_time: 0.001515630865469575
Total test time: 0.013461163965985179 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011917571071535349, model_test_time: 0.00154359289444983
Total test time: 0.013515014201402664 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011958699207752943, model_test_time: 0.0015563149936497211
Total test time: 0.0172364073805511 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015101050259545445, model_test_time: 0.0021353571210056543
Total test time: 0.018798537086695433 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016585126984864473, model_test_time: 0.0022134101018309593
Total test time: 0.018935495987534523 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0167959900572896, model_test_time: 0.0021395059302449226
Total test time: 0.018703262321650982 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016563905403017998, model_test_time: 0.002139356918632984
Total test time: 0.013761434005573392 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012248339829966426, model_test_time: 0.001513094175606966
Total test time: 0.013493050588294864 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011969994753599167, model_test_time: 0.0015230558346956968
Total test time: 0.01347560714930296 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011967494152486324, model_test_time: 0.0015081129968166351
Total test time: 0.01354821678251028 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012037382693961263, model_test_time: 0.001510834088549018
Total test time: 0.013604399748146534 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012022993061691523, model_test_time: 0.0015814066864550114
Total test time: 0.016215022886171937 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01405583368614316, model_test_time: 0.002159189200028777
Total test time: 0.01883205329068005 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01668130815960467, model_test_time: 0.0021507451310753822
***1_th repeat
Total test time: 0.01917150989174843 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017007116926833987, model_test_time: 0.002164392964914441
Total test time: 0.018787575885653496 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01661625597625971, model_test_time: 0.0021713199093937874
