Namespace(dataset='DWSHR_WSHR_2020', feat='stats', gs='False', header='True', model='KJL-GMM(full)', time='2021-04-01 09:10:49')
***DWSHR_WSHR_2020, KJL-GMM(full), stats, speedup/data/models/src_dst/stats-header_True/DWSHR_WSHR_2020/before_proj_False-gs_False/KJL-GMM(full)-std_False_center_False-d_5-full
***0_th repeat
Total test time: 0.015789833152666688 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014167205197736621, model_test_time: 0.001622627954930067
Total test time: 0.013510776916518807 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012001348892226815, model_test_time: 0.0015094280242919922
Total test time: 0.013549607014283538 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012043050955981016, model_test_time: 0.0015065560583025217
Total test time: 0.013553793309256434 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012045866111293435, model_test_time: 0.0015079271979629993
Total test time: 0.014127909671515226 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01199795980937779, model_test_time: 0.002129949862137437
Total test time: 0.018821188248693943 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016645794035866857, model_test_time: 0.0021753942128270864
Total test time: 0.01878120726905763 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01666107214987278, model_test_time: 0.0021201351191848516
Total test time: 0.018700745655223727 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016595887718722224, model_test_time: 0.002104857936501503
Total test time: 0.017201244831085205 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015697223832830787, model_test_time: 0.0015040209982544184
Total test time: 0.013513572048395872 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012012978084385395, model_test_time: 0.001500593964010477
Total test time: 0.01352429180406034 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012013087747618556, model_test_time: 0.001511204056441784
Total test time: 0.013552831020206213 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01204725494608283, model_test_time: 0.0015055760741233826
Total test time: 0.013579847058281302 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012071863980963826, model_test_time: 0.0015079830773174763
Total test time: 0.013550072209909558 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012050587916746736, model_test_time: 0.0014994842931628227
Total test time: 0.01880611409433186 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01667649718001485, model_test_time: 0.002129616914317012
Total test time: 0.018839519703760743 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016701106680557132, model_test_time: 0.0021384130232036114
Total test time: 0.018811447778716683 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01668620086275041, model_test_time: 0.0021252469159662724
Total test time: 0.018829909851774573 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016688367817550898, model_test_time: 0.0021415420342236757
Total test time: 0.01888537243939936 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0167511822655797, model_test_time: 0.002134190173819661
Total test time: 0.018784540006890893 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016644404968246818, model_test_time: 0.0021401350386440754
***1_th repeat
Total test time: 0.019267437979578972 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017141079995781183, model_test_time: 0.0021263579837977886
Total test time: 0.01888337079435587 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01673956890590489, model_test_time: 0.00214380188845098
Total test time: 0.018887481885030866 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016737273894250393, model_test_time: 0.0021502079907804728
Total test time: 0.018898223992437124 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016757587902247906, model_test_time: 0.0021406360901892185
Total test time: 0.018876610789448023 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016708384035155177, model_test_time: 0.0021682267542928457
