Namespace(dataset='DWSHR_WSHR_2020', feat='iat_size', gs='False', header='False', model='KJL-QS-init_GMM(diag)', time='2021-04-01 09:05:56')
***DWSHR_WSHR_2020, KJL-QS-init_GMM(diag), iat_size, speedup/data/models/src_dst/iat_size-header_False/DWSHR_WSHR_2020/before_proj_False-gs_False/KJL-QS-init_GMM(diag)-std_False_center_False-d_5-diag
***0_th repeat
Total test time: 0.0173118868842721 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014208904933184385, model_test_time: 0.0031029819510877132
Total test time: 0.014520898927003145 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011592339025810361, model_test_time: 0.0029285599011927843
Total test time: 0.01453669392503798 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011580727063119411, model_test_time: 0.0029559668619185686
Total test time: 0.014488435816019773 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011583745013922453, model_test_time: 0.0029046908020973206
Total test time: 0.014438696904107928 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011528505943715572, model_test_time: 0.002910190960392356
Total test time: 0.014421512139961123 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011509729083627462, model_test_time: 0.002911783056333661
Total test time: 0.01450526830740273 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011593763250857592, model_test_time: 0.0029115050565451384
Total test time: 0.018506488762795925 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014349678996950388, model_test_time: 0.004156809765845537
Total test time: 0.02020702278241515 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01606376888230443, model_test_time: 0.004143253900110722
Total test time: 0.020256208023056388 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01603697403334081, model_test_time: 0.004219233989715576
Total test time: 0.02037477889098227 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016110175056383014, model_test_time: 0.0042646038345992565
Total test time: 0.020345130935311317 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01610845304094255, model_test_time: 0.004236677894368768
Total test time: 0.020266059087589383 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01610162016004324, model_test_time: 0.0041644389275461435
Total test time: 0.0203081127256155 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016148229828104377, model_test_time: 0.004159882897511125
Total test time: 0.02022443013265729 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016044992255046964, model_test_time: 0.004179437877610326
Total test time: 0.020260651130229235 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01605956512503326, model_test_time: 0.004201086005195975
Total test time: 0.020430942764505744 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016110859811306, model_test_time: 0.004320082953199744
Total test time: 0.02033163048326969 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016087712720036507, model_test_time: 0.004243917763233185
Total test time: 0.02034435304813087 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016160600120201707, model_test_time: 0.004183752927929163
Total test time: 0.020223263883963227 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01602654787711799, model_test_time: 0.004196716006845236
***1_th repeat
Total test time: 0.020134710939601064 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016394631937146187, model_test_time: 0.003740079002454877
Total test time: 0.020005361875519156 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016283394070342183, model_test_time: 0.0037219678051769733
Total test time: 0.020109728444367647 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01631546556018293, model_test_time: 0.003794262884184718
Total test time: 0.020130414282903075 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016327023040503263, model_test_time: 0.0038033912423998117
Total test time: 0.02012233971618116 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016392890829592943, model_test_time: 0.003729448886588216
Total test time: 0.01634987466968596 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01375189796090126, model_test_time: 0.0025979767087846994
