Namespace(dataset='DWSHR_WSHR_2020', feat='stats', gs='True', header='True', model='KJL-QS-init_GMM(diag)', time='2021-04-01 09:08:56')
***DWSHR_WSHR_2020, KJL-QS-init_GMM(diag), stats, speedup/data/models/src_dst/stats-header_True/DWSHR_WSHR_2020/before_proj_False-gs_True/KJL-QS-init_GMM(diag)-std_False_center_False-d_5-diag
***0_th repeat
Total test time: 0.015475025167688727 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013364427024498582, model_test_time: 0.0021105981431901455
Total test time: 0.013063471065834165 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011086129117757082, model_test_time: 0.0019773419480770826
Total test time: 0.01310624717734754 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01113153388723731, model_test_time: 0.0019747132901102304
Total test time: 0.013131987070664763 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011132478946819901, model_test_time: 0.001999508123844862
Total test time: 0.013153988169506192 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011119887232780457, model_test_time: 0.0020341009367257357
Total test time: 0.013148413505405188 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011105535319074988, model_test_time: 0.0020428781863301992
Total test time: 0.013121208641678095 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011129330610856414, model_test_time: 0.001991878030821681
Total test time: 0.013122357660904527 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011124904733151197, model_test_time: 0.0019974529277533293
Total test time: 0.013893580995500088 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01105594402179122, model_test_time: 0.002837636973708868
Total test time: 0.018173314863815904 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015355195850133896, model_test_time: 0.002818119013682008
Total test time: 0.01821521995589137 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015381490113213658, model_test_time: 0.0028337298426777124
Total test time: 0.01819242420606315 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015367972198873758, model_test_time: 0.002824452007189393
Total test time: 0.018306941026821733 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01536976802162826, model_test_time: 0.002937173005193472
Total test time: 0.018115500221028924 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015294251265004277, model_test_time: 0.0028212489560246468
Total test time: 0.018200498772785068 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015362862031906843, model_test_time: 0.0028376367408782244
Total test time: 0.018272942397743464 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015295549063012004, model_test_time: 0.0029773933347314596
Total test time: 0.018178665079176426 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01534793502651155, model_test_time: 0.002830730052664876
Total test time: 0.018220052123069763 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015368342166766524, model_test_time: 0.002851709956303239
Total test time: 0.018117998959496617 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01526262192055583, model_test_time: 0.0028553770389407873
Total test time: 0.018279015086591244 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015421026153489947, model_test_time: 0.0028579889331012964
***1_th repeat
Total test time: 0.01935499021783471 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016444612992927432, model_test_time: 0.002910377224907279
Total test time: 0.018885703990235925 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015922699123620987, model_test_time: 0.0029630048666149378
Total test time: 0.018898111302405596 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015993716195225716, model_test_time: 0.00290439510717988
Total test time: 0.018880298361182213 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015989088220521808, model_test_time: 0.002891210140660405
Total test time: 0.013615051051601768 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011585190892219543, model_test_time: 0.002029860159382224
Total test time: 0.013543107081204653 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011514100013300776, model_test_time: 0.0020290070679038763
Total test time: 0.013569996925070882 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011547858826816082, model_test_time: 0.0020221380982548
Total test time: 0.01360701210796833 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011584966909140348, model_test_time: 0.002022045198827982
Total test time: 0.01362788351252675 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011598875280469656, model_test_time: 0.0020290082320570946
Total test time: 0.013582014944404364 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011562692001461983, model_test_time: 0.002019322942942381
Total test time: 0.013678974006325006 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01160189276561141, model_test_time: 0.0020770812407135963
Total test time: 0.013660234399139881 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011581838829442859, model_test_time: 0.0020783955696970224
Total test time: 0.013734954874962568 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011632318841293454, model_test_time: 0.002102636033669114
Total test time: 0.013563921675086021 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011543339816853404, model_test_time: 0.0020205818582326174
Total test time: 0.01461465610191226 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011640930082648993, model_test_time: 0.0029737260192632675
Total test time: 0.01892620394937694 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01602934580296278, model_test_time: 0.0028968581464141607
Total test time: 0.01883444795385003 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015942645026370883, model_test_time: 0.002891802927479148
Total test time: 0.018916610162705183 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015937310177832842, model_test_time: 0.002979299984872341
