Namespace(dataset='DWSHR_WSHR_2020', feat='stats', gs='False', header='True', model='KJL-QS-init_GMM(full)', time='2021-04-01 09:10:59')
***DWSHR_WSHR_2020, KJL-QS-init_GMM(full), stats, speedup/data/models/src_dst/stats-header_True/DWSHR_WSHR_2020/before_proj_False-gs_False/KJL-QS-init_GMM(full)-std_False_center_False-d_5-full
***0_th repeat
Total test time: 0.01731555792503059 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01411716896109283, model_test_time: 0.0031983889639377594
Total test time: 0.014909074641764164 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011844220804050565, model_test_time: 0.003064853837713599
Total test time: 0.014940334251150489 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011881998041644692, model_test_time: 0.0030583362095057964
Total test time: 0.016471150796860456 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011998217785730958, model_test_time: 0.0044729330111294985
Total test time: 0.020997432991862297 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01649992703460157, model_test_time: 0.004497505957260728
Total test time: 0.02091000904329121 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016495316056534648, model_test_time: 0.004414692986756563
Total test time: 0.020904621109366417 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016496743075549603, model_test_time: 0.004407878033816814
Total test time: 0.020956767257303 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01655176025815308, model_test_time: 0.0044050069991499186
Total test time: 0.02094463794492185 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0165592220146209, model_test_time: 0.004385415930300951
Total test time: 0.020854492904618382 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016474336851388216, model_test_time: 0.0043801560532301664
Total test time: 0.020887104095891118 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0164966881275177, model_test_time: 0.004390415968373418
Total test time: 0.02096900576725602 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016504222992807627, model_test_time: 0.004464782774448395
Total test time: 0.020979359978809953 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01650079805403948, model_test_time: 0.0044785619247704744
Total test time: 0.021018505794927478 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016534370835870504, model_test_time: 0.0044841349590569735
Total test time: 0.016117476858198643 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01306102890521288, model_test_time: 0.0030564479529857635
Total test time: 0.015040647005662322 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01199531089514494, model_test_time: 0.0030453361105173826
Total test time: 0.014988352078944445 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01193768298253417, model_test_time: 0.0030506690964102745
Total test time: 0.015023018000647426 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011955478927120566, model_test_time: 0.0030675390735268593
Total test time: 0.014937667641788721 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011879369616508484, model_test_time: 0.003058298025280237
Total test time: 0.020526741165667772 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016128584975376725, model_test_time: 0.004398156190291047
***1_th repeat
Total test time: 0.021599826868623495 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01727946475148201, model_test_time: 0.004320362117141485
Total test time: 0.02099487720988691 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01670908904634416, model_test_time: 0.0042857881635427475
Total test time: 0.020981433102861047 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016660053050145507, model_test_time: 0.00432138005271554
Total test time: 0.021081913262605667 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016712534008547664, model_test_time: 0.004369379254058003
Total test time: 0.021073414012789726 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016677757957950234, model_test_time: 0.004395656054839492
Total test time: 0.021115448093041778 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016755921067669988, model_test_time: 0.00435952702537179
Total test time: 0.021060951054096222 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016689387150108814, model_test_time: 0.004371563903987408
Total test time: 0.02112703979946673 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01674010488204658, model_test_time: 0.004386934917420149
Total test time: 0.02103126491419971 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01672999607399106, model_test_time: 0.00430126884020865
