Namespace(dataset='DWSHR_WSHR_2020', feat='iat_size', gs='True', header='False', model='KJL-QS-init_GMM(full)', time='2021-04-01 09:00:53')
***DWSHR_WSHR_2020, KJL-QS-init_GMM(full), iat_size, speedup/data/models/src_dst/iat_size-header_False/DWSHR_WSHR_2020/before_proj_False-gs_True/KJL-QS-init_GMM(full)-std_False_center_False-d_5-full
***0_th repeat
Total test time: 0.02094866894185543 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015118418028578162, model_test_time: 0.005830250913277268
Total test time: 0.017049740767106414 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011419670889154077, model_test_time: 0.005630069877952337
Total test time: 0.017071631038561463 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011348156025633216, model_test_time: 0.0057234750129282475
Total test time: 0.017045649932697415 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011360117932781577, model_test_time: 0.005685531999915838
Total test time: 0.01705451891757548 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011440300848335028, model_test_time: 0.005614218069240451
Total test time: 0.01697541121393442 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01133182318881154, model_test_time: 0.005643588025122881
Total test time: 0.01706209289841354 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011347228894010186, model_test_time: 0.005714864004403353
Total test time: 0.017137682996690273 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011471373960375786, model_test_time: 0.0056663090363144875
Total test time: 0.017150831874459982 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011519576888531446, model_test_time: 0.0056312549859285355
Total test time: 0.024028297048062086 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015782660106197, model_test_time: 0.008245636941865087
Total test time: 0.02410990698263049 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015822863904759288, model_test_time: 0.008287043077871203
Total test time: 0.02406672155484557 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015777547610923648, model_test_time: 0.008289173943921924
Total test time: 0.024090016959235072 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01580314082093537, model_test_time: 0.008286876138299704
Total test time: 0.023936076322570443 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01569586619734764, model_test_time: 0.008240210125222802
Total test time: 0.023926743073388934 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01574836391955614, model_test_time: 0.008178379153832793
Total test time: 0.02408877806738019 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01580884587019682, model_test_time: 0.00827993219718337
Total test time: 0.024070574203506112 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01578443800099194, model_test_time: 0.008286136202514172
Total test time: 0.024135552113875747 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01581408502534032, model_test_time: 0.008321467088535428
Total test time: 0.02103596110828221 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015328485984355211, model_test_time: 0.005707475123926997
Total test time: 0.01715310919098556 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011512466240674257, model_test_time: 0.005640642950311303
***1_th repeat
Total test time: 0.016700953245162964 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011117087211459875, model_test_time: 0.005583866033703089
Total test time: 0.016653046011924744 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011087012942880392, model_test_time: 0.005566033069044352
Total test time: 0.016586251789703965 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011024347972124815, model_test_time: 0.00556190381757915
Total test time: 0.023337220074608922 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015236766077578068, model_test_time: 0.008100453997030854
