Namespace(dataset='DWSHR_WSHR_2020', feat='stats', gs='False', header='True', model='Nystrom-GMM(full)', time='2021-04-01 09:10:54')
***DWSHR_WSHR_2020, Nystrom-GMM(full), stats, speedup/data/models/src_dst/stats-header_True/DWSHR_WSHR_2020/before_proj_False-gs_False/Nystrom-GMM(full)-std_False_center_False-d_5-full
***0_th repeat
Total test time: 0.015944642713293433 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014314384665340185, model_test_time: 0.001630258047953248
Total test time: 0.018662468064576387 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016535463044419885, model_test_time: 0.0021270050201565027
Total test time: 0.01879293075762689 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016673498786985874, model_test_time: 0.002119431970641017
Total test time: 0.0187885956838727 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01654881495051086, model_test_time: 0.0022397807333618402
Total test time: 0.018745189998298883 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016620018053799868, model_test_time: 0.002125171944499016
Total test time: 0.018822319339960814 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01670042402110994, model_test_time: 0.002121895318850875
Total test time: 0.018740763887763023 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01660433318465948, model_test_time: 0.0021364307031035423
Total test time: 0.018828594824299216 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016705552116036415, model_test_time: 0.002123042708262801
Total test time: 0.01818203483708203 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016675144899636507, model_test_time: 0.0015068899374455214
Total test time: 0.013594641815871 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012096937047317624, model_test_time: 0.0014977047685533762
Total test time: 0.013529906049370766 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012031032936647534, model_test_time: 0.0014988731127232313
Total test time: 0.013496516272425652 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011989940190687776, model_test_time: 0.001506576081737876
Total test time: 0.013530996162444353 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011974922148510814, model_test_time: 0.0015560740139335394
Total test time: 0.01361781102605164 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012058551190420985, model_test_time: 0.0015592598356306553
Total test time: 0.018845483660697937 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01672412594780326, model_test_time: 0.002121357712894678
Total test time: 0.018744672182947397 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016611630097031593, model_test_time: 0.002133042085915804
Total test time: 0.018790021305903792 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016665460309013724, model_test_time: 0.002124560996890068
Total test time: 0.018737117759883404 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01661862968467176, model_test_time: 0.002118488075211644
Total test time: 0.013482221169397235 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011977404123172164, model_test_time: 0.001504817046225071
Total test time: 0.01350779365748167 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012000439455732703, model_test_time: 0.0015073542017489672
***1_th repeat
Total test time: 0.013852342264726758 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012331359088420868, model_test_time: 0.00152098317630589
Total test time: 0.013606939930468798 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012082419823855162, model_test_time: 0.001524520106613636
Total test time: 0.013628663960844278 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012123347027227283, model_test_time: 0.0015053169336169958
Total test time: 0.018850262043997645 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016705905087292194, model_test_time: 0.002144356956705451
Total test time: 0.018936279695481062 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016781940823420882, model_test_time: 0.0021543388720601797
Total test time: 0.018892870750278234 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016733662923797965, model_test_time: 0.0021592078264802694
Total test time: 0.01890576002188027 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01675434783101082, model_test_time: 0.0021514121908694506
Total test time: 0.01889761071652174 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01678729080595076, model_test_time: 0.002110319910570979
Total test time: 0.018970370292663574 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016819569282233715, model_test_time: 0.002150801010429859
Total test time: 0.018865278689190745 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01672149682417512, model_test_time: 0.002143781865015626
Total test time: 0.018907724181190133 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016766515327617526, model_test_time: 0.002141208853572607
