Namespace(dataset='DWSHR_WSHR_2020', feat='iat_size', gs='True', header='False', model='Nystrom-GMM(full)', time='2021-04-01 09:00:47')
***DWSHR_WSHR_2020, Nystrom-GMM(full), iat_size, speedup/data/models/src_dst/iat_size-header_False/DWSHR_WSHR_2020/before_proj_False-gs_True/Nystrom-GMM(full)-std_False_center_False-d_5-full
***0_th repeat
Total test time: 0.02140945172868669 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013715469045564532, model_test_time: 0.007693982683122158
Total test time: 0.01846296899020672 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011118661845102906, model_test_time: 0.007344307145103812
Total test time: 0.018476282013580203 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011048662941902876, model_test_time: 0.007427619071677327
Total test time: 0.018501186976209283 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011067511979490519, model_test_time: 0.007433674996718764
Total test time: 0.018487207125872374 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011082791024819016, model_test_time: 0.007404416101053357
Total test time: 0.018530115019530058 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011096533155068755, model_test_time: 0.007433581864461303
Total test time: 0.018469430040568113 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011124604847282171, model_test_time: 0.007344825193285942
Total test time: 0.018448116956278682 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011049884837120771, model_test_time: 0.00739823211915791
Total test time: 0.018500225385650992 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011101550189778209, model_test_time: 0.007398675195872784
Total test time: 0.025448689004406333 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014648650074377656, model_test_time: 0.010800038930028677
Total test time: 0.026139266090467572 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015331376111134887, model_test_time: 0.010807889979332685
Total test time: 0.026199783431366086 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015376374358311296, model_test_time: 0.01082340907305479
Total test time: 0.018978805979713798 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011553650023415685, model_test_time: 0.007425155956298113
Total test time: 0.01840448589064181 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011072142980992794, model_test_time: 0.0073323429096490145
Total test time: 0.018537280848249793 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011096197878941894, model_test_time: 0.0074410829693078995
Total test time: 0.018538002157583833 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011118346126750112, model_test_time: 0.007419656030833721
Total test time: 0.024003075435757637 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013172038365155458, model_test_time: 0.010831037070602179
Total test time: 0.026077969698235393 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015290023759007454, model_test_time: 0.010787945939227939
