Namespace(dataset='DWSHR_WSHR_2020', feat='iat_size', gs='True', header='False', model='Nystrom-OCSVM(linear)', time='2021-04-01 09:02:04')
***DWSHR_WSHR_2020, Nystrom-OCSVM(linear), iat_size, speedup/data/models/src_dst/iat_size-header_False/DWSHR_WSHR_2020/before_proj_False-gs_True/Nystrom-OCSVM(linear)-std_False_center_False-d_5-None
***0_th repeat
Total test time: 0.045622174395248294 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014145663240924478, model_test_time: 0.031476511154323816
Total test time: 0.053158569848164916 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01651449711062014, model_test_time: 0.036644072737544775
Total test time: 0.05006908695213497 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016383351059630513, model_test_time: 0.033685735892504454
Total test time: 0.04274339089170098 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011817625723779202, model_test_time: 0.03092576516792178
Total test time: 0.04258244950324297 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0117504617664963, model_test_time: 0.03083198773674667
Total test time: 0.043178307358175516 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011845163302496076, model_test_time: 0.03133314405567944
Total test time: 0.04415817162953317 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011767719872295856, model_test_time: 0.032390451757237315
Total test time: 0.05303871911019087 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016558161238208413, model_test_time: 0.036480557871982455
Total test time: 0.05318930954672396 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0165139592718333, model_test_time: 0.03667535027489066
Total test time: 0.053175644017755985 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016436461126431823, model_test_time: 0.03673918289132416
Total test time: 0.04269728111103177 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011822201078757644, model_test_time: 0.030875080032274127
Total test time: 0.04313556803390384 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011818831088021398, model_test_time: 0.03131673694588244
Total test time: 0.04313414008356631 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011909605003893375, model_test_time: 0.031224535079672933
Total test time: 0.04284005705267191 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011838294100016356, model_test_time: 0.031001762952655554
Total test time: 0.04298986471258104 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011887974804267287, model_test_time: 0.03110188990831375
Total test time: 0.04280100227333605 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011769647244364023, model_test_time: 0.03103135502897203
Total test time: 0.048725267173722386 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011872791219502687, model_test_time: 0.0368524759542197
Total test time: 0.052754929987713695 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0164573120418936, model_test_time: 0.03629761794582009
Total test time: 0.04300290415994823 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011850959155708551, model_test_time: 0.03115194500423968
Total test time: 0.04293736768886447 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011809552786871791, model_test_time: 0.03112781490199268
***1_th repeat
Total test time: 0.051870173308998346 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015209508361294866, model_test_time: 0.03666066494770348
Total test time: 0.050973954843357205 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01495321886613965, model_test_time: 0.036020735977217555
Total test time: 0.042098072823137045 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.010721708880737424, model_test_time: 0.03137636394239962
Total test time: 0.04253191570751369 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.010754985734820366, model_test_time: 0.031776929972693324
Total test time: 0.05188806192018092 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014805498998612165, model_test_time: 0.03708256292156875
Total test time: 0.0517179190646857 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014864721102640033, model_test_time: 0.03685319796204567
Total test time: 0.051587328081950545 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01476601930335164, model_test_time: 0.036821308778598905
Total test time: 0.051723622949793935 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014848110964521766, model_test_time: 0.03687551198527217
Total test time: 0.05168901081196964 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014903682051226497, model_test_time: 0.03678532876074314
Total test time: 0.05183897167444229 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014804943697527051, model_test_time: 0.03703402797691524
