Namespace(dataset='DWSHR_WSHR_2020', feat='iat_size', gs='False', header='False', model='Nystrom-QS-init_GMM(full)', time='2021-04-01 09:04:32')
***DWSHR_WSHR_2020, Nystrom-QS-init_GMM(full), iat_size, speedup/data/models/src_dst/iat_size-header_False/DWSHR_WSHR_2020/before_proj_False-gs_False/Nystrom-QS-init_GMM(full)-std_False_center_False-d_5-full
***0_th repeat
Total test time: 0.029806758044287562 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.019661091035231948, model_test_time: 0.010145667009055614
Total test time: 0.020013157045468688 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013388795079663396, model_test_time: 0.006624361965805292
Total test time: 0.018168086418882012 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011457208776846528, model_test_time: 0.006710877642035484
Total test time: 0.01807803614065051 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01146937720477581, model_test_time: 0.0066086589358747005
Total test time: 0.018299437826499343 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011444043833762407, model_test_time: 0.006855393992736936
Total test time: 0.018191294046118855 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011491450946778059, model_test_time: 0.0066998430993407965
Total test time: 0.018232772825285792 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011593503877520561, model_test_time: 0.006639268947765231
Total test time: 0.018172274343669415 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011489655124023557, model_test_time: 0.006682619219645858
Total test time: 0.018215570133179426 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011547839036211371, model_test_time: 0.006667731096968055
Total test time: 0.018162718741223216 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011464988812804222, model_test_time: 0.006697729928418994
Total test time: 0.018230736954137683 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011547708883881569, model_test_time: 0.006683028070256114
Total test time: 0.018224679864943027 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011616187868639827, model_test_time: 0.006608491996303201
Total test time: 0.018154847901314497 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011445563053712249, model_test_time: 0.006709284847602248
Total test time: 0.018177217105403543 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011489783180877566, model_test_time: 0.006687433924525976
Total test time: 0.02568946615792811 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01593051222153008, model_test_time: 0.00975895393639803
Total test time: 0.025755833368748426 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016001009615138173, model_test_time: 0.009754823753610253
Total test time: 0.025846092263236642 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016069249249994755, model_test_time: 0.009776843013241887
Total test time: 0.018233716255053878 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011507247341796756, model_test_time: 0.006726468913257122
Total test time: 0.018275716109201312 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011570855975151062, model_test_time: 0.00670486013405025
Total test time: 0.018157645128667355 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011515487218275666, model_test_time: 0.006642157910391688
***1_th repeat
Total test time: 0.018565654987469316 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011693964945152402, model_test_time: 0.006871690042316914
Total test time: 0.024621677119284868 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014745411230251193, model_test_time: 0.009876265889033675
Total test time: 0.025896591134369373 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016098749125376344, model_test_time: 0.00979784200899303
Total test time: 0.026055012829601765 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01612796983681619, model_test_time: 0.009927042992785573
Total test time: 0.01971607096493244 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01288369600661099, model_test_time: 0.006832374958321452
Total test time: 0.018528191838413477 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011621576733887196, model_test_time: 0.006906615104526281
Total test time: 0.018376102903857827 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011632799869403243, model_test_time: 0.006743303034454584
Total test time: 0.018444786313921213 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011619781143963337, model_test_time: 0.006825005169957876
Total test time: 0.022875088267028332 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012991970404982567, model_test_time: 0.009883117862045765
Total test time: 0.025968851055949926 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016088879900053144, model_test_time: 0.009879971155896783
Total test time: 0.02598747913725674 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016047436045482755, model_test_time: 0.009940043091773987
Total test time: 0.021553601836785674 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014757114695385098, model_test_time: 0.006796487141400576
Total test time: 0.01847963803447783 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011682613985612988, model_test_time: 0.0067970240488648415
Total test time: 0.018437655409798026 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011669704224914312, model_test_time: 0.006767951184883714
Total test time: 0.018393195467069745 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011574505362659693, model_test_time: 0.006818690104410052
Total test time: 0.021418622927740216 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011674907756969333, model_test_time: 0.009743715170770884
Total test time: 0.02603710489347577 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016096339793875813, model_test_time: 0.009940765099599957
Total test time: 0.02585118403658271 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01598669495433569, model_test_time: 0.009864489082247019
Total test time: 0.0230124369263649 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016139580868184566, model_test_time: 0.006872856058180332
Total test time: 0.018443139269948006 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011640540091320872, model_test_time: 0.006802599178627133
***2_th repeat
Total test time: 0.01881790696643293 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011493412777781487, model_test_time: 0.0073244941886514425
Total test time: 0.01866715168580413 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01133969472721219, model_test_time: 0.007327456958591938
Total test time: 0.020273963222280145 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011351082008332014, model_test_time: 0.00892288121394813
Total test time: 0.026430652011185884 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015731015941128135, model_test_time: 0.01069963607005775
Total test time: 0.026257137767970562 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015627907821908593, model_test_time: 0.010629229946061969
Total test time: 0.02633735816925764 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015679295174777508, model_test_time: 0.010658062994480133
Total test time: 0.026277248980477452 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01565138902515173, model_test_time: 0.010625859955325723
Total test time: 0.026370949810370803 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015705073019489646, model_test_time: 0.010665876790881157
Total test time: 0.026297712000086904 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015613575000315905, model_test_time: 0.010684136999770999
Total test time: 0.026330916211009026 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015683259116485715, model_test_time: 0.01064765709452331
Total test time: 0.02635344979353249 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015692034969106317, model_test_time: 0.010661414824426174
Total test time: 0.023208412807434797 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015580242034047842, model_test_time: 0.007628170773386955
Total test time: 0.018582376884296536 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011260178638622165, model_test_time: 0.007322198245674372
Total test time: 0.018670818069949746 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011359731899574399, model_test_time: 0.007311086170375347
Total test time: 0.018641058122739196 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011305694933980703, model_test_time: 0.0073353631887584925
Total test time: 0.019694979302585125 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01130967726930976, model_test_time: 0.008385302033275366
Total test time: 0.026252156123518944 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015578668098896742, model_test_time: 0.010673488024622202
Total test time: 0.026441930327564478 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015752165345475078, model_test_time: 0.0106897649820894
Total test time: 0.026254564756527543 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015577558893710375, model_test_time: 0.010677005862817168
Total test time: 0.026349025079980493 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01570703601464629, model_test_time: 0.0106419890653342
***3_th repeat
Total test time: 0.02641928242519498 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015999381197616458, model_test_time: 0.01041990122757852
Total test time: 0.026423115516081452 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01598917623050511, model_test_time: 0.010433939285576344
Total test time: 0.026343839010223746 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015874215867370367, model_test_time: 0.01046962314285338
Total test time: 0.0263583199121058 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01591951190494001, model_test_time: 0.01043880800716579
Total test time: 0.02631732285954058 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015886457869783044, model_test_time: 0.010430864989757538
Total test time: 0.026470114942640066 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01597447390668094, model_test_time: 0.010495641035959125
Total test time: 0.026356284972280264 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01593030896037817, model_test_time: 0.010425976011902094
Total test time: 0.026294674957171082 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015849885065108538, model_test_time: 0.010444789892062545
Total test time: 0.02639748784713447 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015947290929034352, model_test_time: 0.010450196918100119
Total test time: 0.026371209882199764 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01592736504971981, model_test_time: 0.010443844832479954
Total test time: 0.026354784844443202 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015967214945703745, model_test_time: 0.010387569898739457
Total test time: 0.026275821262970567 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01586575317196548, model_test_time: 0.010410068091005087
Total test time: 0.026551760965958238 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015998492017388344, model_test_time: 0.010553268948569894
Total test time: 0.02642915304750204 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015907569089904428, model_test_time: 0.010521583957597613
Total test time: 0.026538335252553225 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01608406426385045, model_test_time: 0.010454270988702774
Total test time: 0.026386431185528636 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015892087016254663, model_test_time: 0.010494344169273973
Total test time: 0.02636906271800399 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01593147567473352, model_test_time: 0.010437587043270469
Total test time: 0.026455541141331196 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01597477006725967, model_test_time: 0.010480771074071527
Total test time: 0.026325915940105915 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015909976791590452, model_test_time: 0.010415939148515463
Total test time: 0.026510410010814667 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01599278813228011, model_test_time: 0.010517621878534555
***4_th repeat
Total test time: 0.02495457581244409 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015667758882045746, model_test_time: 0.009286816930398345
Total test time: 0.025255347369238734 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01596306823194027, model_test_time: 0.009292279137298465
Total test time: 0.0202788719907403 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013920078054070473, model_test_time: 0.0063587939366698265
Total test time: 0.017902021761983633 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011514616664499044, model_test_time: 0.006387405097484589
Total test time: 0.017828096635639668 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011510764714330435, model_test_time: 0.006317331921309233
Total test time: 0.017903114203363657 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011525894049555063, model_test_time: 0.006377220153808594
Total test time: 0.020125783048570156 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011492117075249553, model_test_time: 0.008633665973320603
Total test time: 0.02524001384153962 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0160057139582932, model_test_time: 0.009234299883246422
Total test time: 0.025227179750800133 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01597565785050392, model_test_time: 0.009251521900296211
Total test time: 0.023562498157843947 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015957456082105637, model_test_time: 0.007605042075738311
Total test time: 0.017890037735924125 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011515466729179025, model_test_time: 0.0063745710067451
Total test time: 0.017929057125002146 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011519226944074035, model_test_time: 0.006409830180928111
Total test time: 0.017946538981050253 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011622706893831491, model_test_time: 0.0063238320872187614
Total test time: 0.017903132364153862 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011535541387274861, model_test_time: 0.006367590976879001
Total test time: 0.02529795584268868 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016020231880247593, model_test_time: 0.009277723962441087
Total test time: 0.025249087950214744 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01598825096152723, model_test_time: 0.009260836988687515
Total test time: 0.0252921050414443 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016021249815821648, model_test_time: 0.009270855225622654
Total test time: 0.025336956372484565 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016062361421063542, model_test_time: 0.009274594951421022
Total test time: 0.025261810049414635 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015967492945492268, model_test_time: 0.009294317103922367
Total test time: 0.02523481077514589 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01599167683161795, model_test_time: 0.009243133943527937
speedup/out/models_res/src_dst/iat_size-header_False/DWSHR_WSHR_2020/before_proj_False-gs_False/Nystrom-QS-init_GMM(full)-std_False_center_False-d_5-full/DWSHR_WSHR_2020-Nystrom-QS-init_GMM(full).dat
