Namespace(dataset='DWSHR_WSHR_2020', feat='stats', gs='True', header='True', model='Nystrom-QS-init_GMM(full)', time='2021-04-01 09:07:32')
***DWSHR_WSHR_2020, Nystrom-QS-init_GMM(full), stats, speedup/data/models/src_dst/stats-header_True/DWSHR_WSHR_2020/before_proj_False-gs_True/Nystrom-QS-init_GMM(full)-std_False_center_False-d_5-full
***0_th repeat
Total test time: 0.017415571492165327 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014155888464301825, model_test_time: 0.0032596830278635025
Total test time: 0.01481892867013812 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011734685860574245, model_test_time: 0.003084242809563875
Total test time: 0.014893835876137018 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011813333025202155, model_test_time: 0.003080502850934863
Total test time: 0.014824076788499951 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011724130949005485, model_test_time: 0.0030999458394944668
Total test time: 0.014793745009228587 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011694540036842227, model_test_time: 0.00309920497238636
Total test time: 0.01477846666239202 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011682187672704458, model_test_time: 0.003096278989687562
Total test time: 0.014784021768718958 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011682946933433414, model_test_time: 0.0031010748352855444
Total test time: 0.01637781783938408 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011819998966529965, model_test_time: 0.004557818872854114
Total test time: 0.020677533000707626 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01616710191592574, model_test_time: 0.004510431084781885
Total test time: 0.020744789857417345 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016280134906992316, model_test_time: 0.004464654950425029
Total test time: 0.02066747611388564 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01621132204309106, model_test_time: 0.004456154070794582
Total test time: 0.02072075381875038 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016269283834844828, model_test_time: 0.004451469983905554
Total test time: 0.020617848029360175 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016156619880348444, model_test_time: 0.004461228149011731
Total test time: 0.0207038470543921 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016189804999157786, model_test_time: 0.004514042055234313
Total test time: 0.020995690720155835 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016186358872801065, model_test_time: 0.00480933184735477
Total test time: 0.02077336166985333 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01624820986762643, model_test_time: 0.004525151802226901
Total test time: 0.020705346018075943 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01618085987865925, model_test_time: 0.004524486139416695
Total test time: 0.020713659934699535 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016251134919002652, model_test_time: 0.004462525015696883
Total test time: 0.01607897295616567 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01299752714112401, model_test_time: 0.0030814458150416613
Total test time: 0.014815613394603133 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011725982185453176, model_test_time: 0.0030896312091499567
***1_th repeat
Total test time: 0.015134124550968409 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011848943307995796, model_test_time: 0.0032851812429726124
Total test time: 0.014771799789741635 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011508542811498046, model_test_time: 0.0032632569782435894
Total test time: 0.014789208071306348 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011510692071169615, model_test_time: 0.003278516000136733
Total test time: 0.02040231693536043 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015602466883137822, model_test_time: 0.0047998500522226095
Total test time: 0.02083595283329487 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016000863863155246, model_test_time: 0.004835088970139623
Total test time: 0.02086338121443987 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015961903147399426, model_test_time: 0.004901478067040443
Total test time: 0.020766083849593997 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01598056685179472, model_test_time: 0.004785516997799277
Total test time: 0.02081004623323679 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01607382413931191, model_test_time: 0.00473622209392488
Total test time: 0.0207332712598145 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01600362337194383, model_test_time: 0.004729647887870669
Total test time: 0.020813805516809225 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016101471381261945, model_test_time: 0.00471233413554728
Total test time: 0.020763140870258212 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01601825188845396, model_test_time: 0.004744888981804252
Total test time: 0.020948507823050022 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016021493822336197, model_test_time: 0.004927014000713825
Total test time: 0.020739381900057197 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015938642900437117, model_test_time: 0.00480073899962008
Total test time: 0.01987271592952311 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01602097414433956, model_test_time: 0.003851741785183549
Total test time: 0.014941609930247068 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011565838009119034, model_test_time: 0.0033757719211280346
Total test time: 0.014888001140207052 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011552949203178287, model_test_time: 0.0033350519370287657
Total test time: 0.01480563124641776 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011513913283124566, model_test_time: 0.0032917179632931948
Total test time: 0.014850537991151214 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011552782962098718, model_test_time: 0.003297755029052496
Total test time: 0.01635563187301159 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011599725810810924, model_test_time: 0.0047559060622006655
Total test time: 0.020650033140555024 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01587923802435398, model_test_time: 0.004770795116201043
***2_th repeat
Total test time: 0.021203982178121805 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01685041794553399, model_test_time: 0.004353564232587814
Total test time: 0.020815620897337794 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016490629874169827, model_test_time: 0.004324991023167968
Total test time: 0.020754769910126925 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016353484941646457, model_test_time: 0.004401284968480468
Total test time: 0.020808213856071234 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016447797883301973, model_test_time: 0.00436041597276926
Total test time: 0.020815306110307574 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016420206055045128, model_test_time: 0.004395100055262446
Total test time: 0.019383840495720506 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016378615284338593, model_test_time: 0.0030052252113819122
Total test time: 0.014865077333524823 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011861332226544619, model_test_time: 0.0030037451069802046
Total test time: 0.015004294691607356 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011953793000429869, model_test_time: 0.0030505016911774874
Total test time: 0.014927891083061695 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011890740133821964, model_test_time: 0.003037150949239731
Total test time: 0.01494161318987608 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011868500150740147, model_test_time: 0.003073113039135933
Total test time: 0.01683206669986248 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01244461489841342, model_test_time: 0.0043874518014490604
Total test time: 0.02096698828972876 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01642104028724134, model_test_time: 0.004545948002487421
Total test time: 0.020894099958240986 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016505036037415266, model_test_time: 0.00438906392082572
Total test time: 0.021338423946872354 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01639041001908481, model_test_time: 0.004948013927787542
Total test time: 0.02085950900800526 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016459223115816712, model_test_time: 0.004400285892188549
Total test time: 0.020854157162830234 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01651951833628118, model_test_time: 0.004334638826549053
Total test time: 0.020821027224883437 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016479352489113808, model_test_time: 0.0043416747357696295
Total test time: 0.02077958476729691 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016440704697743058, model_test_time: 0.004338880069553852
