Namespace(dataset='MACCDC1', feat='iat_size', gs='True', header='False', model='KJL-GMM(diag)', time='2021-04-01 08:19:21')
***MACCDC1, KJL-GMM(diag), iat_size, speedup/data/models/src_dst/iat_size-header_False/MACCDC1/before_proj_False-gs_True/KJL-GMM(diag)-std_False_center_False-d_5-diag
***0_th repeat
Total test time: 0.016517534852027893 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014159824000671506, model_test_time: 0.002357710851356387
Total test time: 0.014163786312565207 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011939830146729946, model_test_time: 0.0022239561658352613
Total test time: 0.01413093600422144 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011889295186847448, model_test_time: 0.002241640817373991
Total test time: 0.01408769702538848 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011869685025885701, model_test_time: 0.002218011999502778
Total test time: 0.014053253224119544 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011845537927001715, model_test_time: 0.0022077152971178293
Total test time: 0.01406277110800147 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011840593069791794, model_test_time: 0.0022221780382096767
Total test time: 0.014069510856643319 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011858906829729676, model_test_time: 0.002210604026913643
Total test time: 0.019676336785778403 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01653175801038742, model_test_time: 0.0031445787753909826
Total test time: 0.019692113855853677 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01650155591778457, model_test_time: 0.003190557938069105
Total test time: 0.01962181879207492 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016466815024614334, model_test_time: 0.0031550037674605846
Total test time: 0.019112075213342905 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016697383020073175, model_test_time: 0.0024146921932697296
Total test time: 0.014089751988649368 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011880387784913182, model_test_time: 0.002209364203736186
Total test time: 0.014111475320532918 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011908981250599027, model_test_time: 0.0022024940699338913
Total test time: 0.014152121962979436 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011952497996389866, model_test_time: 0.00219962396658957
Total test time: 0.014116788282990456 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011921053053811193, model_test_time: 0.002195735229179263
Total test time: 0.01407078979536891 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011866555782034993, model_test_time: 0.0022042340133339167
Total test time: 0.01959026511758566 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016453464049845934, model_test_time: 0.003136801067739725
Total test time: 0.019667096436023712 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016521240118891, model_test_time: 0.0031458563171327114
Total test time: 0.019581336993724108 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016455481061711907, model_test_time: 0.0031258559320122004
Total test time: 0.01968380040489137 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01649146364070475, model_test_time: 0.0031923367641866207
***1_th repeat
Total test time: 0.019998920150101185 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016957079991698265, model_test_time: 0.0030418401584029198
Total test time: 0.019608580274507403 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01667157025076449, model_test_time: 0.002937010023742914
Total test time: 0.019627966918051243 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016698770923539996, model_test_time: 0.0029291959945112467
Total test time: 0.01588479522615671 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013813353143632412, model_test_time: 0.0020714420825242996
Total test time: 0.014086139854043722 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012024179799482226, model_test_time: 0.0020619600545614958
Total test time: 0.014047716977074742 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011986867059022188, model_test_time: 0.002060849918052554
Total test time: 0.014035179978236556 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011972403852269053, model_test_time: 0.0020627761259675026
Total test time: 0.014023123076185584 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011961607029661536, model_test_time: 0.002061516046524048
Total test time: 0.01635307935066521 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013366514118388295, model_test_time: 0.0029865652322769165
Total test time: 0.019614135148003697 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016695032129064202, model_test_time: 0.002919103018939495
Total test time: 0.019662114093080163 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01671525207348168, model_test_time: 0.002946862019598484
Total test time: 0.019587598042562604 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0166453099809587, model_test_time: 0.0029422880616039038
Total test time: 0.019611133961007 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016620422014966607, model_test_time: 0.002990711946040392
Total test time: 0.019646856701001525 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016706438967958093, model_test_time: 0.0029404177330434322
Total test time: 0.019593820441514254 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01663690316490829, model_test_time: 0.0029569172766059637
Total test time: 0.01968842977657914 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01669451268389821, model_test_time: 0.002993917092680931
Total test time: 0.014058254193514585 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01200036727823317, model_test_time: 0.002057886915281415
Total test time: 0.014074068050831556 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0120194589253515, model_test_time: 0.002054609125480056
Total test time: 0.014046381693333387 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01199740287847817, model_test_time: 0.002048978814855218
Total test time: 0.014037085697054863 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011939514661207795, model_test_time: 0.002097571035847068
***2_th repeat
Total test time: 0.014560108771547675 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011833407683297992, model_test_time: 0.0027267010882496834
Total test time: 0.014307042816653848 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011592896888032556, model_test_time: 0.002714145928621292
Total test time: 0.014258617535233498 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011542712803930044, model_test_time: 0.0027159047313034534
Total test time: 0.014332208782434464 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011575562879443169, model_test_time: 0.002756645902991295
