Namespace(dataset='MACCDC1', feat='stats', gs='True', header='True', model='KJL-GMM(diag)', time='2021-04-01 08:25:48')
***MACCDC1, KJL-GMM(diag), stats, speedup/data/models/src_dst/stats-header_True/MACCDC1/before_proj_False-gs_True/KJL-GMM(diag)-std_False_center_False-d_5-diag
***0_th repeat
Total test time: 0.017382243648171425 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015228465665131807, model_test_time: 0.0021537779830396175
Total test time: 0.013872075360268354 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011862218147143722, model_test_time: 0.002009857213124633
Total test time: 0.013881091959774494 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011826459085568786, model_test_time: 0.0020546328742057085
Total test time: 0.013872074661776423 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011800608830526471, model_test_time: 0.0020714658312499523
Total test time: 0.013946832390502095 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011832589283585548, model_test_time: 0.002114243106916547
Total test time: 0.013855869881808758 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011747515993192792, model_test_time: 0.002108353888615966
Total test time: 0.013774169143289328 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011756646214053035, model_test_time: 0.002017522929236293
Total test time: 0.013769095996394753 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011760405031964183, model_test_time: 0.0020086909644305706
Total test time: 0.013740780996158719 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011749553959816694, model_test_time: 0.001991227036342025
Total test time: 0.013723782962188125 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011707648169249296, model_test_time: 0.0020161347929388285
Total test time: 0.015863300999626517 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01300109620206058, model_test_time: 0.002862204797565937
Total test time: 0.019169512670487165 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01631717779673636, model_test_time: 0.002852334873750806
Total test time: 0.01918593840673566 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016322974115610123, model_test_time: 0.002862964291125536
Total test time: 0.019177291076630354 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016270161140710115, model_test_time: 0.0029071299359202385
Total test time: 0.019134680973365903 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016260050935670733, model_test_time: 0.0028746300376951694
Total test time: 0.01931956596672535 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016450677067041397, model_test_time: 0.0028688888996839523
Total test time: 0.019229603931307793 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01635360298678279, model_test_time: 0.0028760009445250034
Total test time: 0.019264583941549063 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016325399978086352, model_test_time: 0.0029391839634627104
Total test time: 0.019239382119849324 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01636460213921964, model_test_time: 0.0028747799806296825
Total test time: 0.01924838195554912 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016372991958633065, model_test_time: 0.0028753899969160557
***1_th repeat
Total test time: 0.021302219945937395 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017035290831699967, model_test_time: 0.004266929114237428
Total test time: 0.020681177731603384 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016449155984446406, model_test_time: 0.004232021747156978
Total test time: 0.020878284005448222 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016571633983403444, model_test_time: 0.004306650022044778
Total test time: 0.02085124934092164 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016499878140166402, model_test_time: 0.0043513712007552385
Total test time: 0.020852638874202967 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016557858092710376, model_test_time: 0.004294780781492591
Total test time: 0.02088952623307705 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016516711097210646, model_test_time: 0.004372815135866404
Total test time: 0.020783676533028483 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016529802232980728, model_test_time: 0.004253874300047755
Total test time: 0.020833250368013978 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016578377224504948, model_test_time: 0.00425487314350903
Total test time: 0.019407822052016854 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01643202709965408, model_test_time: 0.002975794952362776
Total test time: 0.014924251940101385 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011942771961912513, model_test_time: 0.0029814799781888723
Total test time: 0.014903732808306813 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01191941974684596, model_test_time: 0.0029843130614608526
Total test time: 0.014896177919581532 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0118937729857862, model_test_time: 0.003002404933795333
Total test time: 0.014926139963790774 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011946975020691752, model_test_time: 0.002979164943099022
Total test time: 0.017154323868453503 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01281445287168026, model_test_time: 0.004339870996773243
Total test time: 0.021030819043517113 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016646523028612137, model_test_time: 0.004384296014904976
Total test time: 0.020897969137877226 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016627170145511627, model_test_time: 0.004270798992365599
Total test time: 0.02080989908427 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01653134124353528, model_test_time: 0.00427855784073472
Total test time: 0.020839860197156668 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016592246247455478, model_test_time: 0.00424761394970119
Total test time: 0.020837177289649844 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01658552512526512, model_test_time: 0.004251652164384723
Total test time: 0.020837362157180905 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016557822236791253, model_test_time: 0.004279539920389652
***2_th repeat
Total test time: 0.018595306668430567 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015640473691746593, model_test_time: 0.0029548329766839743
Total test time: 0.01916943909600377 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016111999051645398, model_test_time: 0.0030574400443583727
Total test time: 0.019277121871709824 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016315641812980175, model_test_time: 0.0029614800587296486
Total test time: 0.01919338316656649 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016237847041338682, model_test_time: 0.002955536125227809
Total test time: 0.019111830973997712 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016162442043423653, model_test_time: 0.0029493889305740595
Total test time: 0.01924380986019969 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01617468288168311, model_test_time: 0.0030691269785165787
Total test time: 0.019149997038766742 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01620510802604258, model_test_time: 0.002944889012724161
Total test time: 0.019099868135526776 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016165386186912656, model_test_time: 0.0029344819486141205
Total test time: 0.013664357829838991 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011627075960859656, model_test_time: 0.002037281868979335
Total test time: 0.013723005075007677 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011666594073176384, model_test_time: 0.002056411001831293
Total test time: 0.013823632150888443 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011766184121370316, model_test_time: 0.0020574480295181274
Total test time: 0.013873554999008775 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011813662946224213, model_test_time: 0.002059892052784562
Total test time: 0.013847926864400506 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011788441799581051, model_test_time: 0.002059485064819455
Total test time: 0.017598220147192478 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014671646989881992, model_test_time: 0.002926573157310486
Total test time: 0.019021555548533797 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01608251896686852, model_test_time: 0.0029390365816652775
Total test time: 0.01917392178438604 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0161202778108418, model_test_time: 0.00305364397354424
Total test time: 0.019114699214696884 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016190422233194113, model_test_time: 0.0029242769815027714
Total test time: 0.019126812927424908 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016185905784368515, model_test_time: 0.0029409071430563927
Total test time: 0.019131847424432635 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016075925203040242, model_test_time: 0.003055922221392393
Total test time: 0.01919751218520105 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016179459169507027, model_test_time: 0.003018053015694022
***3_th repeat
Total test time: 0.01973779732361436 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017173158237710595, model_test_time: 0.0025646390859037638
Total test time: 0.01936017698608339 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016826945124194026, model_test_time: 0.0025332318618893623
Total test time: 0.01941361906938255 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016878887079656124, model_test_time: 0.0025347319897264242
Total test time: 0.019332935102283955 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01668242900632322, model_test_time: 0.0026505060959607363
Total test time: 0.019392841728404164 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01684679463505745, model_test_time: 0.002546047093346715
Total test time: 0.01939662010408938 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016859833151102066, model_test_time: 0.0025367869529873133
Total test time: 0.01937128766439855 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016828777734190226, model_test_time: 0.0025425099302083254
Total test time: 0.01939067430794239 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016736557241529226, model_test_time: 0.002654117066413164
Total test time: 0.019303879234939814 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016768667148426175, model_test_time: 0.0025352120865136385
Total test time: 0.019351804861798882 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01680536987259984, model_test_time: 0.0025464349891990423
Total test time: 0.019290251890197396 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016752685885876417, model_test_time: 0.002537566004320979
Total test time: 0.01954187615774572 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016882202122360468, model_test_time: 0.002659674035385251
Total test time: 0.014011534163728356 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012133673066273332, model_test_time: 0.0018778610974550247
Total test time: 0.013970829080790281 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012085507158190012, model_test_time: 0.0018853219226002693
Total test time: 0.013970647007226944 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01210798998363316, model_test_time: 0.0018626570235937834
Total test time: 0.013831852469593287 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01205119420774281, model_test_time: 0.0017806582618504763
