Namespace(dataset='MACCDC1', feat='iat_size', gs='False', header='False', model='KJL-GMM(diag)', time='2021-04-01 01:55:55')
***MACCDC1, KJL-GMM(diag), iat_size, speedup/data/models/src_dst/iat_size-header_False/MACCDC1/before_proj_False-gs_False/KJL-GMM(diag)-std_False_center_False-d_5-diag
***0_th repeat
Total test time: 0.0034568828996270895 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0030492967925965786, model_test_time: 0.0004075861070305109
Total test time: 0.0059651832561939955 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.005205334164202213, model_test_time: 0.0007598490919917822
Total test time: 0.0017566019669175148 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0013184458948671818, model_test_time: 0.000438156072050333
Total test time: 0.0012566018849611282 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0009211578872054815, model_test_time: 0.0003354439977556467
Total test time: 0.001727547962218523 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0012496700510382652, model_test_time: 0.0004778779111802578
Total test time: 0.002947225933894515 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.00212725973688066, model_test_time: 0.000819966197013855
Total test time: 0.001762129832059145 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0012885348405689, model_test_time: 0.00047359499149024487
Total test time: 0.0014058032538741827 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0010648462921380997, model_test_time: 0.00034095696173608303
Total test time: 0.0015405819285660982 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.001214776886627078, model_test_time: 0.00032580504193902016
Total test time: 0.003622639924287796 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.00301584810949862, model_test_time: 0.000606791814789176
Total test time: 0.0011567797046154737 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.000839748652651906, model_test_time: 0.00031703105196356773
Total test time: 0.00118224136531353 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.000880819745361805, model_test_time: 0.000301421619951725
Total test time: 0.0012628259137272835 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0008361367508769035, model_test_time: 0.00042668916285037994
Total test time: 0.001984192756935954 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0014902157709002495, model_test_time: 0.0004939769860357046
Total test time: 0.0031513178255409002 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.002781599760055542, model_test_time: 0.00036971806548535824
Total test time: 0.0022535210009664297 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0017409860156476498, model_test_time: 0.0005125349853187799
Total test time: 0.00257507455535233 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0018778336234390736, model_test_time: 0.0006972409319132566
Total test time: 0.0016927400138229132 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0013093899469822645, model_test_time: 0.00038335006684064865
Total test time: 0.0011832511518150568 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0008555699605494738, model_test_time: 0.00032768119126558304
Total test time: 0.001112516038119793 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0008082641288638115, model_test_time: 0.00030425190925598145
***1_th repeat
Total test time: 0.0018766620196402073 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0013816209975630045, model_test_time: 0.0004950410220772028
Total test time: 0.001480847131460905 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0010979720391333103, model_test_time: 0.00038287509232759476
Total test time: 0.001520470017567277 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.001168054761365056, model_test_time: 0.0003524152562022209
Total test time: 0.0014554411172866821 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0009611020796000957, model_test_time: 0.0004943390376865864
Total test time: 0.005223184125497937 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.00456278002820909, model_test_time: 0.000660404097288847
Total test time: 0.002203368116170168 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0018399471882730722, model_test_time: 0.0003634209278970957
Total test time: 0.0013938569463789463 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0010864879004657269, model_test_time: 0.00030736904591321945
Total test time: 0.0012214560993015766 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0008207249920815229, model_test_time: 0.00040073110722005367
Total test time: 0.001235166098922491 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0008304319344460964, model_test_time: 0.00040473416447639465
Total test time: 0.0019221091642975807 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0014383262023329735, model_test_time: 0.00048378296196460724
Total test time: 0.0015502318274229765 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0012288396246731281, model_test_time: 0.00032139220274984837
Total test time: 0.0012515790294855833 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.000947076128795743, model_test_time: 0.0003045029006898403
Total test time: 0.0011005618143826723 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0008165757171809673, model_test_time: 0.000283986097201705
Total test time: 0.0012253448367118835 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0009003609884530306, model_test_time: 0.00032498384825885296
Total test time: 0.0017563109286129475 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0012120888568460941, model_test_time: 0.0005442220717668533
Total test time: 0.0021844180300831795 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.001763568026944995, model_test_time: 0.00042085000313818455
Total test time: 0.0019034312572330236 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0014058109372854233, model_test_time: 0.0004976203199476004
Total test time: 0.0016190828755497932 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0012057230342179537, model_test_time: 0.00041335984133183956
Total test time: 0.001674244413152337 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0013129091821610928, model_test_time: 0.0003613352309912443
Total test time: 0.0026178027037531137 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0021416316740214825, model_test_time: 0.0004761710297316313
***2_th repeat
Total test time: 0.0013650490436702967 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0010314129758626223, model_test_time: 0.0003336360678076744
Total test time: 0.0011920761317014694 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0008845690172165632, model_test_time: 0.0003075071144849062
Total test time: 0.0030326740816235542 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.002495385939255357, model_test_time: 0.0005372881423681974
Total test time: 0.0019123491365462542 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0015526630450040102, model_test_time: 0.00035968609154224396
Total test time: 0.001133555080741644 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0008356987964361906, model_test_time: 0.0002978562843054533
Total test time: 0.0012504656333476305 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0008372985757887363, model_test_time: 0.00041316705755889416
Total test time: 0.0011256360448896885 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0008285911753773689, model_test_time: 0.00029704486951231956
Total test time: 0.0016234780196100473 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.00112514803186059, model_test_time: 0.0004983299877494574
Total test time: 0.011945795034989715 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01128773600794375, model_test_time: 0.0006580590270459652
Total test time: 0.01371932472102344 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013175931759178638, model_test_time: 0.0005433929618448019
Total test time: 0.00849785772152245 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.007921540876850486, model_test_time: 0.0005763168446719646
Total test time: 0.002049545058980584 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0015462981536984444, model_test_time: 0.0005032469052821398
Total test time: 0.003950980491936207 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.003365675453096628, model_test_time: 0.0005853050388395786
Total test time: 0.001943026203662157 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0014679271262139082, model_test_time: 0.00047509907744824886
Total test time: 0.0018028300255537033 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0013115936890244484, model_test_time: 0.0004912363365292549
Total test time: 0.003893975866958499 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.003156274789944291, model_test_time: 0.0007377010770142078
Total test time: 0.0019356559496372938 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0014035890344530344, model_test_time: 0.0005320669151842594
Total test time: 0.0018355571664869785 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0013423189520835876, model_test_time: 0.0004932382144033909
Total test time: 0.0019164776895195246 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0014388288836926222, model_test_time: 0.0004776488058269024
Total test time: 0.005754474084824324 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0051272890996187925, model_test_time: 0.0006271849852055311
***3_th repeat
Total test time: 0.023867300944402814 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.022998275933787227, model_test_time: 0.0008690250106155872
Total test time: 0.0024787045549601316 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.00177508476190269, model_test_time: 0.0007036197930574417
Total test time: 0.001861355034634471 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0014974160585552454, model_test_time: 0.00036393897607922554
Total test time: 0.0031801280565559864 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.002309961011633277, model_test_time: 0.0008701670449227095
Total test time: 0.0019385910127311945 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0015138350427150726, model_test_time: 0.00042475597001612186
Total test time: 0.0017666569910943508 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.001306343823671341, model_test_time: 0.00046031316742300987
Total test time: 0.001808531815186143 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0013657200615853071, model_test_time: 0.0004428117536008358
Total test time: 0.0028332381043583155 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.002493531908839941, model_test_time: 0.00033970619551837444
Total test time: 0.0017820883076637983 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0013670301996171474, model_test_time: 0.0004150581080466509
Total test time: 0.0019170339219272137 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0012418718542903662, model_test_time: 0.0006751620676368475
Total test time: 0.00272248568944633 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0020186498295515776, model_test_time: 0.0007038358598947525
Total test time: 0.001624558586627245 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0011966908350586891, model_test_time: 0.00042786775156855583
Total test time: 0.0016580969095230103 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0012603658251464367, model_test_time: 0.00039773108437657356
Total test time: 0.0011674989946186543 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0008757889736443758, model_test_time: 0.00029171002097427845
Total test time: 0.0012834479566663504 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0009814919903874397, model_test_time: 0.00030195596627891064
Total test time: 0.003579413751140237 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.003035245928913355, model_test_time: 0.000544167822226882
Total test time: 0.0018477090634405613 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0013297940604388714, model_test_time: 0.0005179150030016899
Total test time: 0.017743716947734356 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01707410509698093, model_test_time: 0.0006696118507534266
Total test time: 0.0031553059816360474 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.002604174194857478, model_test_time: 0.0005511317867785692
Total test time: 0.0021703613456338644 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0013633500784635544, model_test_time: 0.00080701126717031
***4_th repeat
